id,road,lrp,chainage,lat,lon,name,model_type,structure_type,length,condition
325,N1,LRP144A,140.968,23.0427774,91.3654444,Box culvert,bridge,Box Culvert,336.00000000001273,A
326,N1,LRP144B,141.304,23.0398052,91.3656111,Rail Road Crossing,link,,467.9999999999893,N/A
327,N1,LRP145,141.772,23.0360274,91.36575,Km post missing,link,,735.0000000000136,N/A
328,N1,LRP145A,142.507,23.029416,91.3656389,Box culvert,bridge,Culvert,287.00000000000614,A
329,N1,LRP146,142.794,23.0269716,91.3655,"Ctg 99 km,Feni 3 km",link,,239.99999999998067,N/A
330,N1,LRP146A,143.034,23.0248327,91.3655278,Road to Biroli (Z1030),link,,760.9999999999957,N/A
331,N1,LRP147,143.795,23.0193604,91.3697771,"Ctg 98 km,Feni 2 km",link,,151.00000000001046,N/A
332,N1,LRP147A,143.946,23.0185271,91.3708327,Box culvert,bridge,Box Culvert,723.9999999999895,A
333,N1,LRP147B,144.67,23.0140833,91.3759716,Box culvert,bridge,Box Culvert,125.0,A
334,N1,LRP148,144.795,23.0132778,91.3769438,Km post missing,link,,614.0000000000043,N/A
335,N1,LRP148A,145.409,23.0095556,91.3813604,Intersection with N104 / Km post missing,link,,1407.0000000000107,N/A
336,N1,LRP150,146.816,23.0018889,91.3920552,Ctg 95 km,link,,1000.0,N/A
337,N1,LRP151,147.816,22.9963886,91.3998052,Km post missing,link,,85.00000000000796,N/A
338,N1,LRP151A,147.901,22.9961941,91.4005,Bridge start,bridge,Bridge,22.999999999996135,A
339,N1,LRP151B,147.924,22.9960552,91.4006667,Bridge end,bridge,Bridge,917.0000000000016,A
340,N1,LRP152,148.841,22.9906941,91.4072222,"Ctg 93 km,Lalpole 1 km",link,,447.9999999999791,N/A
341,N1,LRP152A,149.289,22.9877774,91.41,Road to Feni Town (Z1034),link,,296.0000000000207,N/A
342,N1,LRP152B,149.585,22.9858886,91.4120556,Road to Sonagazi (Z1034),link,,256.0000000000002,N/A
343,N1,LRP153,149.841,22.9842219,91.4137222,Ctg 91 km,link,,1050.9999999999877,N/A
344,N1,LRP154,150.892,22.9774438,91.4205827,Ctg 91 km,link,,1000.0,N/A
345,N1,LRP155,151.892,22.9711382,91.4273882,Km post missing,link,,1000.0,N/A
