infra_id,infra_label,infra_type,road_name,infra_name,crossing_count,unique_truck_count
17,Road to Sylhet (N2) (LRP009A),link,N1,Road to Sylhet (N2),77577,77577
10,Km post missing (LRP006),link,N1,Km post missing,77576,77576
8,Road to Narayanganj(R111) (LRP004A),link,N1,Road to Narayanganj(R111),77574,77574
6,Km post missing (LRP003),link,N1,Km post missing,77573,77573
9,Km post missing (LRP005),link,N1,Km post missing,77573,77573
5,Box culvert (LRP002A),bridge,N1,Box culvert,77572,77572
12,"R110,Left to Demra, Right to Narayanganj (LRP007A)",link,N1,"R110,Left to Demra, Right to Narayanganj",77571,77571
3,Km post missing (LRP001),link,N1,Km post missing,77569,77569
11,Km post missing (LRP007),link,N1,Km post missing,77568,77568
15,Bridge end (LRP008B),bridge,N1,Bridge end,77568,77568
16,"Chittagong 251 km,Comilla 84 km (LRP009)",link,N1,"Chittagong 251 km,Comilla 84 km",77568,77568
14,Kachpur bridge (LRP008A),bridge,N1,Kachpur bridge,77567,77567
4,Km post missing (LRP002),link,N1,Km post missing,77566,77566
13,Km post missing (LRP008),link,N1,Km post missing,77566,77566
7,Km post missing (LRP004),link,N1,Km post missing,77565,77565
2,Intersection with Z1101 (LRPSB),link,N1,Intersection with Z1101,77563,77563
1,Box Culvert (LRPSA),bridge,N1,Box Culvert,77562,77562
1340,Sylhet 230 km (LRP001),link,N2,Sylhet 230 km,39983,39983
1343,Bridge end (LRP002B),bridge,N2,Bridge end,39979,39979
1341,Sylhet 229 km (LRP002),link,N2,Sylhet 229 km,39977,39977
1342,Bridge start (LRP002A),bridge,N2,Bridge start,39977,39977
1344,Km post missing (LRP003),link,N2,Km post missing,39976,39976
1345,Road to Demra (R201) (LRP003A),link,N2,Road to Demra (R201),39976,39976
1346,Information missing (LRP004),link,N2,Information missing,39975,39975
1351,Sylhet 223 km (LRP008),link,N2,Sylhet 223 km,39972,39972
1354,Km post broken (LRP011),link,N2,Km post broken,39972,39972
1352,Km post missing (LRP009),link,N2,Km post missing,39971,39971
1356,Km post missing (LRP012),link,N2,Km post missing,39971,39971
1347,Sylhet 226 km (LRP005),link,N2,Sylhet 226 km,39970,39970
1350,Km post broken (LRP007),link,N2,Km post broken,39970,39970
1355,R202 to Rupganj (LRP011A),link,N2,R202 to Rupganj,39970,39970
1357,Intersection with N105 (LRP012A),link,N2,Intersection with N105,39968,39968
1358,Bridge start (LRP012B),bridge,N2,Bridge start,39968,39968
1353,Km post broken (LRP010),link,N2,Km post broken,39967,39967
1348,Km post broken (LRP006),link,N2,Km post broken,39965,39965
1349,"Z1090 Left to Keyatpara,Right to Mahajanpur. (LRP006A)",link,N2,"Z1090 Left to Keyatpara,Right to Mahajanpur.",39965,39965
28,Right to Syedpur (R113) left to Joydebpur N105) (LRP012C),link,N1,Right to Syedpur (R113) left to Joydebpur N105),36318,36318
27,Bridge end (LRP012B),bridge,N1,Bridge end,36313,36313
23,Box culvert (LRP011A),bridge,N1,Box culvert,36312,36312
25,"Chittagong 248 km,Comilla 81 km (LRP012)",link,N1,"Chittagong 248 km,Comilla 81 km",36312,36312
26,Bridge start (LRP012A),bridge,N1,Bridge start,36312,36312
21,Box culvert (LRP010C),bridge,N1,Box culvert,36310,36310
24,Box culvert (LRP011B),bridge,N1,Box culvert,36310,36310
20,Box culvert (LRP010B),bridge,N1,Box culvert,36308,36308
22,Km post missing (LRP011),link,N1,Km post missing,36308,36308
18,Km post missing (LRP010),link,N1,Km post missing,36305,36305
19,Box culvert (LRP010A),bridge,N1,Box culvert,36305,36305
1392,Sylhet 205 km (LRP026),link,N2,Sylhet 205 km,31419,31419
1393,Km post broken (LRP027),link,N2,Km post broken,31417,31417
1395,Road to Shakerchar (Z2038) (LRP028A),link,N2,Road to Shakerchar (Z2038),31415,31415
1538,Km post missing (LRP075),link,N2,Km post missing,31415,31415
1539,Box culvert (LRP075A),bridge,N2,Box culvert,31415,31415
1542,Km post missing (LRP076),link,N2,Km post missing,31415,31415
1546,Box culvert (LRP077A),bridge,N2,Box culvert,31415,31415
1381,Box culvert (LRP021A),bridge,N2,Box culvert,31414,31414
1385,Sylhet 208 km (LRP023),link,N2,Sylhet 208 km,31414,31414
1386,Sylhet 207 km (LRP024),link,N2,Sylhet 207 km,31414,31414
1389,Sylhet 206 km (LRP025),link,N2,Sylhet 206 km,31414,31414
1394,Km post missing (LRP028),link,N2,Km post missing,31414,31414
1540,Box culvert (LRP075B),bridge,N2,Box culvert,31414,31414
1541,Box culvert (LRP075C),bridge,N2,Box culvert,31414,31414
1543,Bridge start (LRP076A),bridge,N2,Bridge start,31414,31414
