infra_id,infra_label,infra_type,road_name,infra_name,crossing_count,unique_truck_count
17,Road to Sylhet (N2) (LRP009A),link,N1,Road to Sylhet (N2),77414,77414
16,"Chittagong 251 km,Comilla 84 km (LRP009)",link,N1,"Chittagong 251 km,Comilla 84 km",77407,77407
12,"R110,Left to Demra, Right to Narayanganj (LRP007A)",link,N1,"R110,Left to Demra, Right to Narayanganj",77405,77405
15,Bridge end (LRP008B),bridge,N1,Bridge end,77405,77405
10,Km post missing (LRP006),link,N1,Km post missing,77404,77404
9,Km post missing (LRP005),link,N1,Km post missing,77403,77403
6,Km post missing (LRP003),link,N1,Km post missing,77402,77402
14,Kachpur bridge (LRP008A),bridge,N1,Kachpur bridge,77400,77400
5,Box culvert (LRP002A),bridge,N1,Box culvert,77399,77399
11,Km post missing (LRP007),link,N1,Km post missing,77399,77399
8,Road to Narayanganj(R111) (LRP004A),link,N1,Road to Narayanganj(R111),77397,77397
3,Km post missing (LRP001),link,N1,Km post missing,77396,77396
7,Km post missing (LRP004),link,N1,Km post missing,77396,77396
4,Km post missing (LRP002),link,N1,Km post missing,77393,77393
13,Km post missing (LRP008),link,N1,Km post missing,77393,77393
2,Intersection with Z1101 (LRPSB),link,N1,Intersection with Z1101,77388,77388
1,Box Culvert (LRPSA),bridge,N1,Box Culvert,77387,77387
1354,Km post broken (LRP011),link,N2,Km post broken,39850,39850
1350,Km post broken (LRP007),link,N2,Km post broken,39849,39849
1351,Sylhet 223 km (LRP008),link,N2,Sylhet 223 km,39848,39848
1352,Km post missing (LRP009),link,N2,Km post missing,39848,39848
1353,Km post broken (LRP010),link,N2,Km post broken,39847,39847
1346,Information missing (LRP004),link,N2,Information missing,39846,39846
1349,"Z1090 Left to Keyatpara,Right to Mahajanpur. (LRP006A)",link,N2,"Z1090 Left to Keyatpara,Right to Mahajanpur.",39845,39845
1347,Sylhet 226 km (LRP005),link,N2,Sylhet 226 km,39844,39844
1348,Km post broken (LRP006),link,N2,Km post broken,39844,39844
1345,Road to Demra (R201) (LRP003A),link,N2,Road to Demra (R201),39842,39842
1340,Sylhet 230 km (LRP001),link,N2,Sylhet 230 km,39841,39841
1355,R202 to Rupganj (LRP011A),link,N2,R202 to Rupganj,39839,39839
1356,Km post missing (LRP012),link,N2,Km post missing,39839,39839
1341,Sylhet 229 km (LRP002),link,N2,Sylhet 229 km,39838,39838
1342,Bridge start (LRP002A),bridge,N2,Bridge start,39838,39838
1343,Bridge end (LRP002B),bridge,N2,Bridge end,39838,39838
1344,Km post missing (LRP003),link,N2,Km post missing,39838,39838
1357,Intersection with N105 (LRP012A),link,N2,Intersection with N105,39836,39836
1358,Bridge start (LRP012B),bridge,N2,Bridge start,39836,39836
23,Box culvert (LRP011A),bridge,N1,Box culvert,36351,36351
20,Box culvert (LRP010B),bridge,N1,Box culvert,36349,36349
27,Bridge end (LRP012B),bridge,N1,Bridge end,36349,36349
28,Right to Syedpur (R113) left to Joydebpur N105) (LRP012C),link,N1,Right to Syedpur (R113) left to Joydebpur N105),36349,36349
18,Km post missing (LRP010),link,N1,Km post missing,36348,36348
21,Box culvert (LRP010C),bridge,N1,Box culvert,36348,36348
24,Box culvert (LRP011B),bridge,N1,Box culvert,36348,36348
