infra_id,infra_label,infra_type,road_name,infra_name,crossing_count,unique_truck_count
17,Road to Sylhet (N2) (LRP009A),link,N1,Road to Sylhet (N2),76337,76337
12,"R110,Left to Demra, Right to Narayanganj (LRP007A)",link,N1,"R110,Left to Demra, Right to Narayanganj",76335,76335
16,"Chittagong 251 km,Comilla 84 km (LRP009)",link,N1,"Chittagong 251 km,Comilla 84 km",76333,76333
3,Km post missing (LRP001),link,N1,Km post missing,76331,76331
14,Kachpur bridge (LRP008A),bridge,N1,Kachpur bridge,76331,76331
15,Bridge end (LRP008B),bridge,N1,Bridge end,76331,76331
5,Box culvert (LRP002A),bridge,N1,Box culvert,76330,76330
6,Km post missing (LRP003),link,N1,Km post missing,76329,76329
8,Road to Narayanganj(R111) (LRP004A),link,N1,Road to Narayanganj(R111),76329,76329
13,Km post missing (LRP008),link,N1,Km post missing,76328,76328
9,Km post missing (LRP005),link,N1,Km post missing,76327,76327
4,Km post missing (LRP002),link,N1,Km post missing,76325,76325
10,Km post missing (LRP006),link,N1,Km post missing,76325,76325
11,Km post missing (LRP007),link,N1,Km post missing,76325,76325
1,Box Culvert (LRPSA),bridge,N1,Box Culvert,76324,76324
2,Intersection with Z1101 (LRPSB),link,N1,Intersection with Z1101,76324,76324
7,Km post missing (LRP004),link,N1,Km post missing,76323,76323
20,Box culvert (LRP010B),bridge,N1,Box culvert,74678,74678
18,Km post missing (LRP010),link,N1,Km post missing,74677,74677
19,Box culvert (LRP010A),bridge,N1,Box culvert,74677,74677
23,Box culvert (LRP011A),bridge,N1,Box culvert,74677,74677
21,Box culvert (LRP010C),bridge,N1,Box culvert,74676,74676
22,Km post missing (LRP011),link,N1,Km post missing,74676,74676
28,Right to Syedpur (R113) left to Joydebpur N105) (LRP012C),link,N1,Right to Syedpur (R113) left to Joydebpur N105),74676,74676
27,Bridge end (LRP012B),bridge,N1,Bridge end,74675,74675
24,Box culvert (LRP011B),bridge,N1,Box culvert,74673,74673
25,"Chittagong 248 km,Comilla 81 km (LRP012)",link,N1,"Chittagong 248 km,Comilla 81 km",74673,74673
26,Bridge start (LRP012A),bridge,N1,Bridge start,74672,74672
3127,"Bangabandhu bridge 127 km,Mymensingh 130 km (LRP003)",bridge,N105,"Bangabandhu bridge 127 km,Mymensingh 130 km",47738,47738
