infra_id,infra_label,infra_type,road_name,infra_name,crossing_count,unique_truck_count
6,Km post missing (LRP003),link,N1,Km post missing,76656,76656
17,Road to Sylhet (N2) (LRP009A),link,N1,Road to Sylhet (N2),76651,76651
5,Box culvert (LRP002A),bridge,N1,Box culvert,76650,76650
8,Road to Narayanganj(R111) (LRP004A),link,N1,Road to Narayanganj(R111),76650,76650
10,Km post missing (LRP006),link,N1,Km post missing,76649,76649
12,"R110,Left to Demra, Right to Narayanganj (LRP007A)",link,N1,"R110,Left to Demra, Right to Narayanganj",76648,76648
7,Km post missing (LRP004),link,N1,Km post missing,76647,76647
9,Km post missing (LRP005),link,N1,Km post missing,76647,76647
16,"Chittagong 251 km,Comilla 84 km (LRP009)",link,N1,"Chittagong 251 km,Comilla 84 km",76647,76647
3,Km post missing (LRP001),link,N1,Km post missing,76644,76644
11,Km post missing (LRP007),link,N1,Km post missing,76643,76643
13,Km post missing (LRP008),link,N1,Km post missing,76643,76643
14,Kachpur bridge (LRP008A),bridge,N1,Kachpur bridge,76643,76643
15,Bridge end (LRP008B),bridge,N1,Bridge end,76643,76643
4,Km post missing (LRP002),link,N1,Km post missing,76640,76640
2,Intersection with Z1101 (LRPSB),link,N1,Intersection with Z1101,76636,76636
1,Box Culvert (LRPSA),bridge,N1,Box Culvert,76633,76633
1340,Sylhet 230 km (LRP001),link,N2,Sylhet 230 km,39432,39432
1343,Bridge end (LRP002B),bridge,N2,Bridge end,39432,39432
1346,Information missing (LRP004),link,N2,Information missing,39430,39430
1347,Sylhet 226 km (LRP005),link,N2,Sylhet 226 km,39430,39430
1345,Road to Demra (R201) (LRP003A),link,N2,Road to Demra (R201),39429,39429
1341,Sylhet 229 km (LRP002),link,N2,Sylhet 229 km,39428,39428
1342,Bridge start (LRP002A),bridge,N2,Bridge start,39428,39428
1352,Km post missing (LRP009),link,N2,Km post missing,39428,39428
1344,Km post missing (LRP003),link,N2,Km post missing,39427,39427
1353,Km post broken (LRP010),link,N2,Km post broken,39427,39427
1354,Km post broken (LRP011),link,N2,Km post broken,39427,39427
1356,Km post missing (LRP012),link,N2,Km post missing,39426,39426
1351,Sylhet 223 km (LRP008),link,N2,Sylhet 223 km,39425,39425
1355,R202 to Rupganj (LRP011A),link,N2,R202 to Rupganj,39423,39423
1348,Km post broken (LRP006),link,N2,Km post broken,39422,39422
1358,Bridge start (LRP012B),bridge,N2,Bridge start,39422,39422
1357,Intersection with N105 (LRP012A),link,N2,Intersection with N105,39421,39421
1350,Km post broken (LRP007),link,N2,Km post broken,39420,39420
1349,"Z1090 Left to Keyatpara,Right to Mahajanpur. (LRP006A)",link,N2,"Z1090 Left to Keyatpara,Right to Mahajanpur.",39418,39418
20,Box culvert (LRP010B),bridge,N1,Box culvert,35533,35533
21,Box culvert (LRP010C),bridge,N1,Box culvert,35533,35533
18,Km post missing (LRP010),link,N1,Km post missing,35532,35532
27,Bridge end (LRP012B),bridge,N1,Bridge end,35532,35532
28,Right to Syedpur (R113) left to Joydebpur N105) (LRP012C),link,N1,Right to Syedpur (R113) left to Joydebpur N105),35532,35532
19,Box culvert (LRP010A),bridge,N1,Box culvert,35531,35531
23,Box culvert (LRP011A),bridge,N1,Box culvert,35530,35530
22,Km post missing (LRP011),link,N1,Km post missing,35529,35529
24,Box culvert (LRP011B),bridge,N1,Box culvert,35528,35528
25,"Chittagong 248 km,Comilla 81 km (LRP012)",link,N1,"Chittagong 248 km,Comilla 81 km",35528,35528
26,Bridge start (LRP012A),bridge,N1,Bridge start,35528,35528
1541,Box culvert (LRP075C),bridge,N2,Box culvert,30598,30598
1475,Bridge start (LRP056B),bridge,N2,Bridge start,30591,30591
1388,Box culvert (LRP024B),bridge,N2,Box culvert,30568,30568
1546,Box culvert (LRP077A),bridge,N2,Box culvert,30509,30509
1543,Bridge start (LRP076A),bridge,N2,Bridge start,30508,30508
1544,Bridge end (LRP076B),bridge,N2,Bridge end,30508,30508
1545,Km post missing (LRP077),link,N2,Km post missing,30508,30508
1547,Sylhet 154 km (LRP078),link,N2,Sylhet 154 km,30508,30508
1542,Km post missing (LRP076),link,N2,Km post missing,30507,30507
1550,Sylhet 153 km (LRP079),link,N2,Sylhet 153 km,30507,30507
1464,Box culvert (LRP052A),bridge,N2,Box culvert,30506,30506
1548,Box culvert (LRP078A),bridge,N2,Box culvert,30506,30506
1549,Box culvert (LRP078B),bridge,N2,Box culvert,30506,30506
1469,Box culvert (LRP054B),bridge,N2,Box culvert,30504,30504
1457,Sylhet 182 km (LRP049),link,N2,Sylhet 182 km,30503,30503
1460,Box culvert (LRP050A),bridge,N2,Box culvert,30503,30503
1468,Box culvert (LRP054A),bridge,N2,Box culvert,30503,30503
1497,Bridge end (LRP062B),bridge,N2,Bridge end,30503,30503
1539,Box culvert (LRP075A),bridge,N2,Box culvert,30503,30503
1551,Box culvert (LRP079A),bridge,N2,Box culvert,30503,30503
1465,Sylhet 178 km (LRP053),link,N2,Sylhet 178 km,30502,30502
1472,Box culvert (LRP055B),bridge,N2,Box culvert,30502,30502
1500,Bridge end (LRP063B),bridge,N2,Bridge end,30502,30502
1506,Sylhet 166 km (LRP065),link,N2,Sylhet 166 km,30502,30502
1560,Sylhet 149 km (LRP083),link,N2,Sylhet 149 km,30502,30502
1458,Box culvert (LRP049A),bridge,N2,Box culvert,30501,30501
1459,Information missing (LRP050),link,N2,Information missing,30501,30501
1461,Sylhet 180 km (LRP051),link,N2,Sylhet 180 km,30501,30501
1463,Sylhet 179 km (LRP052),link,N2,Sylhet 179 km,30501,30501
1473,Sylhet 175 km (LRP056),link,N2,Sylhet 175 km,30501,30501
1474,Box cuylvert (LRP056A),bridge,N2,Box cuylvert,30501,30501
1509,Sylhet 164 km (LRP067),link,N2,Sylhet 164 km,30501,30501
1510,Bridge start (LRP067A),bridge,N2,Bridge start,30501,30501
1512,Box culvert (LRP067C),bridge,N2,Box culvert,30501,30501
1513,Sylhet 163 km (LRP068),link,N2,Sylhet 163 km,30501,30501
1514,Box culvert (LRP068A),bridge,N2,Box culvert,30501,30501
1455,Box culvert (LRP048A),bridge,N2,Box culvert,30500,30500
1462,Box culvert (LRP051A),bridge,N2,Box culvert,30500,30500
1466,Box culvert (LRP053A),bridge,N2,Box culvert,30500,30500
1467,Sylhet 177 km (LRP054),link,N2,Sylhet 177 km,30500,30500
1481,Sylhet 173 km (LRP058),link,N2,Sylhet 173 km,30500,30500
