infra_id,infra_label,infra_type,road_name,infra_name,crossing_count,unique_truck_count
12,"R110,Left to Demra, Right to Narayanganj (LRP007A)",link,N1,"R110,Left to Demra, Right to Narayanganj",77411,77411
17,Road to Sylhet (N2) (LRP009A),link,N1,Road to Sylhet (N2),77410,77410
16,"Chittagong 251 km,Comilla 84 km (LRP009)",link,N1,"Chittagong 251 km,Comilla 84 km",77409,77409
14,Kachpur bridge (LRP008A),bridge,N1,Kachpur bridge,77408,77408
15,Bridge end (LRP008B),bridge,N1,Bridge end,77408,77408
3,Km post missing (LRP001),link,N1,Km post missing,77407,77407
6,Km post missing (LRP003),link,N1,Km post missing,77406,77406
10,Km post missing (LRP006),link,N1,Km post missing,77406,77406
11,Km post missing (LRP007),link,N1,Km post missing,77406,77406
8,Road to Narayanganj(R111) (LRP004A),link,N1,Road to Narayanganj(R111),77405,77405
9,Km post missing (LRP005),link,N1,Km post missing,77405,77405
5,Box culvert (LRP002A),bridge,N1,Box culvert,77404,77404
13,Km post missing (LRP008),link,N1,Km post missing,77404,77404
2,Intersection with Z1101 (LRPSB),link,N1,Intersection with Z1101,77401,77401
4,Km post missing (LRP002),link,N1,Km post missing,77401,77401
1,Box Culvert (LRPSA),bridge,N1,Box Culvert,77399,77399
7,Km post missing (LRP004),link,N1,Km post missing,77399,77399
28,Right to Syedpur (R113) left to Joydebpur N105) (LRP012C),link,N1,Right to Syedpur (R113) left to Joydebpur N105),75898,75898
27,Bridge end (LRP012B),bridge,N1,Bridge end,75897,75897
25,"Chittagong 248 km,Comilla 81 km (LRP012)",link,N1,"Chittagong 248 km,Comilla 81 km",75896,75896
23,Box culvert (LRP011A),bridge,N1,Box culvert,75894,75894
24,Box culvert (LRP011B),bridge,N1,Box culvert,75893,75893
22,Km post missing (LRP011),link,N1,Km post missing,75891,75891
26,Bridge start (LRP012A),bridge,N1,Bridge start,75891,75891
20,Box culvert (LRP010B),bridge,N1,Box culvert,75890,75890
18,Km post missing (LRP010),link,N1,Km post missing,75889,75889
21,Box culvert (LRP010C),bridge,N1,Box culvert,75889,75889
19,Box culvert (LRP010A),bridge,N1,Box culvert,75888,75888
3124,Box culvert (LRP001A),bridge,N105,Box culvert,48990,48990
3152,N2 Dhaka-Sylhet -Jaflong Road (LRP012A),link,N105,N2 Dhaka-Sylhet -Jaflong Road,48987,48987
3127,"Bangabandhu bridge 127 km,Mymensingh 130 km (LRP003)",bridge,N105,"Bangabandhu bridge 127 km,Mymensingh 130 km",48986,48986
3132,Box culvert (LRP005A),bridge,N105,Box culvert,48986,48986
3150,Information  missing (LRP011),link,N105,Information  missing,48986,48986
3123,Km post missing (LRP001),link,N105,Km post missing,48985,48985
3126,Box culvert (LRP002A),bridge,N105,Box culvert,48985,48985
3138,"Z1090, Majerchar -Kayetpara Road (LRP007A)",link,N105,"Z1090, Majerchar -Kayetpara Road",48985,48985
3145,Bridge end (LRP009C),bridge,N105,Bridge end,48985,48985
3147,Box Culvert (LRP010A),bridge,N105,Box Culvert,48985,48985
3129,"Bangabandhu bridge 126 km,Mymensingh 129 km,Gazipur 45 km (LRP004)",bridge,N105,"Bangabandhu bridge 126 km,Mymensingh 129 km,Gazipur 45 km",48984,48984
