infra_id,infra_label,infra_type,road_name,infra_name,crossing_count,unique_truck_count
5,Box culvert (LRP002A),bridge,N1,Box culvert,75869,75869
3,Km post missing (LRP001),link,N1,Km post missing,75867,75867
6,Km post missing (LRP003),link,N1,Km post missing,75865,75865
4,Km post missing (LRP002),link,N1,Km post missing,75862,75862
2,Intersection with Z1101 (LRPSB),link,N1,Intersection with Z1101,75861,75861
10,Km post missing (LRP006),link,N1,Km post missing,75861,75861
8,Road to Narayanganj(R111) (LRP004A),link,N1,Road to Narayanganj(R111),75860,75860
12,"R110,Left to Demra, Right to Narayanganj (LRP007A)",link,N1,"R110,Left to Demra, Right to Narayanganj",75860,75860
1,Box Culvert (LRPSA),bridge,N1,Box Culvert,75859,75859
9,Km post missing (LRP005),link,N1,Km post missing,75859,75859
7,Km post missing (LRP004),link,N1,Km post missing,75857,75857
17,Road to Sylhet (N2) (LRP009A),link,N1,Road to Sylhet (N2),75857,75857
11,Km post missing (LRP007),link,N1,Km post missing,75856,75856
14,Kachpur bridge (LRP008A),bridge,N1,Kachpur bridge,75854,75854
15,Bridge end (LRP008B),bridge,N1,Bridge end,75854,75854
16,"Chittagong 251 km,Comilla 84 km (LRP009)",link,N1,"Chittagong 251 km,Comilla 84 km",75854,75854
13,Km post missing (LRP008),link,N1,Km post missing,75846,75846
1346,Information missing (LRP004),link,N2,Information missing,38702,38702
1347,Sylhet 226 km (LRP005),link,N2,Sylhet 226 km,38702,38702
1345,Road to Demra (R201) (LRP003A),link,N2,Road to Demra (R201),38701,38701
1350,Km post broken (LRP007),link,N2,Km post broken,38701,38701
1340,Sylhet 230 km (LRP001),link,N2,Sylhet 230 km,38698,38698
1348,Km post broken (LRP006),link,N2,Km post broken,38698,38698
1343,Bridge end (LRP002B),bridge,N2,Bridge end,38697,38697
1349,"Z1090 Left to Keyatpara,Right to Mahajanpur. (LRP006A)",link,N2,"Z1090 Left to Keyatpara,Right to Mahajanpur.",38697,38697
1354,Km post broken (LRP011),link,N2,Km post broken,38697,38697
1341,Sylhet 229 km (LRP002),link,N2,Sylhet 229 km,38696,38696
1342,Bridge start (LRP002A),bridge,N2,Bridge start,38696,38696
1344,Km post missing (LRP003),link,N2,Km post missing,38696,38696
1351,Sylhet 223 km (LRP008),link,N2,Sylhet 223 km,38696,38696
1353,Km post broken (LRP010),link,N2,Km post broken,38694,38694
1352,Km post missing (LRP009),link,N2,Km post missing,38693,38693
1355,R202 to Rupganj (LRP011A),link,N2,R202 to Rupganj,38692,38692
1356,Km post missing (LRP012),link,N2,Km post missing,38692,38692
1357,Intersection with N105 (LRP012A),link,N2,Intersection with N105,38690,38690
1358,Bridge start (LRP012B),bridge,N2,Bridge start,38690,38690
23,Box culvert (LRP011A),bridge,N1,Box culvert,35479,35479
21,Box culvert (LRP010C),bridge,N1,Box culvert,35478,35478
22,Km post missing (LRP011),link,N1,Km post missing,35476,35476
20,Box culvert (LRP010B),bridge,N1,Box culvert,35475,35475
24,Box culvert (LRP011B),bridge,N1,Box culvert,35475,35475
25,"Chittagong 248 km,Comilla 81 km (LRP012)",link,N1,"Chittagong 248 km,Comilla 81 km",35475,35475
27,Bridge end (LRP012B),bridge,N1,Bridge end,35475,35475
28,Right to Syedpur (R113) left to Joydebpur N105) (LRP012C),link,N1,Right to Syedpur (R113) left to Joydebpur N105),35475,35475
26,Bridge start (LRP012A),bridge,N1,Bridge start,35474,35474
18,Km post missing (LRP010),link,N1,Km post missing,35472,35472
19,Box culvert (LRP010A),bridge,N1,Box culvert,35472,35472
1421,Bridge start (LRP038A),bridge,N2,Bridge start,30105,30105
1543,Bridge start (LRP076A),bridge,N2,Bridge start,30052,30052
1556,Box culvert (LRP081B),bridge,N2,Box culvert,30050,30050
1450,Box culvert (LRP046C),bridge,N2,Box culvert,30025,30025
1359,Bridge end (LRP012C),bridge,N2,Bridge end,29993,29993
1360,R203 to Ramchandri (LRP012D),link,N2,R203 to Ramchandri,29992,29992
1364,Box culvert (LRP014A),bridge,N2,Box culvert,29992,29992
1362,Km post broken (LRP013),link,N2,Km post broken,29990,29990
1366,Box culvert (LRP015A),bridge,N2,Box culvert,29990,29990
1361,Box culvert (LRP012E),bridge,N2,Box culvert,29989,29989
1365,Km post missing (LRP015),link,N2,Km post missing,29989,29989
1371,Km post missing (LRP017),link,N2,Km post missing,29988,29988
1363,Km post missing (LRP014),link,N2,Km post missing,29987,29987
1374,Box culvert (LRP018A),bridge,N2,Box culvert,29986,29986
1367,Sylhet 215 km (LRP016),link,N2,Sylhet 215 km,29985,29985
1373,Sylhet 213 km (LRP018),link,N2,Sylhet 213 km,29985,29985
1368,Box culvert (LRP016A),bridge,N2,Box culvert,29984,29984
1369,Bridge start (LRP016B),bridge,N2,Bridge start,29984,29984
1370,Bridge end (LRP016C),bridge,N2,Bridge end,29984,29984
1372,Box culvert (LRP017A),bridge,N2,Box culvert,29984,29984
1375,Km post missing (LRP019),link,N2,Km post missing,29978,29978
1376,Start of Narsingdi road Division / Start of Narsingdi road Division (LRP019A),link,N2,Start of Narsingdi road Division / Start of Narsingdi road Division,29978,29978
1379,Box culvert (LRP020A),bridge,N2,Box culvert,29975,29975
1380,Sylhet 210 km (LRP021),link,N2,Sylhet 210 km,29975,29975
1377,Box Culvert (LRP019B),bridge,N2,Box Culvert,29974,29974
1378,Sylhet 211 km (LRP020),link,N2,Sylhet 211 km,29974,29974
1385,Sylhet 208 km (LRP023),link,N2,Sylhet 208 km,29973,29973
1393,Km post broken (LRP027),link,N2,Km post broken,29973,29973
1381,Box culvert (LRP021A),bridge,N2,Box culvert,29972,29972
1383,Sylhet 209 km (LRP022),link,N2,Sylhet 209 km,29972,29972
1387,Box culvert (LRP024A),bridge,N2,Box culvert,29972,29972
1388,Box culvert (LRP024B),bridge,N2,Box culvert,29971,29971
1389,Sylhet 206 km (LRP025),link,N2,Sylhet 206 km,29971,29971
1395,Road to Shakerchar (Z2038) (LRP028A),link,N2,Road to Shakerchar (Z2038),29971,29971
1382,Box culvert (LRP021B),bridge,N2,Box culvert,29970,29970
1386,Sylhet 207 km (LRP024),link,N2,Sylhet 207 km,29970,29970
1390,Box culvert (LRP025A),bridge,N2,Box culvert,29970,29970
1391,Box culvert (LRP025B),bridge,N2,Box culvert,29970,29970
1384,Box culvert (LRP022A),bridge,N2,Box culvert,29969,29969
1394,Km post missing (LRP028),link,N2,Km post missing,29969,29969
1412,Sylhet 196 km (LRP035),link,N2,Sylhet 196 km,29969,29969
1413,Box culvert (LRP035A),bridge,N2,Box culvert,29969,29969
1392,Sylhet 205 km (LRP026),link,N2,Sylhet 205 km,29968,29968
1396,Sylhet 202 km (LRP029),link,N2,Sylhet 202 km,29968,29968
1401,"R301 to Ghorashal, Z2047 to Ghorashal / Sylhet 200 km (LRP030B)",link,N2,"R301 to Ghorashal, Z2047 to Ghorashal / Sylhet 200 km",29968,29968
1402,Bridge start (LRP031A),bridge,N2,Bridge start,29968,29968
1403,Bridge end (LRP031B),bridge,N2,Bridge end,29968,29968
1397,Box culvert (LRP029A),bridge,N2,Box culvert,29967,29967
1398,Box culvert (LRP029B),bridge,N2,Box culvert,29967,29967
1407,Sylhet 198 km (LRP033),link,N2,Sylhet 198 km,29967,29967
1410,R210 to Narsingdi (LRP034A),link,N2,R210 to Narsingdi,29967,29967
1411,Box culvert (LRP034B),bridge,N2,Box culvert,29967,29967
1400,Box culvert (LRP030A),bridge,N2,Box culvert,29966,29966
1425,Box culvert (LRP039A),bridge,N2,Box culvert,29966,29966
1414,Box culvert (LRP035B),bridge,N2,Box culvert,29965,29965
1415,Km post broken (LRP036),link,N2,Km post broken,29965,29965
1416,Box culvert (LRP036A),bridge,N2,Box culvert,29965,29965
1404,Box culvert (LRP031C),bridge,N2,Box culvert,29964,29964
1405,Km post missing (LRP032),link,N2,Km post missing,29964,29964
1406,Box culvert (LRP032A),bridge,N2,Box culvert,29964,29964
1408,Box culvert (LRP033A),bridge,N2,Box culvert,29964,29964
1409,Km post missing (LRP034),link,N2,Km post missing,29964,29964
1399,Sylhet 201 km (LRP030),link,N2,Sylhet 201 km,29963,29963
1417,Km post missing (LRP037),link,N2,Km post missing,29962,29962
1419,Bridge end (LRP037B),bridge,N2,Bridge end,29962,29962
1418,Bridge start (LRP037A),bridge,N2,Bridge start,29961,29961
1420,Km post missing (LRP038),link,N2,Km post missing,29961,29961
1428,Box culvert (LRP040A),bridge,N2,Box culvert,29961,29961
1426,Box culvert (LRP039B),bridge,N2,Box culvert,29960,29960
1427,Sylhet 191 km (LRP040),link,N2,Sylhet 191 km,29960,29960
1431,Box culvert (LRP041A),bridge,N2,Box culvert,29959,29959
1422,Bridge end (LRP038B),bridge,N2,Bridge end,29958,29958
