truck_id,generated_at_step,removed_at_step,total_driving_time
Truck112352,160,2300,2140
Truck112389,345,2305,1960
Truck112324,20,2313,2293
Truck112328,40,2320,2280
Truck112354,170,2326,2156
Truck112337,85,2327,2242
Truck112397,385,2347,1962
Truck112346,130,2361,2231
Truck112321,5,2381,2376
Truck112348,140,2388,2248
Truck112374,270,2447,2177
Truck112329,45,2458,2413
Truck112460,700,2465,1765
Truck112388,340,2479,2139
Truck112334,70,2480,2410
Truck112399,395,2499,2104
Truck112331,55,2520,2465
Truck112330,50,2544,2494
Truck112332,60,2545,2485
Truck112408,440,2550,2110
Truck112390,350,2552,2202
Truck112357,185,2568,2383
Truck112394,370,2575,2205
Truck112431,555,2598,2043
Truck112340,100,2600,2500
Truck112371,255,2602,2347
Truck112335,75,2603,2528
Truck112349,145,2612,2467
Truck112373,265,2626,2361
Truck112380,300,2629,2329
Truck112391,355,2638,2283
Truck112416,480,2639,2159
Truck112338,90,2647,2557
Truck112415,475,2659,2184
Truck112325,25,2663,2638
Truck112370,250,2665,2415
Truck112412,460,2703,2243
Truck112327,35,2712,2677
Truck112341,105,2712,2607
Truck112359,195,2720,2525
Truck112405,425,2721,2296
Truck112382,310,2724,2414
Truck112385,325,2724,2399
Truck112323,15,2741,2726
Truck112379,295,2742,2447
Truck112360,200,2743,2543
Truck112378,290,2748,2458
Truck112320,0,2772,2772
Truck112336,80,2782,2702
Truck112439,595,2783,2188
Truck112480,800,2792,1992
Truck112364,220,2797,2577
Truck112322,10,2799,2789
Truck112428,540,2801,2261
Truck112401,405,2806,2401
Truck112369,245,2807,2562
Truck112426,530,2811,2281
Truck112598,1390,2821,1431
Truck112403,415,2837,2422
Truck112454,670,2847,2177
Truck112342,110,2874,2764
Truck112418,490,2879,2389
Truck112427,535,2881,2346
Truck112476,780,2882,2102
Truck112452,660,2887,2227
Truck112367,235,2889,2654
Truck112422,510,2901,2391
Truck112353,165,2918,2753
Truck112407,435,2919,2484
Truck112361,205,2924,2719
Truck112529,1045,2924,1879
Truck112411,455,2925,2470
Truck112464,720,2925,2205
Truck112459,695,2926,2231
Truck112396,380,2928,2548
Truck112368,240,2937,2697
Truck112362,210,2939,2729
Truck112387,335,2941,2606
Truck112420,500,2941,2441
Truck112471,755,2951,2196
Truck112376,280,2964,2684
Truck112384,320,2965,2645
Truck112554,1170,2980,1810
Truck112409,445,2981,2536
Truck112447,635,2982,2347
Truck112466,730,2983,2253
Truck112477,785,2991,2206
Truck112347,135,3001,2866
