truck_id,generated_at_step,removed_at_step,total_driving_time
Truck0,0,555,555
Truck1,5,560,555
Truck2,10,565,555
Truck3,15,570,555
Truck4,20,575,555
Truck5,25,580,555
Truck6,30,585,555
Truck7,35,590,555
Truck8,40,595,555
Truck9,45,600,555
Truck10,50,605,555
Truck11,55,610,555
Truck12,60,615,555
Truck13,65,620,555
Truck14,70,625,555
Truck15,75,630,555
Truck16,80,635,555
Truck17,85,640,555
Truck18,90,645,555
Truck19,95,650,555
Truck20,100,655,555
Truck21,105,660,555
Truck22,110,665,555
Truck23,115,670,555
Truck24,120,675,555
Truck25,125,680,555
Truck26,130,685,555
Truck27,135,690,555
Truck28,140,695,555
Truck29,145,700,555
Truck30,150,705,555
Truck31,155,710,555
Truck32,160,715,555
Truck33,165,720,555
Truck34,170,725,555
Truck35,175,730,555
Truck36,180,735,555
Truck37,185,740,555
Truck38,190,745,555
Truck39,195,750,555
Truck40,200,755,555
Truck41,205,760,555
Truck42,210,765,555
Truck43,215,770,555
Truck44,220,775,555
Truck45,225,780,555
Truck46,230,785,555
Truck47,235,790,555
Truck48,240,795,555
Truck49,245,800,555
Truck50,250,805,555
Truck51,255,810,555
Truck52,260,815,555
Truck53,265,820,555
Truck54,270,825,555
Truck55,275,830,555
Truck56,280,835,555
Truck57,285,840,555
Truck58,290,845,555
Truck59,295,850,555
Truck60,300,855,555
Truck61,305,860,555
Truck62,310,865,555
Truck63,315,870,555
Truck64,320,875,555
Truck65,325,880,555
Truck66,330,885,555
Truck67,335,890,555
Truck68,340,895,555
Truck69,345,900,555
Truck70,350,905,555
Truck71,355,910,555
Truck72,360,915,555
Truck73,365,920,555
Truck74,370,925,555
Truck75,375,930,555
Truck76,380,935,555
Truck77,385,940,555
Truck78,390,945,555
Truck79,395,950,555
Truck80,400,955,555
Truck81,405,960,555
Truck82,410,965,555
Truck83,415,970,555
Truck84,420,975,555
Truck85,425,980,555
Truck86,430,985,555
Truck87,435,990,555
Truck88,440,995,555
