truck_id,generated_at_step,removed_at_step,total_driving_time
Truck70575,75,826,751
Truck70565,25,865,840
Truck70561,5,868,863
Truck70571,55,907,852
Truck70570,50,909,859
Truck70596,180,912,732
Truck70598,190,958,768
Truck70578,90,960,870
Truck70583,115,980,865
Truck70584,120,984,864
Truck70582,110,998,888
Truck70590,150,1005,855
Truck70600,200,1008,808
Truck70564,20,1010,990
Truck70594,170,1012,842
Truck70597,185,1028,843
Truck70573,65,1033,968
Truck70591,155,1050,895
Truck70642,410,1067,657
Truck70585,125,1087,962
Truck70601,205,1090,885
Truck70560,0,1101,1101
Truck70616,280,1103,823
Truck70567,35,1108,1073
Truck70592,160,1112,952
Truck70577,85,1113,1028
Truck70621,305,1117,812
Truck70580,100,1122,1022
Truck70579,95,1132,1037
Truck70660,500,1133,633
Truck70581,105,1146,1041
Truck70562,10,1147,1137
Truck70574,70,1165,1095
Truck70595,175,1165,990
Truck70602,210,1166,956
Truck70657,485,1167,682
Truck70614,270,1172,902
Truck70569,45,1184,1139
Truck70613,265,1197,932
Truck70641,405,1197,792
Truck70603,215,1198,983
Truck70568,40,1200,1160
Truck70589,145,1208,1063
Truck70648,440,1210,770
Truck70612,260,1211,951
Truck70563,15,1224,1209
Truck70615,275,1230,955
Truck70620,300,1246,946
Truck70654,470,1248,778
Truck70623,315,1259,944
Truck70604,220,1260,1040
Truck70626,330,1262,932
Truck70617,285,1272,987
Truck70663,515,1283,768
Truck70624,320,1286,966
Truck70625,325,1286,961
Truck70628,340,1286,946
Truck70576,80,1297,1217
Truck70630,350,1299,949
Truck70655,475,1302,827
Truck70599,195,1324,1129
Truck70609,245,1329,1084
Truck70606,230,1337,1107
Truck70647,435,1342,907
Truck70611,255,1351,1096
Truck70634,370,1351,981
Truck70637,385,1352,967
Truck70618,290,1363,1073
Truck70588,140,1366,1226
Truck70593,165,1373,1208
Truck70635,375,1375,1000
Truck70587,135,1390,1255
Truck70675,575,1394,819
Truck70651,455,1396,941
Truck70652,460,1408,948
Truck70622,310,1410,1100
Truck70679,595,1412,817
Truck70640,400,1416,1016
Truck70636,380,1424,1044
Truck70632,360,1427,1067
Truck70607,235,1439,1204
Truck70566,30,1450,1420
Truck70682,610,1465,855
Truck70629,345,1467,1122
Truck70605,225,1469,1244
Truck70702,710,1483,773
Truck70650,450,1484,1034
Truck70638,390,1485,1095
Truck70653,465,1488,1023
Truck70659,495,1489,994
Truck70639,395,1494,1099
Truck70716,780,1495,715
Truck70671,555,1505,950
Truck70649,445,1508,1063
Truck70627,335,1509,1174
Truck70619,295,1510,1215
Truck70709,745,1514,769
Truck70689,645,1517,872
Truck70703,715,1519,804
Truck70646,430,1522,1092
Truck70669,545,1529,984
Truck70586,130,1530,1400
Truck70667,535,1535,1000
Truck70662,510,1544,1034
Truck70685,625,1544,919
Truck70676,580,1546,966
Truck70720,800,1561,761
Truck70610,250,1565,1315
Truck70643,415,1569,1154
Truck70645,425,1576,1151
Truck70661,505,1576,1071
Truck70681,605,1578,973
Truck70723,815,1594,779
Truck70631,355,1597,1242
Truck70690,650,1597,947
Truck70572,60,1601,1541
Truck70664,520,1604,1084
Truck70695,675,1606,931
Truck70718,790,1615,825
Truck70673,565,1625,1060
Truck70665,525,1636,1111
Truck70668,540,1638,1098
Truck70674,570,1647,1077
Truck70633,365,1652,1287
Truck70706,730,1654,924
Truck70670,550,1655,1105
Truck70677,585,1658,1073
Truck70608,240,1659,1419
Truck70686,630,1665,1035
Truck70693,665,1672,1007
Truck70734,870,1674,804
Truck70710,750,1679,929
Truck70722,810,1681,871
Truck70736,880,1681,801
Truck70678,590,1698,1108
Truck70644,420,1699,1279
Truck70714,770,1718,948
Truck70731,855,1718,863
Truck70698,690,1723,1033
Truck70658,490,1742,1252
Truck70735,875,1747,872
Truck70692,660,1748,1088
Truck70701,705,1748,1043
Truck70762,1010,1748,738
Truck70656,480,1752,1272
Truck70694,670,1753,1083
Truck70721,805,1764,959
Truck70687,635,1767,1132
Truck70742,910,1782,872
Truck70760,1000,1782,782
Truck70765,1025,1782,757
Truck70697,685,1786,1101
Truck70696,680,1790,1110
Truck70684,620,1797,1177
Truck70699,695,1799,1104
Truck70705,725,1800,1075
Truck70726,830,1800,970
Truck70746,930,1803,873
Truck70728,840,1804,964
Truck70672,560,1805,1245
Truck70755,975,1816,841
Truck70713,765,1829,1064
Truck70748,940,1829,889
Truck70680,600,1832,1232
Truck70711,755,1841,1086
Truck70730,850,1851,1001
Truck70740,900,1859,959
Truck70683,615,1867,1252
Truck70724,820,1877,1057
Truck70691,655,1878,1223
Truck70712,760,1886,1126
Truck70727,835,1889,1054
Truck70754,970,1892,922
Truck70738,890,1900,1010
Truck70733,865,1911,1046
Truck70744,920,1912,992
Truck70688,640,1913,1273
Truck70741,905,1916,1011
Truck70666,530,1927,1397
Truck70719,795,1927,1132
Truck70751,955,1936,981
Truck70782,1110,1936,826
Truck70799,1195,1944,749
Truck70729,845,1945,1100
Truck70747,935,1957,1022
Truck70790,1150,1959,809
Truck70774,1070,1961,891
Truck70707,735,1969,1234
Truck70732,860,1973,1113
Truck70749,945,1979,1034
Truck70764,1020,1982,962
Truck70700,700,1991,1291
Truck70788,1140,1992,852
Truck70715,775,2002,1227
Truck70819,1295,2012,717
Truck70770,1050,2016,966
Truck70839,1395,2022,627
Truck70739,895,2026,1131
Truck70753,965,2026,1061
Truck70773,1065,2028,963
Truck70778,1090,2037,947
Truck70802,1210,2041,831
Truck70763,1015,2042,1027
Truck70725,825,2045,1220
Truck70750,950,2048,1098
Truck70831,1355,2051,696
Truck70821,1305,2067,762
Truck70766,1030,2076,1046
Truck70737,885,2080,1195
Truck70771,1055,2083,1028
Truck70787,1135,2085,950
Truck70798,1190,2092,902
Truck70823,1315,2094,779
Truck70809,1245,2098,853
Truck70704,720,2111,1391
Truck70745,925,2116,1191
Truck70795,1175,2119,944
Truck70758,990,2120,1130
Truck70767,1035,2124,1089
Truck70743,915,2126,1211
Truck70792,1160,2128,968
Truck70761,1005,2130,1125
Truck70769,1045,2135,1090
Truck70717,785,2137,1352
Truck70786,1130,2140,1010
Truck70801,1205,2140,935
Truck70818,1290,2140,850
Truck70785,1125,2145,1020
Truck70811,1255,2151,896
Truck70756,980,2153,1173
Truck70757,985,2154,1169
Truck70808,1240,2154,914
Truck70805,1225,2158,933
Truck70816,1280,2160,880
Truck70783,1115,2169,1054
Truck70794,1170,2171,1001
Truck70806,1230,2174,944
Truck70817,1285,2178,893
Truck70708,740,2187,1447
Truck70777,1085,2187,1102
Truck70804,1220,2192,972
Truck70772,1060,2202,1142
Truck70789,1145,2225,1080
Truck70775,1075,2231,1156
Truck70784,1120,2231,1111
Truck70780,1100,2240,1140
Truck70768,1040,2242,1202
Truck70803,1215,2242,1027
Truck70810,1250,2250,1000
Truck70752,960,2256,1296
Truck70793,1165,2264,1099
Truck70848,1440,2264,824
Truck70779,1095,2269,1174
Truck70781,1105,2272,1167
Truck70797,1185,2278,1093
Truck70800,1200,2278,1078
Truck70807,1235,2279,1044
Truck70826,1330,2283,953
Truck70829,1345,2288,943
Truck70776,1080,2289,1209
Truck70822,1310,2289,979
Truck70796,1180,2294,1114
Truck70841,1405,2305,900
Truck70759,995,2311,1316
Truck70862,1510,2314,804
Truck70791,1155,2316,1161
Truck70815,1275,2317,1042
Truck70887,1635,2318,683
Truck70812,1260,2326,1066
Truck70830,1350,2353,1003
Truck70820,1300,2354,1054
Truck70851,1455,2356,901
Truck70828,1340,2366,1026
Truck70832,1360,2367,1007
Truck70854,1470,2373,903
Truck70827,1335,2380,1045
Truck70858,1490,2380,890
Truck70852,1460,2381,921
Truck70863,1515,2385,870
Truck70844,1420,2392,972
Truck70842,1410,2395,985
Truck70849,1445,2402,957
Truck70855,1475,2435,960
Truck70835,1375,2439,1064
Truck70845,1425,2444,1019
Truck70857,1485,2445,960
Truck70847,1435,2448,1013
Truck70867,1535,2468,933
Truck70824,1320,2482,1162
Truck70836,1380,2490,1110
Truck70813,1265,2493,1228
Truck70888,1640,2495,855
Truck70907,1735,2501,766
Truck70914,1770,2515,745
Truck70864,1520,2523,1003
Truck70837,1385,2524,1139
Truck70850,1450,2524,1074
Truck70865,1525,2524,999
Truck70814,1270,2525,1255
Truck70885,1625,2525,900
Truck70927,1835,2525,690
Truck70905,1725,2532,807
Truck70880,1600,2542,942
Truck70897,1685,2550,865
Truck70868,1540,2553,1013
Truck70859,1495,2561,1066
Truck70866,1530,2572,1042
Truck70877,1585,2572,987
Truck70917,1785,2574,789
Truck70838,1390,2575,1185
Truck70893,1665,2577,912
Truck70846,1430,2584,1154
Truck70833,1365,2586,1221
Truck70840,1400,2594,1194
Truck70860,1500,2596,1096
Truck70926,1830,2596,766
Truck70889,1645,2599,954
Truck70882,1610,2624,1014
Truck70861,1505,2630,1125
Truck70843,1415,2631,1216
Truck70869,1545,2634,1089
Truck70878,1590,2635,1045
Truck70928,1840,2637,797
Truck70890,1650,2643,993
Truck70879,1595,2655,1060
Truck70881,1605,2655,1050
Truck70938,1890,2655,765
Truck70915,1775,2660,885
Truck70895,1675,2662,987
Truck70883,1615,2671,1056
Truck70825,1325,2673,1348
Truck70949,1945,2676,731
Truck70896,1680,2685,1005
Truck70874,1570,2698,1128
Truck70884,1620,2709,1089
Truck70870,1550,2711,1161
Truck70871,1555,2723,1168
Truck70891,1655,2724,1069
Truck70953,1965,2725,760
Truck70853,1465,2735,1270
Truck70908,1740,2735,995
Truck70922,1810,2737,927
Truck70929,1845,2737,892
Truck70872,1560,2749,1189
Truck70903,1715,2752,1037
Truck70875,1575,2756,1181
Truck70969,2045,2760,715
Truck70934,1870,2768,898
Truck70906,1730,2779,1049
Truck70916,1780,2779,999
Truck70932,1860,2782,922
Truck70834,1370,2790,1420
Truck70920,1800,2790,990
Truck70936,1880,2795,915
Truck70856,1480,2800,1320
Truck70942,1910,2800,890
Truck70939,1895,2807,912
Truck70876,1580,2821,1241
Truck70941,1905,2824,919
Truck70901,1705,2834,1129
Truck70899,1695,2840,1145
Truck70924,1820,2841,1021
Truck70952,1960,2865,905
Truck70898,1690,2871,1181
Truck70909,1745,2871,1126
Truck70935,1875,2875,1000
Truck70913,1765,2876,1111
Truck70873,1565,2883,1318
Truck70947,1935,2884,949
Truck70940,1900,2885,985
Truck70933,1865,2889,1024
Truck70919,1795,2898,1103
Truck70977,2085,2899,814
Truck70894,1670,2903,1233
Truck70982,2110,2905,795
Truck70912,1760,2907,1147
Truck70937,1885,2918,1033
Truck70972,2060,2932,872
Truck70931,1855,2936,1081
Truck70904,1720,2938,1218
Truck70967,2035,2940,905
Truck70954,1970,2950,980
Truck70992,2160,2950,790
Truck70902,1710,2952,1242
Truck70963,2015,2954,939
Truck70925,1825,2955,1130
Truck71000,2200,2956,756
Truck70892,1660,2977,1317
Truck70970,2050,2993,943
Truck70995,2175,2996,821
Truck70961,2005,3001,996
Truck70900,1700,3006,1306
Truck70976,2080,3011,931
Truck70951,1955,3014,1059
Truck70918,1790,3025,1235
Truck70956,1980,3034,1054
Truck71014,2270,3037,767
Truck70981,2105,3039,934
Truck70948,1940,3041,1101
Truck70950,1950,3062,1112
Truck71009,2245,3064,819
Truck70998,2190,3069,879
Truck70911,1755,3074,1319
Truck70955,1975,3077,1102
Truck70980,2100,3079,979
Truck71046,2430,3082,652
Truck70978,2090,3090,1000
Truck71018,2290,3098,808
Truck70983,2115,3100,985
Truck70945,1925,3104,1179
Truck70923,1815,3108,1293
Truck70946,1930,3111,1181
Truck70965,2025,3117,1092
Truck70993,2165,3130,965
Truck70964,2020,3132,1112
Truck70959,1995,3140,1145
Truck70910,1750,3144,1394
Truck70886,1630,3146,1516
Truck70973,2065,3152,1087
Truck70957,1985,3154,1169
Truck71021,2305,3154,849
Truck70988,2140,3161,1021
Truck70943,1915,3163,1248
Truck70986,2130,3163,1033
Truck71001,2205,3163,958
Truck70975,2075,3164,1089
Truck70984,2120,3164,1044
Truck71025,2325,3164,839
Truck71006,2230,3167,937
Truck70996,2180,3168,988
Truck71022,2310,3168,858
Truck71002,2210,3175,965
Truck70930,1850,3181,1331
Truck71052,2460,3183,723
Truck70974,2070,3186,1116
Truck71023,2315,3191,876
Truck70944,1920,3195,1275
Truck71008,2240,3200,960
Truck71044,2420,3201,781
Truck70997,2185,3203,1018
Truck70962,2010,3204,1194
Truck71010,2250,3207,957
Truck71013,2265,3218,953
Truck71004,2220,3220,1000
Truck71032,2360,3224,864
Truck70979,2095,3227,1132
Truck71041,2405,3230,825
Truck70971,2055,3233,1178
Truck71045,2425,3233,808
Truck71029,2345,3238,893
Truck71059,2495,3239,744
Truck70968,2040,3254,1214
Truck71003,2215,3256,1041
Truck70960,2000,3260,1260
Truck71037,2385,3260,875
Truck70921,1805,3263,1458
Truck70966,2030,3266,1236
Truck71035,2375,3279,904
Truck70989,2145,3281,1136
Truck71015,2275,3287,1012
Truck71020,2300,3288,988
Truck70994,2170,3292,1122
Truck71048,2440,3294,854
Truck71030,2350,3295,945
Truck71061,2505,3302,797
Truck71050,2450,3307,857
Truck71051,2455,3325,870
Truck71012,2260,3329,1069
Truck71005,2225,3330,1105
Truck71024,2320,3335,1015
Truck71011,2255,3355,1100
Truck70991,2155,3358,1203
Truck71027,2335,3366,1031
Truck71017,2285,3368,1083
Truck71078,2590,3369,779
Truck71007,2235,3390,1155
Truck71047,2435,3394,959
Truck70958,1990,3395,1405
Truck71071,2555,3397,842
Truck71069,2545,3398,853
Truck71066,2530,3408,878
Truck70990,2150,3412,1262
Truck71028,2340,3412,1072
Truck70999,2195,3425,1230
Truck71081,2605,3432,827
Truck71038,2390,3439,1049
Truck71056,2480,3442,962
Truck71031,2355,3443,1088
Truck71057,2485,3444,959
Truck71042,2410,3448,1038
Truck71077,2585,3455,870
Truck70985,2125,3462,1337
Truck71089,2645,3466,821
Truck71034,2370,3467,1097
Truck71039,2395,3484,1089
Truck71049,2445,3493,1048
Truck71104,2720,3507,787
Truck71079,2595,3509,914
Truck71129,2845,3509,664
Truck70987,2135,3513,1378
Truck71062,2510,3513,1003
Truck71084,2620,3515,895
Truck71072,2560,3516,956
Truck71064,2520,3519,999
Truck71026,2330,3520,1190
Truck71043,2415,3523,1108
Truck71102,2710,3523,813
Truck71058,2490,3528,1038
Truck71065,2525,3535,1010
Truck71076,2580,3536,956
Truck71073,2565,3547,982
Truck71086,2630,3557,927
Truck71109,2745,3564,819
Truck71016,2280,3574,1294
Truck71019,2295,3579,1284
Truck71087,2635,3598,963
Truck71036,2380,3610,1230
Truck71095,2675,3610,935
Truck71070,2550,3622,1072
Truck71080,2600,3629,1029
Truck71082,2610,3642,1032
Truck71085,2625,3651,1026
Truck71090,2650,3656,1006
Truck71083,2615,3667,1052
Truck71142,2910,3667,757
Truck71067,2535,3671,1136
Truck71068,2540,3671,1131
Truck71093,2665,3671,1006
Truck71091,2655,3672,1017
Truck71063,2515,3673,1158
Truck71124,2820,3682,862
Truck71116,2780,3685,905
Truck71105,2725,3686,961
Truck71094,2670,3690,1020
Truck71074,2570,3694,1124
Truck71162,3010,3696,686
Truck71075,2575,3700,1125
Truck71053,2465,3708,1243
Truck71120,2800,3714,914
Truck71139,2895,3716,821
Truck71054,2470,3717,1247
Truck71101,2705,3733,1028
Truck71092,2660,3739,1079
Truck71098,2690,3739,1049
Truck71118,2790,3741,951
Truck71140,2900,3743,843
Truck71099,2695,3746,1051
Truck71119,2795,3746,951
Truck71100,2700,3765,1065
Truck71144,2920,3765,845
Truck71151,2955,3768,813
Truck71060,2500,3771,1271
Truck71150,2950,3779,829
Truck71156,2980,3809,829
Truck71096,2680,3813,1133
Truck71111,2755,3822,1067
Truck71134,2870,3826,956
Truck71107,2735,3831,1096
Truck71178,3090,3831,741
Truck71112,2760,3834,1074
Truck71110,2750,3836,1086
Truck71114,2770,3848,1078
Truck71154,2970,3848,878
Truck71040,2400,3861,1461
Truck71103,2715,3862,1147
Truck71088,2640,3864,1224
Truck71168,3040,3879,839
Truck71126,2830,3890,1060
Truck71161,3005,3899,894
Truck71132,2860,3905,1045
Truck71145,2925,3910,985
Truck71125,2825,3917,1092
Truck71190,3150,3918,768
Truck71033,2365,3923,1558
Truck71135,2875,3923,1048
Truck71122,2810,3929,1119
Truck71055,2475,3930,1455
Truck71153,2965,3931,966
Truck71180,3100,3931,831
Truck71212,3260,3931,671
Truck71143,2915,3937,1022
Truck71141,2905,3941,1036
Truck71121,2805,3945,1140
Truck71128,2840,3946,1106
Truck71169,3045,3950,905
Truck71106,2730,3952,1222
Truck71115,2775,3955,1180
Truck71137,2885,3955,1070
Truck71171,3055,3957,902
Truck71117,2785,3964,1179
Truck71123,2815,3966,1151
Truck71157,2985,3970,985
Truck71155,2975,3973,998
Truck71203,3215,3996,781
Truck71108,2740,3999,1259
Truck71149,2945,4007,1062
Truck71127,2835,4017,1182
Truck71159,2995,4025,1030
Truck71097,2685,4027,1342
Truck71166,3030,4040,1010
Truck71170,3050,4058,1008
Truck71131,2855,4071,1216
Truck71232,3360,4071,711
Truck71220,3300,4083,783
Truck71191,3155,4089,934
Truck71192,3160,4093,933
Truck71185,3125,4095,970
Truck71189,3145,4097,952
Truck71216,3280,4097,817
Truck71172,3060,4102,1042
Truck71179,3095,4108,1013
Truck71160,3000,4110,1110
Truck71231,3355,4117,762
Truck71193,3165,4120,955
Truck71147,2935,4125,1190
