truck_id,generated_at_step,removed_at_step,total_driving_time
Truck31681,5,560,555
Truck31683,15,570,555
Truck31684,20,575,555
Truck31688,40,595,555
Truck31686,30,598,568
Truck31689,45,602,557
Truck31687,35,605,570
Truck31692,60,615,555
Truck31693,65,620,555
Truck31691,55,622,567
Truck31694,70,627,557
Truck31695,75,630,555
Truck31680,0,636,636
Truck31682,10,644,634
Truck31698,90,645,555
Truck31699,95,650,555
Truck31701,105,660,555
Truck31702,110,665,555
Truck31685,25,669,644
Truck31705,125,682,557
Truck31690,50,684,634
Truck31704,120,687,567
Truck31707,135,692,557
Truck31706,130,699,569
Truck31710,150,708,558
Truck31711,155,712,557
Truck31696,80,714,634
Truck31712,160,715,555
Truck31697,85,717,632
Truck31713,165,720,555
Truck31714,170,725,555
Truck31715,175,730,555
Truck31700,100,734,634
Truck31718,190,748,558
Truck31719,195,750,555
Truck31703,115,751,636
Truck31721,205,760,555
Truck31723,215,770,555
Truck31708,140,775,635
Truck31709,145,777,632
Truck31722,210,778,568
Truck31725,225,780,555
Truck31728,240,797,557
Truck31729,245,800,555
Truck31726,230,801,571
Truck31716,180,814,634
Truck31731,255,816,561
Truck31717,185,817,632
Truck31733,265,820,555
Truck31734,270,825,555
Truck31720,200,834,634
Truck31736,280,839,559
Truck31737,285,840,555
Truck31738,290,847,557
Truck31739,295,850,555
Truck31724,220,854,634
Truck31740,300,857,557
Truck31741,305,860,555
Truck31743,315,870,555
Truck31744,320,875,555
Truck31727,235,879,644
Truck31730,250,882,632
Truck31745,325,882,557
Truck31746,330,888,558
Truck31747,335,890,555
Truck31732,260,894,634
Truck31748,340,897,557
Truck31749,345,902,557
Truck31750,350,905,555
Truck31735,275,909,634
Truck31751,355,910,555
Truck31754,370,925,555
Truck31753,365,926,561
Truck31752,360,927,567
Truck31756,380,939,559
Truck31742,310,944,634
Truck31757,385,954,569
Truck31759,395,954,559
Truck31760,400,957,557
Truck31761,405,960,555
Truck31758,390,961,571
Truck31762,410,965,555
Truck31763,415,972,557
Truck31765,425,980,555
Truck31766,430,985,555
Truck31767,435,990,555
Truck31769,445,1000,555
Truck31770,450,1005,555
Truck31755,375,1007,632
Truck31771,455,1012,557
Truck31772,460,1019,559
Truck31773,465,1020,555
Truck31774,470,1025,555
Truck31775,475,1030,555
Truck31776,480,1037,557
Truck31777,485,1042,557
Truck31779,495,1050,555
Truck31781,505,1060,555
Truck31780,500,1067,567
Truck31783,515,1070,555
Truck31784,520,1077,557
Truck31782,510,1080,570
Truck31785,525,1080,555
Truck31768,440,1084,644
Truck31788,540,1095,555
Truck31789,545,1100,555
Truck31787,535,1102,567
Truck31790,550,1108,558
Truck31791,555,1110,555
Truck31793,565,1120,555
Truck31778,490,1124,634
Truck31794,570,1127,557
Truck31795,575,1132,557
Truck31764,420,1133,713
Truck31797,585,1142,557
Truck31798,590,1145,555
Truck31799,595,1152,557
Truck31801,605,1160,555
Truck31786,530,1164,634
Truck31800,600,1170,570
Truck31803,615,1172,557
Truck31805,625,1182,557
Truck31806,630,1187,557
Truck31792,560,1195,635
Truck31807,635,1202,567
Truck31809,645,1203,558
Truck31810,650,1205,555
Truck31811,655,1210,555
Truck31812,660,1215,555
Truck31815,675,1230,555
Truck31814,670,1232,562
Truck31816,680,1237,557
Truck31802,610,1244,634
Truck31819,695,1250,555
Truck31804,620,1254,634
Truck31817,685,1254,569
Truck31820,700,1255,555
Truck31818,690,1259,569
Truck31821,705,1272,567
Truck31808,640,1274,634
Truck31824,720,1275,555
Truck31822,710,1279,569
Truck31825,725,1280,555
Truck31826,730,1285,555
Truck31796,580,1291,711
Truck31813,665,1299,634
Truck31828,740,1300,560
Truck31829,745,1300,555
Truck31830,750,1305,555
Truck31832,760,1319,559
Truck31833,765,1320,555
Truck31834,770,1325,555
Truck31835,775,1343,568
Truck31837,785,1343,558
Truck31839,795,1350,555
Truck31823,715,1351,636
Truck31841,805,1363,558
Truck31842,810,1365,555
Truck31827,735,1369,634
Truck31843,815,1370,555
Truck31844,820,1375,555
Truck31845,825,1380,555
Truck31831,755,1387,632
Truck31847,835,1390,555
Truck31849,845,1400,555
Truck31850,850,1405,555
Truck31848,840,1409,569
Truck31851,855,1412,557
Truck31853,865,1420,555
Truck31836,780,1426,646
Truck31838,790,1426,636
Truck31854,870,1428,558
Truck31855,875,1430,555
Truck31840,800,1432,632
Truck31856,880,1439,559
Truck31858,890,1445,555
Truck31857,885,1452,567
Truck31860,900,1455,555
Truck31846,830,1466,636
Truck31866,930,1488,558
Truck31864,920,1489,569
Truck31852,860,1494,634
Truck31868,940,1495,555
Truck31869,945,1500,555
Truck31871,955,1513,558
Truck31872,960,1515,555
Truck31870,950,1517,567
Truck31874,970,1525,555
Truck31859,895,1529,634
Truck31875,975,1530,555
Truck31876,980,1535,555
Truck31861,905,1539,634
Truck31862,910,1542,632
Truck31878,990,1545,555
Truck31863,915,1551,636
Truck31877,985,1552,567
Truck31879,995,1556,561
Truck31865,925,1561,636
Truck31881,1005,1562,557
Truck31882,1010,1565,555
Truck31867,935,1569,634
Truck31880,1000,1569,569
Truck31883,1015,1570,555
Truck31884,1020,1575,555
Truck31886,1030,1589,559
Truck31887,1035,1590,555
Truck31873,965,1599,634
Truck31889,1045,1602,557
Truck31890,1050,1605,555
Truck31891,1055,1610,555
Truck31892,1060,1618,558
Truck31893,1065,1620,555
Truck31894,1070,1625,555
Truck31895,1075,1630,555
Truck31896,1080,1635,555
Truck31897,1085,1640,555
