bridge_id,bridge_name,road_name,condition,total_wait_time
1,Box Culvert,N1,A,0.0
5,Box culvert,N1,A,0.0
14,Kachpur bridge,N1,A,0.0
15,Bridge end,N1,A,0.0
19,Box culvert,N1,B,174.10377642720132
20,Box culvert,N1,A,0.0
21,Box culvert,N1,A,0.0
23,Box culvert,N1,A,0.0
24,Box culvert,N1,A,0.0
26,Bridge start,N1,A,0.0
27,Bridge end,N1,A,0.0
30,Box culvert,N1,A,0.0
33,Box culvert,N1,B,213.11748186785286
36,Langalbandhu bridge,N1,B,4934.766696901685
37,Bridge end,N1,C,10837.464657680253
39,Bridge start,N1,C,3507.7522171219784
40,Bridge end,N1,C,251.3967602770937
41,Bridge start,N1,A,0.0
42,Bridge end,N1,A,0.0
44,Bridge start,N1,B,2081.379999935772
45,Bridge end,N1,A,0.0
47,Box culvert,N1,C,250.531234872091
48,Box culvert,N1,B,1226.681949198341
51,Bridge start,N1,B,5072.460965134526
52,Bridge end,N1,B,4865.103164441908
54,Box culvert,N1,A,0.0
56,Bridge start,N1,B,180.3504447209754
57,Bridge end,N1,B,119.23890711919262
58,Bridge start,N1,B,4834.4100213831
59,Bridge end,N1,B,108.43747638005696
61,Meghna  bridge,N1,A,0.0
63,Bridge end,N1,A,0.0
66,Box culvert,N1,A,0.0
67,Box culvert,N1,A,0.0
69,Bridge start,N1,A,0.0
71,Bridge end,N1,A,0.0
72,Bridge start,N1,A,0.0
73,Bridge end,N1,A,0.0
75,Bridge start,N1,A,0.0
76,Bridge end,N1,A,0.0
78,Bridge start,N1,A,0.0
79,Bridge end,N1,A,0.0
80,Bridge start,N1,A,0.0
81,Bridge end,N1,A,0.0
84,Bridge start,N1,A,0.0
85,Bridge end,N1,A,0.0
87,Box culvert,N1,A,0.0
89,Bridge start,N1,A,0.0
90,Bridge end,N1,A,0.0
91,Box culvert,N1,A,0.0
94,Bridge start,N1,A,0.0
95,Bridge end,N1,A,0.0
96,Box culvert,N1,A,0.0
98,Daudkandi bridge,N1,A,0.0
101,Daudkandi bridge,N1,A,0.0
104,Bridge start,N1,C,7105.804430846146
105,Bridge end,N1,C,5907.401414153002
107,Box culvert,N1,C,551.3920643215775
111,Bridge start,N1,C,6508.147404532518
112,Bridge end,N1,C,6559.093286231447
116,Box culvert,N1,C,330.9376457926523
120,Box culvert,N1,C,6922.073226355312
124,Bridge start,N1,A,0.0
125,Bridge end,N1,A,0.0
128,Bridge start,N1,A,0.0
129,Bridge end,N1,A,0.0
132,Box culvert,N1,C,255.295924182934
137,Bridge start,N1,C,6718.036836021319
138,Bridge end,N1,C,10785.068769655403
142,Box culvert,N1,B,7966.154248386986
145,Box culvert,N1,B,4704.304655441794
150,Box culvert,N1,B,119.14153840653759
151,Box culvert,N1,B,177.0533389309715
155,Box culvert,N1,B,6341.49839817563
158,Box culvert,N1,A,0.0
165,Bridge start,N1,C,5485.713548909684
166,Bridge end,N1,C,9261.752718862539
170,Box culvert,N1,B,3504.7619872804257
172,Box culvert,N1,B,3866.062090756085
177,Box culvert,N1,C,10312.413895422555
181,Box culvert,N1,B,167.87344738866508
183,Box culvert,N1,A,0.0
186,Box culvert,N1,A,0.0
193,Bridge start,N1,A,0.0
194,Bridge end,N1,A,0.0
200,Bridge start,N1,C,2722.146943012084
201,Bridge end,N1,C,240.76329297888176
206,Bridge start,N1,C,7065.257302653881
207,Bridge end,N1,C,382.28940386696917
211,Box culvert,N1,C,230.1727911202985
213,Bridge start,N1,A,0.0
214,Bridge end,N1,A,0.0
217,Box culvert,N1,A,0.0
218,Box culvert,N1,A,0.0
219,Box culvert,N1,A,0.0
221,Bridge start,N1,A,0.0
222,Bridge end,N1,A,0.0
225,Box culvert,N1,A,0.0
227,Bridge start,N1,C,3101.0973868730002
228,Bridge end,N1,C,293.8609606167317
230,Box culvert,N1,C,221.77322717968326
233,Bridge start,N1,A,0.0
234,Bridge end,N1,A,0.0
238,Bridge start,N1,A,0.0
239,Bridge end,N1,A,0.0
241,Bridge start,N1,A,0.0
242,Bridge end,N1,A,0.0
243,Box culvert,N1,B,4898.781022189974
245,Box culvert,N1,B,168.06139415432438
247,Bridge start,N1,A,0.0
248,Bridge end,N1,A,0.0
250,Box culvert,N1,A,0.0
252,Box culvert,N1,B,231.9733680851478
255,Box culvert,N1,B,217.44848885927877
256,Box culvert,N1,B,234.68622828782304
257,Box culvert,N1,B,226.1169346291586
259,Box culvert,N1,B,103.22055751904556
261,Box culvert,N1,B,5142.842725810683
262,Bridge start,N1,B,3349.445830896495
263,Bridge end,N1,B,148.60713669012333
264,Box culvert,N1,B,122.02776996893489
266,Box culvert,N1,B,229.81101223697806
267,Box culvert,N1,A,0.0
269,Box culvert,N1,B,212.67476399508672
270,Box culvert,N1,B,133.002092958159
273,Box culvert,N1,A,0.0
275,Box culvert,N1,B,87.58879333015487
277,Box culvert,N1,A,0.0
279,Box culvert,N1,A,0.0
281,Bridge start,N1,C,6059.997296961383
282,Bridge end,N1,C,293.7447817253378
284,Box culvert,N1,B,140.95895950917927
286,Bridge start,N1,B,3232.662234650325
287,Bridge end,N1,A,0.0
289,Box culvert,N1,B,108.01709744019658
292,Box culvert,N1,B,5878.997062955707
294,Box culvert,N1,B,175.71246936629424
