truck_id,generated_at_step,removed_at_step,total_driving_time
Truck93607,35,1548,1513
Truck93624,120,1621,1501
Truck93610,50,1672,1622
Truck93660,300,1711,1411
Truck93615,75,1723,1648
Truck93627,135,1729,1594
Truck93661,305,1746,1441
Truck93651,255,1763,1508
Truck93621,105,1781,1676
Truck93670,350,1789,1439
Truck93605,25,1796,1771
Truck93679,395,1807,1412
Truck93631,155,1814,1659
Truck93604,20,1815,1795
Truck93613,65,1817,1752
Truck93640,200,1844,1644
Truck93628,140,1845,1705
Truck93632,160,1846,1686
Truck93612,60,1864,1804
Truck93622,110,1864,1754
Truck93637,185,1867,1682
Truck93600,0,1870,1870
Truck93653,265,1871,1606
Truck93685,425,1899,1474
Truck93602,10,1909,1899
Truck93642,210,1929,1719
Truck93630,150,1932,1782
Truck93639,195,1937,1742
Truck93635,175,1940,1765
Truck93707,535,1946,1411
Truck93611,55,1952,1897
Truck93662,310,1960,1650
Truck93629,145,1961,1816
Truck93692,460,1971,1511
Truck93657,285,1987,1702
Truck93625,125,1995,1870
Truck93626,130,2002,1872
Truck93691,455,2007,1552
Truck93680,400,2014,1614
Truck93623,115,2020,1905
Truck93618,90,2023,1933
Truck93720,600,2044,1444
Truck93620,100,2056,1956
Truck93730,650,2066,1416
Truck93654,270,2071,1801
Truck93689,445,2075,1630
Truck93734,670,2082,1412
Truck93678,390,2084,1694
Truck93649,245,2091,1846
Truck93634,170,2102,1932
Truck93700,500,2102,1602
Truck93606,30,2110,2080
Truck93644,220,2112,1892
Truck93740,700,2112,1412
Truck93638,190,2113,1923
Truck93752,760,2132,1372
Truck93608,40,2151,2111
Truck93688,440,2154,1714
Truck93746,730,2156,1426
Truck93701,505,2165,1660
Truck93696,480,2167,1687
Truck93603,15,2187,2172
Truck93675,375,2188,1813
Truck93686,430,2188,1758
Truck93646,230,2191,1961
Truck93755,775,2196,1421
Truck93710,550,2203,1653
Truck93617,85,2206,2121
Truck93641,205,2207,2002
Truck93728,640,2207,1567
Truck93667,335,2211,1876
Truck93652,260,2224,1964
Truck93713,565,2227,1662
Truck93616,80,2234,2154
Truck93601,5,2238,2233
Truck93658,290,2239,1949
Truck93677,385,2240,1855
Truck93674,370,2245,1875
Truck93790,950,2246,1296
Truck93647,235,2263,2028
Truck93721,605,2270,1665
Truck93681,405,2284,1879
Truck93682,410,2284,1874
Truck93731,655,2303,1648
Truck93655,275,2304,2029
Truck93687,435,2312,1877
Truck93663,315,2313,1998
Truck93745,725,2331,1606
Truck93699,495,2333,1838
Truck93751,755,2335,1580
Truck93690,450,2338,1888
Truck93714,570,2339,1769
Truck93719,595,2341,1746
Truck93773,865,2341,1476
Truck93733,665,2344,1679
Truck93669,345,2347,2002
Truck93784,920,2355,1435
Truck93724,620,2357,1737
Truck93754,770,2365,1595
Truck93619,95,2366,2271
Truck93636,180,2371,2191
Truck93665,325,2373,2048
Truck93799,995,2378,1383
Truck93722,610,2382,1772
Truck93693,465,2385,1920
Truck93697,485,2396,1911
Truck93695,475,2400,1925
Truck93672,360,2404,2044
Truck93712,560,2404,1844
Truck93633,165,2411,2246
Truck93609,45,2420,2375
Truck93643,215,2423,2208
Truck93659,295,2425,2130
Truck93729,645,2430,1785
Truck93671,355,2434,2079
Truck93650,250,2438,2188
Truck93709,545,2443,1898
Truck93656,280,2445,2165
Truck93750,750,2468,1718
Truck93702,510,2469,1959
Truck93705,525,2472,1947
Truck93772,860,2474,1614
Truck93727,635,2475,1840
Truck93744,720,2479,1759
Truck93816,1080,2483,1403
Truck93668,340,2495,2155
Truck93676,380,2502,2122
Truck93757,785,2506,1721
Truck93723,615,2507,1892
Truck93683,415,2509,2094
Truck93694,470,2509,2039
Truck93664,320,2514,2194
Truck93767,835,2516,1681
Truck93614,70,2525,2455
Truck93781,905,2527,1622
Truck93753,765,2529,1764
Truck93813,1065,2532,1467
Truck93782,910,2534,1624
Truck93645,225,2537,2312
Truck93756,780,2538,1758
Truck93735,675,2540,1865
Truck93648,240,2549,2309
Truck93703,515,2550,2035
Truck93758,790,2552,1762
Truck93779,895,2557,1662
Truck93743,715,2558,1843
Truck93770,850,2558,1708
Truck93698,490,2561,2071
Truck93673,365,2562,2197
Truck93777,885,2567,1682
Truck93666,330,2576,2246
Truck93711,555,2586,2031
Truck93725,625,2586,1961
Truck93785,925,2586,1661
Truck93855,1275,2586,1311
Truck93783,915,2592,1677
Truck93774,870,2595,1725
Truck93726,630,2600,1970
Truck93747,735,2610,1875
Truck93791,955,2611,1656
Truck93819,1095,2620,1525
Truck93829,1145,2620,1475
Truck93789,945,2628,1683
Truck93760,800,2634,1834
Truck93786,930,2646,1716
Truck93684,420,2649,2229
Truck93775,875,2654,1779
Truck93793,965,2681,1716
Truck93708,540,2704,2164
Truck93848,1240,2708,1468
Truck93732,660,2710,2050
Truck93832,1160,2713,1553
Truck93749,745,2715,1970
Truck93769,845,2717,1872
Truck93814,1070,2721,1651
Truck93761,805,2723,1918
Truck93716,580,2724,2144
Truck93706,530,2727,2197
Truck93837,1185,2729,1544
Truck93851,1255,2735,1480
Truck93704,520,2737,2217
Truck93763,815,2737,1922
Truck93738,690,2738,2048
Truck93795,975,2744,1769
Truck93739,695,2750,2055
Truck93787,935,2757,1822
Truck93809,1045,2764,1719
Truck93806,1030,2766,1736
Truck93823,1115,2779,1664
Truck93850,1250,2782,1532
Truck93798,990,2790,1800
Truck93718,590,2791,2201
Truck93771,855,2797,1942
Truck93827,1135,2799,1664
Truck93778,890,2802,1912
Truck93804,1020,2808,1788
