truck_id,generated_at_step,removed_at_step,total_driving_time
Truck119577,285,3989,3704
Truck119521,5,4004,3999
Truck119537,85,4072,3987
Truck119567,235,4103,3868
Truck119605,425,4170,3745
Truck119570,250,4196,3946
Truck119528,40,4226,4186
Truck119548,140,4226,4086
Truck119560,200,4227,4027
Truck119569,245,4231,3986
Truck119572,260,4265,4005
Truck119525,25,4285,4260
Truck119580,300,4303,4003
Truck119520,0,4320,4320
Truck119618,490,4343,3853
Truck119539,95,4361,4266
Truck119530,50,4392,4342
Truck119543,115,4394,4279
Truck119545,125,4406,4281
Truck119541,105,4414,4309
Truck119601,405,4457,4052
Truck119669,745,4459,3714
Truck119565,225,4472,4247
Truck119549,145,4488,4343
Truck119631,555,4491,3936
Truck119542,110,4507,4397
Truck119564,220,4509,4289
Truck119619,495,4525,4030
Truck119538,90,4542,4452
Truck119627,535,4557,4022
Truck119664,720,4558,3838
Truck119663,715,4567,3852
Truck119616,480,4569,4089
Truck119522,10,4576,4566
Truck119546,130,4576,4446
Truck119714,970,4594,3624
Truck119585,325,4627,4302
Truck119551,155,4629,4474
Truck119529,45,4641,4596
Truck119534,70,4646,4576
Truck119558,190,4666,4476
Truck119753,1165,4673,3508
Truck119562,210,4686,4476
Truck119587,335,4689,4354
Truck119523,15,4699,4684
Truck119648,640,4723,4083
Truck119544,120,4727,4607
Truck119592,360,4727,4367
Truck119613,465,4742,4277
Truck119579,295,4752,4457
Truck119620,500,4756,4256
Truck119586,330,4762,4432
Truck119608,440,4764,4324
Truck119526,30,4765,4735
Truck119554,170,4774,4604
Truck119547,135,4776,4641
Truck119573,265,4777,4512
Truck119635,575,4781,4206
Truck119532,60,4785,4725
Truck119533,65,4790,4725
Truck119553,165,4796,4631
Truck119556,180,4805,4625
Truck119677,785,4818,4033
Truck119599,395,4820,4425
Truck119540,100,4849,4749
Truck119559,195,4862,4667
Truck119630,550,4871,4321
Truck119611,455,4883,4428
Truck119642,610,4893,4283
Truck119662,710,4894,4184
Truck119598,390,4897,4507
Truck119527,35,4898,4863
Truck119576,280,4903,4623
Truck119524,20,4917,4897
Truck119604,420,4927,4507
Truck119575,275,4929,4654
Truck119644,620,4935,4315
Truck119740,1100,4947,3847
Truck119607,435,4954,4519
Truck119704,920,4972,4052
Truck119568,240,4977,4737
Truck119596,380,4977,4597
Truck119692,860,4981,4121
Truck119578,290,4983,4693
Truck119536,80,4985,4905
