truck_id,generated_at_step,removed_at_step,total_driving_time
Truck103682,10,2112,2102
Truck103686,30,2135,2105
Truck103752,360,2158,1798
Truck103680,0,2166,2166
Truck103690,50,2186,2136
Truck103753,365,2270,1905
Truck103764,420,2327,1907
Truck103717,185,2351,2166
Truck103702,110,2356,2246
Truck103689,45,2365,2320
Truck103762,410,2393,1983
Truck103681,5,2409,2404
Truck103691,55,2423,2368
Truck103827,735,2447,1712
Truck103744,320,2455,2135
Truck103713,165,2460,2295
Truck103685,25,2468,2443
Truck103687,35,2469,2434
Truck103765,425,2473,2048
Truck103695,75,2506,2431
Truck103754,370,2518,2148
Truck103703,115,2528,2413
Truck103727,235,2532,2297
Truck103725,225,2536,2311
Truck103712,160,2560,2400
Truck103704,120,2586,2466
Truck103696,80,2588,2508
Truck103797,585,2590,2005
Truck103684,20,2607,2587
Truck103738,290,2614,2324
Truck103711,155,2619,2464
Truck103796,580,2626,2046
Truck103699,95,2630,2535
Truck103719,195,2630,2435
Truck103707,135,2651,2516
Truck103793,565,2654,2089
Truck103871,955,2667,1712
Truck103693,65,2671,2606
Truck103735,275,2674,2399
Truck103698,90,2676,2586
Truck103697,85,2678,2593
Truck103795,575,2700,2125
Truck103741,305,2703,2398
Truck103731,255,2716,2461
Truck103847,835,2718,1883
Truck103770,450,2743,2293
Truck103773,465,2751,2286
Truck103774,470,2761,2291
Truck103694,70,2764,2694
Truck103769,445,2770,2325
Truck103718,190,2779,2589
Truck103789,545,2780,2235
Truck103737,285,2781,2496
Truck103767,435,2783,2348
Truck103721,205,2789,2584
Truck103743,315,2795,2480
Truck103781,505,2834,2329
Truck103823,715,2835,2120
Truck103710,150,2836,2686
Truck103810,650,2836,2186
Truck103746,330,2845,2515
Truck103724,220,2863,2643
Truck103688,40,2867,2827
Truck103771,455,2868,2413
Truck103733,265,2872,2607
Truck103801,605,2872,2267
Truck103853,865,2872,2007
Truck103794,570,2879,2309
Truck103788,540,2885,2345
Truck103768,440,2892,2452
Truck103834,770,2897,2127
Truck103775,475,2910,2435
Truck103748,340,2912,2572
Truck103705,125,2917,2792
Truck103776,480,2920,2440
Truck103683,15,2927,2912
Truck103833,765,2927,2162
Truck103791,555,2928,2373
Truck103751,355,2933,2578
Truck103786,530,2933,2403
Truck103745,325,2939,2614
Truck103715,175,2943,2768
Truck103760,400,2946,2546
Truck103701,105,2947,2842
Truck103720,200,2957,2757
Truck103845,825,2976,2151
Truck103734,270,2985,2715
Truck103757,385,2995,2610
Truck103778,490,3008,2518
Truck103706,130,3009,2879
Truck103911,1155,3017,1862
Truck103802,610,3018,2408
Truck103824,720,3032,2312
Truck103860,900,3044,2144
Truck103829,745,3051,2306
Truck103722,210,3054,2844
Truck103716,180,3056,2876
Truck103729,245,3058,2813
Truck103777,485,3064,2579
Truck103709,145,3066,2921
Truck103899,1095,3066,1971
Truck103692,60,3067,3007
Truck103728,240,3078,2838
Truck103772,460,3078,2618
Truck103815,675,3080,2405
Truck103732,260,3094,2834
Truck103813,665,3097,2432
Truck103854,870,3097,2227
Truck103750,350,3107,2757
Truck103852,860,3114,2254
Truck103723,215,3118,2903
Truck103822,710,3119,2409
Truck103726,230,3121,2891
Truck103883,1015,3124,2109
Truck103759,395,3128,2733
Truck103804,620,3129,2509
Truck103779,495,3140,2645
Truck103832,760,3142,2382
Truck103783,515,3145,2630
Truck103863,915,3156,2241
Truck103736,280,3157,2877
Truck103714,170,3160,2990
Truck103862,910,3175,2265
Truck103805,625,3176,2551
Truck103840,800,3205,2405
Truck103837,785,3208,2423
Truck103749,345,3212,2867
Truck103742,310,3226,2916
Truck103787,535,3227,2692
Truck103869,945,3236,2291
Truck103925,1225,3242,2017
Truck103708,140,3244,3104
Truck103856,880,3254,2374
Truck103747,335,3255,2920
Truck103740,300,3257,2957
Truck103889,1045,3259,2214
Truck103819,695,3262,2567
Truck103844,820,3262,2442
Truck103816,680,3266,2586
Truck103700,100,3274,3174
Truck103763,415,3283,2868
Truck103799,595,3287,2692
Truck103761,405,3289,2884
Truck103766,430,3292,2862
Truck103806,630,3296,2666
Truck103887,1035,3300,2265
Truck103857,885,3303,2418
Truck103730,250,3306,3056
Truck103885,1025,3307,2282
Truck103872,960,3308,2348
Truck103817,685,3310,2625
Truck103868,940,3310,2370
Truck103825,725,3319,2594
Truck103818,690,3324,2634
Truck103839,795,3324,2529
Truck103828,740,3333,2593
Truck103892,1060,3334,2274
Truck103866,930,3338,2408
Truck103878,990,3343,2353
Truck103758,390,3371,2981
Truck103739,295,3374,3079
Truck103908,1140,3376,2236
Truck103800,600,3386,2786
Truck103914,1170,3397,2227
Truck103874,970,3401,2431
Truck103881,1005,3401,2396
Truck103841,805,3407,2602
Truck103782,510,3414,2904
Truck103932,1260,3416,2156
Truck103891,1055,3421,2366
Truck103755,375,3424,3049
Truck103903,1115,3426,2311
Truck103882,1010,3433,2423
Truck103836,780,3435,2655
Truck103846,830,3436,2606
Truck103924,1220,3436,2216
Truck103890,1050,3437,2387
Truck103936,1280,3440,2160
Truck103918,1190,3445,2255
Truck103873,965,3458,2493
Truck103922,1210,3461,2251
Truck103826,730,3465,2735
Truck103888,1040,3470,2430
Truck103812,660,3479,2819
Truck103784,520,3484,2964
Truck103756,380,3485,3105
Truck103820,700,3489,2789
Truck103809,645,3502,2857
Truck103808,640,3505,2865
Truck103830,750,3506,2756
Truck103849,845,3511,2666
Truck103910,1150,3514,2364
Truck103790,550,3520,2970
Truck103803,615,3521,2906
Truck103884,1020,3525,2505
Truck103867,935,3543,2608
Truck103848,840,3545,2705
Truck103970,1450,3546,2096
Truck103792,560,3556,2996
Truck103831,755,3557,2802
Truck103948,1340,3566,2226
Truck103877,985,3583,2598
Truck103807,635,3591,2956
Truck103876,980,3596,2616
Truck103897,1085,3597,2512
Truck103843,815,3599,2784
Truck103906,1130,3610,2480
Truck103785,525,3612,3087
Truck104000,1600,3613,2013
Truck103987,1535,3616,2081
Truck103842,810,3621,2811
Truck103821,705,3626,2921
Truck103909,1145,3626,2481
Truck103920,1200,3626,2426
Truck103879,995,3631,2636
Truck103875,975,3634,2659
Truck103968,1440,3648,2208
Truck103916,1180,3661,2481
Truck103780,500,3662,3162
Truck103977,1485,3687,2202
Truck103915,1175,3691,2516
Truck103880,1000,3698,2698
Truck103996,1580,3709,2129
Truck103811,655,3725,3070
Truck103942,1310,3729,2419
Truck103870,950,3738,2788
Truck103855,875,3741,2866
Truck103864,920,3742,2822
Truck103951,1355,3752,2397
Truck103919,1195,3768,2573
Truck103959,1395,3772,2377
Truck103898,1090,3774,2684
Truck103957,1385,3791,2406
Truck103835,775,3792,3017
Truck103954,1370,3804,2434
Truck103982,1510,3815,2305
Truck103928,1240,3816,2576
Truck103974,1470,3818,2348
Truck103851,855,3820,2965
Truck103838,790,3824,3034
Truck103917,1185,3830,2645
Truck103963,1415,3832,2417
Truck104006,1630,3838,2208
Truck103814,670,3844,3174
Truck103927,1235,3849,2614
Truck103984,1520,3849,2329
Truck103967,1435,3852,2417
Truck103933,1265,3854,2589
Truck104001,1605,3857,2252
Truck103893,1065,3859,2794
Truck104023,1715,3859,2144
Truck103949,1345,3865,2520
Truck104002,1610,3866,2256
Truck103930,1250,3867,2617
Truck103952,1360,3868,2508
Truck103886,1030,3871,2841
Truck104042,1810,3877,2067
Truck103905,1125,3878,2753
Truck103934,1270,3878,2608
Truck104010,1650,3880,2230
Truck103895,1075,3881,2806
Truck103861,905,3884,2979
Truck103858,890,3887,2997
