truck_id,generated_at_step,removed_at_step,total_driving_time
Truck84960,0,891,891
Truck85002,210,922,712
Truck84966,30,1014,984
Truck84963,15,1032,1017
Truck84967,35,1046,1011
Truck84969,45,1076,1031
Truck84991,155,1083,928
Truck84961,5,1107,1102
Truck84962,10,1132,1122
Truck84976,80,1137,1057
Truck84987,135,1139,1004
Truck84993,165,1155,990
Truck85041,405,1171,766
Truck84971,55,1182,1127
Truck84972,60,1208,1148
Truck84979,95,1245,1150
Truck84981,105,1245,1140
Truck85017,285,1251,966
Truck85000,200,1253,1053
Truck84992,160,1257,1097
Truck84975,75,1261,1186
Truck84985,125,1269,1144
Truck84998,190,1272,1082
Truck85039,395,1281,886
Truck84989,145,1293,1148
Truck84970,50,1294,1244
Truck84983,115,1294,1179
Truck85021,305,1295,990
Truck84965,25,1302,1277
Truck84994,170,1308,1138
Truck84995,175,1313,1138
Truck85003,215,1314,1099
Truck84973,65,1320,1255
Truck84997,185,1340,1155
Truck84964,20,1341,1321
Truck85040,400,1349,949
Truck84984,120,1357,1237
Truck85007,235,1364,1129
Truck84977,85,1374,1289
Truck85052,460,1384,924
Truck84996,180,1391,1211
Truck85020,300,1400,1100
Truck85012,260,1408,1148
Truck85004,220,1409,1189
Truck85010,250,1415,1165
Truck85014,270,1422,1152
Truck85049,445,1422,977
Truck84974,70,1428,1358
Truck85024,320,1433,1113
Truck85001,205,1439,1234
Truck85028,340,1440,1100
Truck85050,450,1441,991
Truck85006,230,1443,1213
Truck85065,525,1444,919
Truck85018,290,1445,1155
Truck84986,130,1452,1322
Truck85047,435,1473,1038
Truck85015,275,1505,1230
Truck84982,110,1515,1405
Truck84990,150,1524,1374
Truck85082,610,1533,923
Truck85064,520,1542,1022
Truck84978,90,1550,1460
Truck85062,510,1551,1041
Truck85031,355,1555,1200
Truck85124,820,1567,747
Truck85008,240,1575,1335
Truck85027,335,1576,1241
Truck85048,440,1592,1152
Truck85030,350,1602,1252
Truck85054,470,1602,1132
Truck85023,315,1604,1289
Truck85019,295,1605,1310
Truck85057,485,1607,1122
Truck85068,540,1611,1071
Truck85013,265,1614,1349
Truck85011,255,1618,1363
Truck85035,375,1619,1244
Truck85076,580,1628,1048
Truck84980,100,1636,1536
Truck85036,380,1636,1256
Truck85088,640,1640,1000
Truck85051,455,1644,1189
Truck85032,360,1646,1286
Truck85071,555,1648,1093
Truck85116,780,1650,870
Truck85026,330,1652,1322
Truck85037,385,1652,1267
Truck85093,665,1652,987
Truck85044,420,1654,1234
Truck85081,605,1661,1056
Truck85058,490,1665,1175
Truck84999,195,1668,1473
Truck85077,585,1669,1084
Truck85085,625,1672,1047
Truck85120,800,1686,886
Truck85083,615,1687,1072
Truck85025,325,1688,1363
Truck85072,560,1702,1142
Truck85070,550,1705,1155
Truck85038,390,1707,1317
Truck85053,465,1708,1243
Truck85022,310,1711,1401
Truck85067,535,1711,1176
Truck85080,600,1712,1112
Truck85103,715,1717,1002
Truck85073,565,1741,1176
Truck85016,280,1743,1463
Truck85042,410,1745,1335
Truck85066,530,1745,1215
Truck85069,545,1750,1205
Truck85156,980,1751,771
Truck85096,680,1758,1078
Truck85097,685,1758,1073
Truck85009,245,1771,1526
Truck85095,675,1774,1099
Truck85063,515,1781,1266
Truck85033,365,1789,1424
Truck84968,40,1790,1750
Truck85074,570,1792,1222
Truck85087,635,1795,1160
Truck85059,495,1798,1303
Truck85106,730,1824,1094
Truck85113,765,1828,1063
Truck84988,140,1829,1689
Truck85029,345,1831,1486
Truck85092,660,1831,1171
Truck85128,840,1836,996
Truck85089,645,1839,1194
Truck85117,785,1842,1057
Truck85105,725,1846,1121
Truck85110,750,1848,1098
Truck85139,895,1853,958
Truck85123,815,1866,1051
Truck85122,810,1872,1062
Truck85094,670,1876,1206
Truck85043,415,1877,1462
Truck85131,855,1877,1022
Truck85121,805,1883,1078
Truck85084,620,1903,1283
Truck85108,740,1915,1175
Truck85101,705,1918,1213
Truck85114,770,1921,1151
Truck85046,430,1935,1505
Truck85056,480,1941,1461
Truck85130,850,1955,1105
Truck85060,500,1959,1459
Truck85034,370,1968,1598
Truck85005,225,1976,1751
Truck85104,720,1984,1264
Truck85118,790,1991,1201
Truck85079,595,1996,1401
Truck85098,690,1996,1306
Truck85109,745,1996,1251
Truck85086,630,1997,1367
Truck85153,965,2012,1047
Truck85140,900,2019,1119
Truck85146,930,2021,1091
Truck85141,905,2026,1121
Truck85133,865,2031,1166
Truck85132,860,2033,1173
Truck85119,795,2036,1241
Truck85145,925,2036,1111
Truck85045,425,2038,1613
Truck85075,575,2039,1464
Truck85162,1010,2047,1037
Truck85055,475,2053,1578
Truck85171,1055,2060,1005
Truck85173,1065,2060,995
Truck85149,945,2062,1117
Truck85181,1105,2069,964
Truck85111,755,2074,1319
Truck85102,710,2079,1369
Truck85161,1005,2079,1074
Truck85170,1050,2080,1030
Truck85138,890,2082,1192
Truck85112,760,2087,1327
Truck85187,1135,2087,952
Truck85099,695,2091,1396
Truck85155,975,2103,1128
Truck85107,735,2106,1371
Truck85185,1125,2109,984
Truck85134,870,2123,1253
Truck85127,835,2126,1291
Truck85191,1155,2128,973
Truck85157,985,2133,1148
Truck85115,775,2139,1364
Truck85147,935,2141,1206
Truck85078,590,2146,1556
Truck85150,950,2153,1203
Truck85142,910,2156,1246
Truck85188,1140,2163,1023
Truck85163,1015,2165,1150
Truck85136,880,2167,1287
Truck85125,825,2183,1358
Truck85126,830,2193,1363
Truck85160,1000,2211,1211
Truck85168,1040,2215,1175
Truck85209,1245,2219,974
Truck85189,1145,2223,1078
Truck85137,885,2226,1341
Truck85203,1215,2236,1021
Truck85186,1130,2238,1108
Truck85129,845,2240,1395
Truck85169,1045,2248,1203
Truck85182,1110,2250,1140
Truck85091,655,2251,1596
Truck85164,1020,2252,1232
Truck85199,1195,2257,1062
Truck85175,1075,2258,1183
Truck85180,1100,2276,1176
Truck85100,700,2278,1578
Truck85200,1200,2278,1078
Truck85221,1305,2279,974
Truck85196,1180,2282,1102
Truck85151,955,2286,1331
Truck85143,915,2288,1373
Truck85174,1070,2288,1218
Truck85154,970,2292,1322
Truck85090,650,2293,1643
Truck85176,1080,2297,1217
Truck85238,1390,2298,908
Truck85194,1170,2302,1132
Truck85202,1210,2304,1094
Truck85179,1095,2306,1211
Truck85223,1315,2306,991
Truck85207,1235,2325,1090
Truck85225,1325,2329,1004
Truck85227,1335,2331,996
Truck85061,505,2332,1827
Truck85256,1480,2345,865
Truck85257,1485,2348,863
Truck85135,875,2350,1475
Truck85222,1310,2361,1051
Truck85177,1085,2367,1282
Truck85152,960,2380,1420
Truck85159,995,2385,1390
Truck85165,1025,2398,1373
Truck85158,990,2409,1419
Truck85255,1475,2410,935
Truck85224,1320,2411,1091
Truck85208,1240,2417,1177
Truck85241,1405,2431,1026
Truck85248,1440,2446,1006
Truck85234,1370,2447,1077
Truck85217,1285,2449,1164
Truck85144,920,2483,1563
Truck85275,1575,2491,916
Truck85166,1030,2492,1462
Truck85167,1035,2495,1460
Truck85195,1175,2497,1322
Truck85261,1505,2502,997
Truck85214,1270,2505,1235
Truck85229,1345,2505,1160
Truck85210,1250,2509,1259
Truck85216,1280,2510,1230
Truck85190,1150,2511,1361
Truck85198,1190,2521,1331
Truck85232,1360,2524,1164
Truck85205,1225,2549,1324
Truck85274,1570,2553,983
Truck85231,1355,2556,1201
Truck85212,1260,2559,1299
Truck85258,1490,2560,1070
Truck85312,1760,2570,810
Truck85228,1340,2573,1233
Truck85184,1120,2585,1465
Truck85215,1275,2587,1312
Truck85242,1410,2599,1189
