bridge_id,bridge_name,road_name,condition,length,total_wait_time
1,Box Culvert,N1,A,8.000000000000007,1272.1983420376043
5,Box culvert,N1,A,870.0000000000001,251.65314459933973
14,Kachpur bridge,N1,A,418.000000000001,108.26152887415601
15,Bridge end,N1,A,73.99999999999984,5711.218771943775
19,Box culvert,N1,B,347.999999999999,245.8723292648684
20,Box culvert,N1,A,414.0000000000015,91.31643304062668
21,Box culvert,N1,A,125.99999999999945,6720.700372360225
23,Box culvert,N1,A,428.0000000000008,101.27360599740213
24,Box culvert,N1,A,183.9999999999993,6669.921728529286
26,Bridge start,N1,A,26.000000000001577,3942.212553705849
27,Bridge end,N1,A,164.99999999999915,5654.8912513063715
30,Box culvert,N1,A,851.9999999999985,232.0787396224847
33,Box culvert,N1,B,960.9999999999984,355.8659878869227
36,Langalbandhu bridge,N1,B,160.00000000000014,6997.904060143616
37,Bridge end,N1,C,121.99999999999989,18958.261751547023
39,Bridge start,N1,C,21.0000000000008,6873.421295474782
40,Bridge end,N1,C,352.00000000000034,710.5740994638348
41,Bridge start,N1,A,30.000000000001137,899.6038249266875
42,Bridge end,N1,A,289.99999999999915,149.78833312329516
44,Bridge start,N1,B,41.00000000000037,3501.9056428087947
45,Bridge end,N1,A,620.000000000001,167.46535557655727
47,Box culvert,N1,C,643.0000000000007,733.6569701520615
48,Box culvert,N1,B,3.0000000000001137,2769.737698040827
51,Bridge start,N1,B,100.00000000000142,6572.1608306567505
52,Bridge end,N1,B,82.00000000000074,7491.868621528572
54,Box culvert,N1,A,130.00000000000256,3531.6070124073153
56,Bridge start,N1,B,227.999999999998,225.69742487177948
57,Bridge end,N1,B,259.00000000000034,176.60572141638147
58,Bridge start,N1,B,121.99999999999989,10658.636028088942
59,Bridge end,N1,B,255.00000000000256,303.2087948929358
61,Meghna  bridge,N1,A,65.00000000000128,4609.898503097815
63,Bridge end,N1,A,126.00000000000122,5268.07138794969
66,Box culvert,N1,A,673.9999999999995,184.42095884770373
67,Box culvert,N1,A,316.0000000000025,155.80150904143608
69,Bridge start,N1,A,126.00000000000122,4207.823554760853
71,Bridge end,N1,A,656.0000000000024,119.13288610294387
72,Bridge start,N1,A,38.999999999997925,1996.7339360610415
73,Bridge end,N1,A,396.0000000000008,142.96003731721552
75,Bridge start,N1,A,45.999999999999375,4158.158885487811
76,Bridge end,N1,A,646.0000000000008,295.62651801419645
78,Bridge start,N1,A,38.000000000000256,1221.1940952567372
79,Bridge end,N1,A,532.0,249.02532924292632
80,Bridge start,N1,A,38.000000000000256,1949.2962936728431
81,Bridge end,N1,A,39.00000000000148,3574.6242802485654
84,Bridge start,N1,A,40.0000000000027,3209.4407367387457
85,Bridge end,N1,A,394.9999999999996,195.76699058672628
87,Box culvert,N1,A,582.0000000000007,152.9072396191025
89,Bridge start,N1,A,76.99999999999818,4135.580382150484
90,Bridge end,N1,A,442.9999999999978,259.77677555210386
91,Box culvert,N1,A,256.0000000000002,97.76315598259801
94,Bridge start,N1,A,39.99999999999915,4370.27753569077
95,Bridge end,N1,A,275.0000000000057,149.76005452280646
96,Box culvert,N1,A,650.9999999999962,206.9572820419695
98,Daudkandi bridge,N1,A,335.9999999999985,114.301991782864
101,Daudkandi bridge,N1,A,354.9999999999969,229.50168188064066
104,Bridge start,N1,C,17.000000000003013,8206.008506167713
105,Bridge end,N1,C,46.99999999999704,7820.931326467433
107,Box culvert,N1,C,487.0000000000019,471.89289551308536
111,Bridge start,N1,C,16.999999999995907,4291.784833088593
112,Bridge end,N1,C,24.00000000000091,10024.66466055886
116,Box culvert,N1,C,814.9999999999977,436.867024010384
120,Box culvert,N1,C,107.999999999997,21973.900861032045
124,Bridge start,N1,A,20.000000000003126,1172.487445550849
125,Bridge end,N1,A,576.9999999999982,125.23439674758006
128,Bridge start,N1,A,15.999999999998238,2335.551423523341
129,Bridge end,N1,A,390.00000000000057,220.8351205064725
132,Box culvert,N1,C,632.9999999999956,679.1571906111108
137,Bridge start,N1,C,42.00000000000159,7749.472824179738
138,Bridge end,N1,C,101.99999999999676,15837.07660379198
142,Box culvert,N1,B,77.99999999999585,11023.677026606976
145,Box culvert,N1,B,88.99999999999864,10808.631851163731
150,Box culvert,N1,B,351.9999999999968,175.61191507162994
151,Box culvert,N1,B,375.0,403.5460900312823
155,Box culvert,N1,B,182.99999999999272,11036.800164099697
158,Box culvert,N1,A,305.9999999999974,159.98866514635182
165,Bridge start,N1,C,30.000000000001137,9100.002819454672
166,Bridge end,N1,C,197.9999999999933,19812.103564051915
170,Box culvert,N1,B,140.99999999999113,6829.094477394126
172,Box culvert,N1,B,128.99999999999068,7879.434031711405
177,Box culvert,N1,C,55.999999999997385,24212.689528036688
181,Box culvert,N1,B,486.9999999999948,470.7230663009851
183,Box culvert,N1,A,27.999999999991587,2461.888369707207
186,Box culvert,N1,A,435.9999999999928,163.34964061305539
193,Bridge start,N1,A,24.00000000000091,3700.7483959110155
194,Bridge end,N1,A,209.99999999999372,114.53862224346398
200,Bridge start,N1,C,37.00000000000614,11084.169223533878
201,Bridge end,N1,C,507.9999999999956,682.1698127268415
206,Bridge start,N1,C,27.999999999991587,10885.683434223049
207,Bridge end,N1,C,460.9999999999985,600.2363235513437
211,Box culvert,N1,C,980.000000000004,765.10055324989
213,Bridge start,N1,A,28.99999999999636,2786.441082529823
214,Bridge end,N1,A,799.0000000000066,261.51803261776627
