truck_id,generated_at_step,removed_at_step,total_driving_time
Truck400,0,555,555
Truck401,5,563,558
Truck402,10,567,557
Truck403,15,570,555
Truck404,20,575,555
Truck405,25,580,555
Truck406,30,585,555
Truck407,35,590,555
Truck409,45,600,555
Truck408,40,601,561
Truck411,55,610,555
Truck412,60,615,555
Truck414,70,625,555
Truck416,80,637,557
Truck418,90,645,555
Truck419,95,650,555
Truck422,110,665,555
Truck421,105,666,561
Truck420,100,671,571
Truck424,120,679,559
Truck425,125,680,555
Truck413,65,683,618
Truck426,130,688,558
Truck415,75,693,618
Truck429,145,702,557
Truck430,150,705,555
Truck431,155,714,559
Truck432,160,715,555
Truck410,50,717,667
Truck433,165,724,559
Truck434,170,725,555
Truck423,115,733,618
Truck436,180,735,555
Truck435,175,737,562
Truck437,185,740,555
Truck427,135,743,608
Truck438,190,745,555
Truck439,195,753,558
Truck417,85,755,670
Truck440,200,755,555
Truck428,140,762,622
Truck442,210,765,555
Truck443,215,773,558
Truck444,220,778,558
Truck441,205,780,575
Truck445,225,780,555
Truck448,240,795,555
Truck450,250,805,555
Truck449,245,806,561
Truck451,255,810,555
Truck452,260,815,555
Truck453,265,822,557
Truck454,270,825,555
Truck456,280,839,559
Truck457,285,842,557
Truck458,290,849,559
Truck459,295,855,560
Truck460,300,857,557
Truck461,305,860,555
Truck462,310,865,555
Truck447,235,872,637
Truck465,325,880,555
Truck455,275,882,607
Truck468,340,895,555
Truck446,230,898,668
Truck469,345,903,558
Truck470,350,905,555
Truck467,335,907,572
Truck472,360,915,555
Truck473,365,920,555
Truck474,370,925,555
Truck464,320,932,612
Truck463,315,933,618
Truck475,375,934,559
Truck466,330,935,605
Truck477,385,942,557
Truck476,380,954,574
Truck471,355,959,604
Truck478,390,961,571
Truck479,395,966,571
Truck482,410,969,559
Truck483,415,970,555
Truck480,400,972,572
Truck481,405,976,571
Truck484,420,978,558
Truck485,425,980,555
Truck486,430,987,557
Truck488,440,997,557
