truck_id,generated_at_step,removed_at_step,total_driving_time
Truck128284,620,3705,3085
Truck128230,350,3794,3444
Truck128184,120,3884,3764
Truck128163,15,3887,3872
Truck128175,75,3966,3891
Truck128221,305,4000,3695
Truck128219,295,4045,3750
Truck128174,70,4051,3981
Truck128179,95,4246,4151
Truck128202,210,4251,4041
Truck128204,220,4267,4047
Truck128161,5,4270,4265
Truck128225,325,4281,3956
Truck128165,25,4299,4274
Truck128260,500,4321,3821
Truck128196,180,4327,4147
Truck128160,0,4330,4330
Truck128240,400,4334,3934
Truck128166,30,4353,4323
Truck128171,55,4353,4298
Truck128164,20,4357,4337
Truck128162,10,4361,4351
Truck128172,60,4366,4306
Truck128222,310,4413,4103
Truck128293,665,4423,3758
Truck128362,1010,4426,3416
Truck128182,110,4427,4317
Truck128187,135,4431,4296
Truck128169,45,4464,4419
Truck128244,420,4493,4073
Truck128192,160,4496,4336
Truck128239,395,4545,4150
Truck128233,365,4571,4206
Truck128198,190,4575,4385
Truck128216,280,4587,4307
Truck128167,35,4594,4559
Truck128294,670,4602,3932
Truck128248,440,4621,4181
Truck128195,175,4655,4480
Truck128224,320,4656,4336
Truck128251,455,4661,4206
Truck128280,600,4661,4061
Truck128292,660,4666,4006
Truck128217,285,4668,4383
Truck128311,755,4670,3915
Truck128215,275,4674,4399
Truck128380,1100,4693,3593
Truck128290,650,4697,4047
Truck128245,425,4699,4274
Truck128232,360,4701,4341
Truck128341,905,4707,3802
Truck128201,205,4711,4506
Truck128220,300,4718,4418
Truck128210,250,4741,4491
Truck128270,550,4759,4209
Truck128188,140,4766,4626
Truck128208,240,4779,4539
Truck128329,845,4785,3940
Truck128236,380,4790,4410
Truck128257,485,4790,4305
Truck128178,90,4796,4706
Truck128228,340,4812,4472
Truck128193,165,4823,4658
Truck128199,195,4826,4631
Truck128223,315,4828,4513
Truck128183,115,4835,4720
Truck128197,185,4840,4655
Truck128168,40,4858,4818
Truck128190,150,4865,4715
Truck128181,105,4866,4761
Truck128273,565,4881,4316
Truck128299,695,4882,4187
Truck128203,215,4894,4679
Truck128348,940,4894,3954
Truck128170,50,4896,4846
Truck128176,80,4896,4816
Truck128255,475,4904,4429
Truck128241,405,4905,4500
Truck128353,965,4906,3941
Truck128227,335,4912,4577
Truck128173,65,4913,4848
Truck128213,265,4920,4655
Truck128265,525,4936,4411
Truck128285,625,4952,4327
Truck128180,100,4960,4860
Truck128243,415,4960,4545
Truck128312,760,4991,4231
Truck128235,375,5003,4628
Truck128330,850,5010,4160
Truck128309,745,5012,4267
Truck128357,985,5013,4028
Truck128191,155,5020,4865
Truck128214,270,5026,4756
Truck128304,720,5038,4318
Truck128359,995,5040,4045
Truck128261,505,5051,4546
Truck128278,590,5055,4465
Truck128342,910,5064,4154
Truck128200,200,5084,4884
Truck128410,1250,5086,3836
Truck128307,735,5089,4354
Truck128237,385,5097,4712
Truck128242,410,5099,4689
Truck128250,450,5101,4651
Truck128226,330,5106,4776
Truck128365,1025,5111,4086
Truck128205,225,5118,4893
Truck128306,730,5129,4399
Truck128372,1060,5136,4076
Truck128212,260,5149,4889
Truck128253,465,5151,4686
Truck128246,430,5164,4734
Truck128267,535,5168,4633
Truck128370,1050,5171,4121
Truck128269,545,5178,4633
Truck128296,680,5184,4504
Truck128238,390,5185,4795
Truck128254,470,5192,4722
Truck128320,800,5197,4397
Truck128390,1150,5210,4060
Truck128451,1455,5210,3755
Truck128256,480,5212,4732
Truck128189,145,5215,5070
Truck128373,1065,5230,4165
Truck128369,1045,5236,4191
Truck128263,515,5241,4726
Truck128185,125,5242,5117
Truck128271,555,5254,4699
Truck128301,705,5256,4551
Truck128276,580,5261,4681
Truck128308,740,5284,4544
Truck128286,630,5285,4655
Truck128349,945,5290,4345
Truck128418,1290,5291,4001
Truck128322,810,5292,4482
Truck128262,510,5299,4789
Truck128407,1235,5304,4069
Truck128417,1285,5306,4021
Truck128376,1080,5307,4227
Truck128247,435,5320,4885
Truck128327,835,5321,4486
Truck128366,1030,5324,4294
Truck128266,530,5327,4797
Truck128315,775,5330,4555
Truck128351,955,5333,4378
Truck128209,245,5334,5089
Truck128440,1400,5334,3934
Truck128288,640,5340,4700
Truck128413,1265,5357,4092
Truck128282,610,5361,4751
Truck128300,700,5361,4661
Truck128332,860,5361,4501
Truck128360,1000,5362,4362
Truck128336,880,5364,4484
Truck128229,345,5365,5020
Truck128343,915,5377,4462
Truck128218,290,5395,5105
Truck128455,1475,5396,3921
Truck128277,585,5397,4812
Truck128268,540,5400,4860
Truck128423,1315,5401,4086
Truck128177,85,5405,5320
Truck128393,1165,5416,4251
Truck128275,575,5421,4846
Truck128234,370,5424,5054
Truck128249,445,5424,4979
Truck128231,355,5426,5071
Truck128331,855,5437,4582
Truck128194,170,5448,5278
Truck128374,1070,5452,4382
Truck128471,1555,5456,3901
Truck128378,1090,5461,4371
Truck128279,595,5463,4868
Truck128298,690,5463,4773
Truck128346,930,5463,4533
Truck128389,1145,5465,4320
Truck128354,970,5467,4497
Truck128287,635,5474,4839
Truck128303,715,5478,4763
Truck128302,710,5483,4773
Truck128207,235,5504,5269
Truck128272,560,5504,4944
Truck128291,655,5507,4852
Truck128338,890,5509,4619
Truck128345,925,5512,4587
Truck128252,460,5513,5053
Truck128404,1220,5514,4294
Truck128426,1330,5521,4191
Truck128297,685,5526,4841
Truck128206,230,5531,5301
Truck128391,1155,5535,4380
Truck128186,130,5557,5427
Truck128384,1120,5579,4459
Truck128310,750,5584,4834
Truck128274,570,5585,5015
Truck128334,870,5592,4722
Truck128427,1335,5598,4263
Truck128385,1125,5600,4475
Truck128364,1020,5609,4589
Truck128504,1720,5615,3895
Truck128337,885,5628,4743
Truck128259,495,5633,5138
Truck128328,840,5633,4793
Truck128283,615,5636,5021
Truck128422,1310,5644,4334
Truck128446,1430,5647,4217
Truck128449,1445,5652,4207
Truck128313,765,5659,4894
Truck128544,1920,5667,3747
Truck128324,820,5678,4858
Truck128501,1705,5685,3980
Truck128436,1380,5692,4312
Truck128419,1295,5697,4402
Truck128368,1040,5702,4662
Truck128318,790,5703,4913
Truck128317,785,5704,4919
Truck128454,1470,5721,4251
Truck128358,990,5726,4736
Truck128289,645,5727,5082
Truck128319,795,5728,4933
Truck128340,900,5729,4829
Truck128361,1005,5744,4739
Truck128443,1415,5748,4333
Truck128420,1300,5752,4452
Truck128321,805,5756,4951
Truck128367,1035,5758,4723
Truck128480,1600,5762,4162
Truck128400,1200,5768,4568
Truck128402,1210,5768,4558
Truck128484,1620,5771,4151
Truck128305,725,5776,5051
Truck128350,950,5777,4827
Truck128396,1180,5792,4612
Truck128281,605,5797,5192
Truck128356,980,5797,4817
Truck128472,1560,5799,4239
Truck128405,1225,5802,4577
Truck128295,675,5812,5137
Truck128264,520,5813,5293
Truck128412,1260,5813,4553
Truck128347,935,5816,4881
Truck128363,1015,5817,4802
Truck128382,1110,5821,4711
Truck128323,815,5827,5012
Truck128316,780,5832,5052
Truck128339,895,5838,4943
Truck128433,1365,5846,4481
Truck128386,1130,5850,4720
Truck128409,1245,5872,4627
Truck128642,2410,5889,3479
Truck128399,1195,5894,4699
Truck128525,1825,5895,4070
Truck128333,865,5901,5036
Truck128258,490,5902,5412
Truck128466,1530,5902,4372
Truck128352,960,5915,4955
Truck128564,2020,5943,3923
Truck128411,1255,5960,4705
Truck128509,1745,5960,4215
Truck128470,1550,5963,4413
Truck128435,1375,5964,4589
Truck128383,1115,5966,4851
Truck128438,1390,5966,4576
Truck128529,1845,5974,4129
Truck128462,1510,5975,4465
Truck128492,1660,5978,4318
Truck128583,2115,5984,3869
Truck128575,2075,5986,3911
Truck128450,1450,5993,4543
Truck128387,1135,5994,4859
Truck128335,875,6010,5135
