bridge_id,bridge_name,road_name,condition,length,total_wait_time
245,Box culvert,N1,B,453.00000000000296,607.7836720101615
247,Bridge start,N1,A,14.000000000010004,2925.365172484461
248,Bridge end,N1,A,466.9999999999988,378.7225116006357
250,Box culvert,N1,A,498.0000000000047,302.01032224779465
252,Box culvert,N1,B,225.9999999999991,931.4622933880487
255,Box culvert,N1,B,277.000000000001,837.8162364872198
256,Box culvert,N1,B,202.99999999998877,701.2648011933746
257,Box culvert,N1,B,404.0000000000106,752.8039408995147
259,Box culvert,N1,B,844.0000000000083,405.0624908701939
261,Box culvert,N1,B,186.00000000000705,21818.120654954328
262,Bridge start,N1,B,22.99999999999613,11858.848752633538
263,Bridge end,N1,B,346.9999999999942,601.2873376846569
264,Box culvert,N1,B,270.00000000001023,484.6245721623423
266,Box culvert,N1,B,816.9999999999931,860.9821021836092
267,Box culvert,N1,A,20.000000000010232,6297.775887651041
269,Box culvert,N1,B,447.9999999999933,648.9306901388541
270,Box culvert,N1,B,237.00000000000895,461.81282277138854
273,Box culvert,N1,A,222.0000000000084,480.9054933943744
275,Box culvert,N1,B,282.0000000000107,296.8918838853281
277,Box culvert,N1,A,228.9999999999992,301.75570194392617
279,Box culvert,N1,A,135.00000000000512,10680.505252580306
281,Bridge start,N1,C,12.000000000000457,22790.859399441775
282,Bridge end,N1,C,465.0000000000034,1032.1865246737686
284,Box culvert,N1,B,515.0000000000006,590.5694338057032
286,Bridge start,N1,B,13.999999999995794,12035.450165928925
287,Bridge end,N1,A,439.9999999999977,225.25985109565124
289,Box culvert,N1,B,207.9999999999984,435.29278072915304
292,Box culvert,N1,B,99.00000000001796,18466.080518258324
294,Box culvert,N1,B,579.0000000000077,604.1620522046557
296,Box culvert,N1,B,897.9999999999961,689.6199983798782
298,Box culvert,N1,A,675.0000000000114,216.48537729999381
299,Box culvert,N1,A,254.99999999999545,185.209743563779
301,Box culvert,N1,B,27.999999999991587,4728.346259051971
304,Box culvert,N1,A,719.9999999999989,273.67757627959537
305,Box culvert,N1,A,204.99999999998408,259.99175472661074
307,Box culvert,N1,B,550.0000000000114,680.0156891944717
308,Box culvert,N1,B,81.99999999999363,15953.63124842297
310,Box culvert,N1,A,311.9999999999834,240.34267331174996
312,Box culvertt,N1,B,527.0000000000152,743.5313550760718
313,Bridge start,N1,A,16.999999999995907,5654.146732114702
314,Bridge end,N1,A,193.00000000001205,5454.652424050056
316,Box culvert,N1,B,234.00000000000887,513.4587209365675
319,Box Culvert,N1,B,18.000000000000682,9536.518753786337
325,Box culvert,N1,A,336.00000000001273,350.84131257837925
328,Box culvert,N1,A,287.00000000000614,323.7782984515111
332,Box culvert,N1,A,723.9999999999895,371.85348193026556
333,Box culvert,N1,A,125.0,5663.016036003505
338,Bridge start,N1,A,22.99999999999613,6282.525451685655
339,Bridge end,N1,A,917.0000000000016,254.5678454903405
347,Bridge start,N1,C,109.00000000000888,37358.06568281791
348,Bridge end,N1,C,110.99999999999,26329.452200586293
357,Bridge start,N1,B,211.00000000001276,282.25881030966207
358,Bridge end,N1,B,508.9999999999861,899.1813385416343
365,Bridge start,N1,A,227.99999999998025,281.7117868103335
366,Bridge end/Start of Chittagong Road Division / Bridge end/Start of Chittagong Road Division,N1,A,638.0000000000052,373.94200119410993
368,Box culvert,N1,A,536.0000000000014,222.45557158932544
373,Box culvert,N1,A,62.99999999998818,6678.943437490601
375,Km post missing / Box culvert,N1,A,914.999999999992,331.4043483530588
376,Box culvert,N1,A,85.00000000000796,9953.729723045144
378,Box culvert,N1,A,556.0000000000116,173.03240442252192
379,Box culvert,N1,A,281.99999999998226,320.0936798795976
381,Box culvert,N1,A,177.00000000002092,8404.020912237478
382,Box culvert,N1,A,246.99999999998568,302.53008928679463
384,Box culvert,N1,A,113.00000000002797,10657.235506217834
385,Box culvert,N1,A,721.99999999998,259.0784979322418
387,Bridge start,N1,A,10.000000000019329,8127.708476077888
388,Bridge end,N1,A,379.99999999999545,230.4895813424207
389,Box culvert,N1,A,240.0000000000091,160.02871811594326
390,Box culvert,N1,A,352.9999999999802,288.6582260110557
392,Pipe culvert,N1,A,686.000000000007,197.99655585394697
394,Box culvert,N1,C,127.9999999999859,24303.094229926264
397,Box culvert,N1,B,406.0000000000059,673.645107788699
398,Box culvert,N1,B,252.00000000000955,717.0231642528779
399,Box culvert,N1,B,1.999999999981128,2389.1602289496786
401,Box culvert,N1,B,844.9999999999989,494.1490752538133
403,Box Culvert,N1,A,472.0000000000084,255.25169283236835
404,Box culvert,N1,A,34.99999999999659,5694.010059956044
406,Bridge start,N1,B,6.000000000000227,4367.978250848387
408,Bridge end,N1,B,485.99999999999,407.0180362278224
410,Box culvert,N1,A,24.00000000000091,6097.08798268692
412,Box culvert,N1,A,2.0000000000095497,1947.016385296765
413,Box culvert,N1,A,528.9999999999964,313.2132126470962
415,Box culvert,N1,A,546.999999999997,444.59555524015224
417,Bridge start,N1,A,23.00000000002456,4439.566219701632
418,Bridge end,N1,A,156.99999999998226,7999.982316181958
420,Box culvert,N1,A,768.0000000000007,328.71875732604906
422,Box culvert,N1,B,967.9999999999892,527.9954918388977
424,Box culvert,N1,B,987.9999999999995,821.5393937597639
426,Box culvert,N1,A,460.9999999999843,210.68640075288718
428,Box culvert,N1,A,74.99999999998863,11225.794134553566
429,Box culvert,N1,A,215.0000000000034,256.01618330984473
431,Box culvert,N1,C,606.9999999999993,1738.254561397278
432,Box Culvert,N1,A,137.00000000000043,10936.611813539032
434,Box culvert,N1,A,342.00000000001296,346.42180695250966
435,Box culvert,N1,A,381.0000000000002,227.11562034858557
436,Box culvert,N1,A,219.9999999999989,432.57767067466466
438,Box culvert,N1,A,216.00000000000816,210.83536642020587
440,Box culvert,N1,A,543.9999999999827,214.18140080464397
441,Box culvert,N1,A,317.0000000000073,351.7374318163161
443,Box culvert,N1,A,230.99999999999451,298.5569577357927
444,Box culvert,N1,A,99.00000000001796,5766.948981879806
447,Box culvert,N1,A,506.0000000000002,356.6639568896247
448,Box culvert,N1,A,370.00000000000455,184.84085604429131
450,Box culvert,N1,A,540.0000000000205,160.58829711650924
451,Box culvert,N1,A,322.0000000000028,193.29974929745399
453,Box culvert,N1,A,208.9999999999748,220.73329134648245
454,Box culvert,N1,A,411.00000000000136,252.90866274025842
456,Box culvert,N1,A,462.99999999999386,290.6017591454637
457,Box culvert,N1,A,469.99999999999886,253.67068935893332
459,Box culvert,N1,A,86.99999999998909,7000.882162919301
461,Box culvert,N1,A,782.0000000000107,345.5682324057962
462,Box culvert,N1,A,82.99999999999841,4799.222903123359
464,Box culvert,N1,A,332.9999999999984,148.2442545100753
465,Box culvert,N1,A,163.0000000000109,9140.574355785477
466,Bridge start,N1,A,20.000000000010232,3481.2967401923056
467,Bridge end / Box culvert,N1,A,252.9999999999859,380.37710039490037
468,Box culvert,N1,A,91.0000000000082,5776.783347815692
470,Box culvert,N1,A,611.9999999999948,262.8089427082028
471,Box culvert,N1,A,372.0000000000141,176.80230206663728
473,Box culvert,N1,A,951.9999999999982,389.6030539856159
475,Box culvert,N1,A,115.0000000000091,10390.6687524792
476,Box culvert,N1,B,48.99999999997817,9241.069422526542
477,Box culvert,N1,B,681.0000000000116,343.9431524780675
478,Box culvert,N1,A,25.000000000005684,3674.254512014175
480,Box culvert,N1,C,757.000000000005,1191.9578255043684
482,Bridge start,N1,A,26.00000000001046,2234.970318748444
483,Bridge end,N1,A,342.9999999999893,213.21343634747095
485,Box culvert,N1,A,182.99999999999272,8869.304061187047
487,Bridge start,N1,A,18.000000000000682,6071.671748222915
488,Bridge end,N1,A,604.9999999999898,412.077328778175
490,Box culvert,N1,A,275.0000000000057,216.12238833506174
491,Bridge start,N1,A,14.000000000010004,5030.902938330975
492,Bridge end,N1,A,216.9999999999845,329.52822918132256
493,Box culvert,N1,A,316.0000000000025,317.20367047416386
496,Bridge start,N1,A,31.00000000000591,6493.795595472989
497,Bridge end,N1,A,824.9999999999886,226.3391440413895
499,Box culvert,N1,A,882.000000000005,305.3855230968819
501,Box culvert,N1,A,909.9999999999966,342.5221153604443
503,Bridge start,N1,B,18.000000000000682,3806.056615844795
504,Bridge end,N1,B,64.99999999999773,19930.609722638957
506,Bridge start,N1,A,45.00000000001592,5471.820487252752
507,Bridge end,N1,A,181.99999999998795,5605.659578947156
508,Box culvert,N1,A,193.9999999999884,12114.075617036313
509,Bridge start,N1,A,40.99999999999682,5866.665664384544
510,Bridge end,N1,A,262.00000000000045,230.97882917371194
512,Bridge start,N1,A,12.000000000000457,4774.625888886152
513,Bridge end,N1,A,239.00000000000432,273.76967337543334
514,Bridge start,N1,A,18.000000000000682,4581.729916138449
515,Bridge end,N1,A,530.0000000000011,207.1718705856503
516,Box culvert,N1,A,56.99999999998795,7788.176926741485
518,Bridge start,N1,B,19.000000000005457,8276.859048727329
519,Bridge end,N1,A,295.99999999999227,271.8441980066633
521,Box culvert,N1,A,174.0000000000066,8216.481120598983
523,Box culvert,N1,B,600.9999999999991,360.5059292031001
524,Bridge start,N1,B,25.000000000005684,12847.594952533243
525,Bridge end,N1,B,88.99999999999864,15585.716903335484
527,Box culvert,N1,A,135.99999999999568,8728.791150460138
530,Bridge start,N1,B,26.00000000001046,6773.574472490725
531,Bridge end,N1,B,807.9999999999927,852.63639866612
534,Bridge start,N1,A,30.99999999997749,7070.0733296294375
535,Bridge end,N1,A,925.0000000000114,314.7436285068886
537,Box culvert,N1,A,311.00000000000705,317.3401041335567
538,Bridge start,N1,A,42.999999999977945,5151.109926370998
