truck_id,generated_at_step,removed_at_step,total_driving_time
Truck200,0,555,555
Truck201,5,560,555
Truck202,10,567,557
Truck203,15,570,555
Truck204,20,575,555
Truck205,25,580,555
Truck206,30,585,555
Truck207,35,590,555
Truck208,40,599,559
Truck210,50,609,559
Truck211,55,610,555
Truck209,45,616,571
Truck213,65,624,559
Truck214,70,625,555
Truck216,80,635,555
Truck217,85,642,557
Truck218,90,645,555
Truck215,75,646,571
Truck220,100,659,559
Truck221,105,660,555
Truck222,110,665,555
Truck223,115,670,555
Truck224,120,675,555
Truck212,60,679,619
Truck225,125,682,557
Truck226,130,685,555
Truck227,135,690,555
Truck228,140,695,555
Truck219,95,699,604
Truck230,150,705,555
Truck231,155,710,555
Truck232,160,715,555
Truck229,145,717,572
Truck233,165,720,555
Truck234,170,725,555
Truck236,180,735,555
Truck237,185,740,555
Truck238,190,745,555
Truck239,195,753,558
Truck240,200,755,555
Truck241,205,760,555
Truck242,210,768,558
Truck243,215,770,555
Truck245,225,783,558
Truck246,230,785,555
Truck247,235,790,555
Truck235,175,793,618
Truck248,240,795,555
Truck249,245,800,555
Truck250,250,805,555
Truck251,255,810,555
Truck253,265,820,555
Truck244,220,824,604
Truck254,270,825,555
Truck255,275,830,555
Truck252,260,831,571
Truck256,280,838,558
Truck257,285,840,555
Truck258,290,845,555
Truck259,295,850,555
Truck260,300,858,558
Truck261,305,860,555
Truck262,310,865,555
Truck263,315,870,555
Truck264,320,877,557
Truck265,325,888,563
Truck266,330,888,558
Truck267,335,890,555
Truck268,340,898,558
Truck269,345,900,555
Truck270,350,905,555
Truck271,355,913,558
Truck272,360,915,555
Truck273,365,920,555
Truck274,370,925,555
Truck275,375,930,555
Truck276,380,935,555
Truck277,385,943,558
Truck278,390,945,555
Truck279,395,954,559
Truck280,400,957,557
Truck281,405,960,555
Truck282,410,968,558
Truck283,415,970,555
Truck284,420,977,557
Truck285,425,980,555
Truck286,430,988,558
Truck287,435,990,555
Truck288,440,995,555
