bridge_id,bridge_name,road_name,condition,total_wait_time
1,Box Culvert,N1,A,0.0
5,Box culvert,N1,A,0.0
14,Kachpur bridge,N1,A,0.0
15,Bridge end,N1,A,0.0
19,Box culvert,N1,B,590.7464781314178
20,Box culvert,N1,A,0.0
21,Box culvert,N1,A,0.0
23,Box culvert,N1,A,0.0
24,Box culvert,N1,A,0.0
26,Bridge start,N1,A,0.0
27,Bridge end,N1,A,0.0
30,Box culvert,N1,A,0.0
33,Box culvert,N1,B,290.7295113122682
36,Langalbandhu bridge,N1,B,10892.678422996498
37,Bridge end,N1,C,23934.831026011976
39,Bridge start,N1,C,7620.006275975278
40,Bridge end,N1,C,819.6868948285916
41,Bridge start,N1,A,0.0
42,Bridge end,N1,A,0.0
44,Bridge start,N1,B,5922.889662995829
45,Bridge end,N1,A,0.0
47,Box culvert,N1,C,919.0479176380908
48,Box culvert,N1,B,2857.8515634762657
51,Bridge start,N1,B,9613.94870103305
52,Bridge end,N1,B,11197.584161633666
54,Box culvert,N1,A,0.0
56,Bridge start,N1,B,391.7075504716559
57,Bridge end,N1,B,287.9522789160977
58,Bridge start,N1,B,12387.526554690125
59,Bridge end,N1,B,355.42216486148067
61,Meghna  bridge,N1,A,0.0
63,Bridge end,N1,A,0.0
66,Box culvert,N1,A,0.0
67,Box culvert,N1,A,0.0
69,Bridge start,N1,A,0.0
71,Bridge end,N1,A,0.0
72,Bridge start,N1,A,0.0
73,Bridge end,N1,A,0.0
75,Bridge start,N1,A,0.0
76,Bridge end,N1,A,0.0
78,Bridge start,N1,A,0.0
79,Bridge end,N1,A,0.0
80,Bridge start,N1,A,0.0
81,Bridge end,N1,A,0.0
84,Bridge start,N1,A,0.0
85,Bridge end,N1,A,0.0
87,Box culvert,N1,A,0.0
89,Bridge start,N1,A,0.0
90,Bridge end,N1,A,0.0
91,Box culvert,N1,A,0.0
94,Bridge start,N1,A,0.0
95,Bridge end,N1,A,0.0
96,Box culvert,N1,A,0.0
98,Daudkandi bridge,N1,A,0.0
101,Daudkandi bridge,N1,A,0.0
104,Bridge start,N1,C,8085.586770888331
105,Bridge end,N1,C,15808.484554931003
107,Box culvert,N1,C,539.5038389981344
111,Bridge start,N1,C,7848.776709834583
112,Bridge end,N1,C,5570.017970722162
116,Box culvert,N1,C,537.9694685284024
120,Box culvert,N1,C,14586.243014859769
124,Bridge start,N1,A,0.0
125,Bridge end,N1,A,0.0
128,Bridge start,N1,A,0.0
129,Bridge end,N1,A,0.0
132,Box culvert,N1,C,928.6786900108228
137,Bridge start,N1,C,13974.673810481205
138,Bridge end,N1,C,22507.13538468704
142,Box culvert,N1,B,8791.658457475634
145,Box culvert,N1,B,9704.302584793675
150,Box culvert,N1,B,176.76264231133456
151,Box culvert,N1,B,174.95523907275165
155,Box culvert,N1,B,11835.344394194835
158,Box culvert,N1,A,0.0
165,Bridge start,N1,C,4503.118487583267
166,Bridge end,N1,C,18596.206776807387
170,Box culvert,N1,B,7637.960872146192
172,Box culvert,N1,B,8393.709219463472
177,Box culvert,N1,C,21488.06080181681
181,Box culvert,N1,B,255.68704117616656
183,Box culvert,N1,A,0.0
186,Box culvert,N1,A,0.0
193,Bridge start,N1,A,0.0
194,Bridge end,N1,A,0.0
200,Bridge start,N1,C,14373.66883165727
201,Bridge end,N1,C,384.52246107207765
206,Bridge start,N1,C,15894.790276338426
207,Bridge end,N1,C,449.2122023809565
211,Box culvert,N1,C,683.2160772959406
213,Bridge start,N1,A,0.0
214,Bridge end,N1,A,0.0
217,Box culvert,N1,A,0.0
218,Box culvert,N1,A,0.0
219,Box culvert,N1,A,0.0
221,Bridge start,N1,A,0.0
222,Bridge end,N1,A,0.0
225,Box culvert,N1,A,0.0
227,Bridge start,N1,C,4691.425339953957
228,Bridge end,N1,C,494.3537387275665
230,Box culvert,N1,C,648.2510954503706
233,Bridge start,N1,A,0.0
234,Bridge end,N1,A,0.0
238,Bridge start,N1,A,0.0
239,Bridge end,N1,A,0.0
241,Bridge start,N1,A,0.0
242,Bridge end,N1,A,0.0
243,Box culvert,N1,B,10402.592460977798
245,Box culvert,N1,B,396.918175237915
247,Bridge start,N1,A,0.0
248,Bridge end,N1,A,0.0
250,Box culvert,N1,A,0.0
252,Box culvert,N1,B,351.498661203674
255,Box culvert,N1,B,375.4917735341304
256,Box culvert,N1,B,171.2499858795078
257,Box culvert,N1,B,255.27769184447897
259,Box culvert,N1,B,192.22395984651635
261,Box culvert,N1,B,8702.636605250957
262,Bridge start,N1,B,6940.982043016536
263,Bridge end,N1,B,344.0015467151517
264,Box culvert,N1,B,472.55526207827796
266,Box culvert,N1,B,455.45967413882374
267,Box culvert,N1,A,0.0
269,Box culvert,N1,B,222.73604503793402
270,Box culvert,N1,B,393.5340240656143
273,Box culvert,N1,A,0.0
275,Box culvert,N1,B,258.22833969749956
277,Box culvert,N1,A,0.0
279,Box culvert,N1,A,0.0
281,Bridge start,N1,C,5316.542262842242
282,Bridge end,N1,C,690.7692029242374
284,Box culvert,N1,B,170.59027046398705
286,Bridge start,N1,B,7255.853369762077
287,Bridge end,N1,A,0.0
289,Box culvert,N1,B,243.3052790618753
292,Box culvert,N1,B,6906.586666291766
294,Box culvert,N1,B,284.0902773371258
