bridge_id,bridge_name,road_name,condition,total_wait_time
1,Box Culvert,N1,A,1353.5145561740576
5,Box culvert,N1,A,247.11250732569954
14,Kachpur bridge,N1,A,104.76825630932836
15,Bridge end,N1,A,6136.996319271108
19,Box culvert,N1,B,390.99490203242345
20,Box culvert,N1,A,218.9224616350284
21,Box culvert,N1,A,3755.5219259555934
23,Box culvert,N1,A,220.94005036696615
24,Box culvert,N1,A,5049.89010615667
26,Bridge start,N1,A,1941.26300793758
27,Bridge end,N1,A,4813.030249374989
30,Box culvert,N1,A,243.29425375907604
33,Box culvert,N1,B,469.6456610803315
36,Langalbandhu bridge,N1,B,9834.250779963635
37,Bridge end,N1,C,23478.731222706723
39,Bridge start,N1,C,5071.016563524012
40,Bridge end,N1,C,465.7507111891674
41,Bridge start,N1,A,2524.5371381891973
42,Bridge end,N1,A,168.63304559317274
44,Bridge start,N1,B,8331.246377786623
45,Bridge end,N1,A,143.1943245550694
47,Box culvert,N1,C,817.3801732875637
48,Box culvert,N1,B,1463.0406301393805
51,Bridge start,N1,B,7920.886065077816
52,Bridge end,N1,B,12038.130426757127
54,Box culvert,N1,A,4189.019527148791
56,Bridge start,N1,B,364.73362702819185
57,Bridge end,N1,B,385.3117992505155
58,Bridge start,N1,B,8362.381683047664
59,Bridge end,N1,B,502.55290544135033
61,Meghna  bridge,N1,A,4873.16714507204
63,Bridge end,N1,A,5922.494201891391
66,Box culvert,N1,A,116.59363346023727
67,Box culvert,N1,A,175.66902160158824
69,Bridge start,N1,A,6361.762770645611
71,Bridge end,N1,A,164.94909707481165
72,Bridge start,N1,A,3058.1567430205837
73,Bridge end,N1,A,182.85386786987084
75,Bridge start,N1,A,2175.968845930715
76,Bridge end,N1,A,180.7370134079036
78,Bridge start,N1,A,3179.8459900034777
79,Bridge end,N1,A,170.69706499582333
80,Bridge start,N1,A,2498.4814230386087
81,Bridge end,N1,A,1601.9160698870767
84,Bridge start,N1,A,3171.09409430602
85,Bridge end,N1,A,237.34789677679626
87,Box culvert,N1,A,172.68572282828237
89,Bridge start,N1,A,6905.253001682271
90,Bridge end,N1,A,185.28089516913178
91,Box culvert,N1,A,141.50049859457522
94,Bridge start,N1,A,3831.747044146275
95,Bridge end,N1,A,256.867321880351
96,Box culvert,N1,A,101.89907793615082
98,Daudkandi bridge,N1,A,125.76426213999267
101,Daudkandi bridge,N1,A,247.93422281712827
104,Bridge start,N1,C,4638.55752139771
105,Bridge end,N1,C,5470.534238588242
107,Box culvert,N1,C,582.6761913650012
111,Bridge start,N1,C,5120.153850772948
112,Bridge end,N1,C,5756.08624962323
116,Box culvert,N1,C,565.9953134134804
120,Box culvert,N1,C,24846.06525117625
124,Bridge start,N1,A,2100.6768572867445
125,Bridge end,N1,A,161.9019659550624
128,Bridge start,N1,A,3439.9077194793476
129,Bridge end,N1,A,247.8013175995206
132,Box culvert,N1,C,655.7449225606425
137,Bridge start,N1,C,13602.856372810007
138,Bridge end,N1,C,16221.611618686473
142,Box culvert,N1,B,13276.255266870641
145,Box culvert,N1,B,10207.177845955624
150,Box culvert,N1,B,224.01237216391843
151,Box culvert,N1,B,327.6165838274487
155,Box culvert,N1,B,8214.629852605422
158,Box culvert,N1,A,142.97387238316747
165,Bridge start,N1,C,5214.6254338437575
166,Bridge end,N1,C,22237.29544222705
170,Box culvert,N1,B,11384.68300724301
172,Box culvert,N1,B,10574.75489458558
177,Box culvert,N1,C,22445.978681950615
181,Box culvert,N1,B,416.6983652731415
183,Box culvert,N1,A,2687.2871278589355
186,Box culvert,N1,A,106.07428856230426
193,Bridge start,N1,A,2330.0421737157303
194,Bridge end,N1,A,104.20246851776413
200,Bridge start,N1,C,10756.810994154102
201,Bridge end,N1,C,533.8916972263031
206,Bridge start,N1,C,13883.42789778237
207,Bridge end,N1,C,673.5478657759189
211,Box culvert,N1,C,521.6965634335227
213,Bridge start,N1,A,1138.888528246298
214,Bridge end,N1,A,137.08517224899163
217,Box culvert,N1,A,129.7428353920567
218,Box culvert,N1,A,2389.468701605534
219,Box culvert,N1,A,7413.887526160601
221,Bridge start,N1,A,2155.2823344553326
222,Bridge end,N1,A,3250.423960022269
225,Box culvert,N1,A,143.78379208549933
227,Bridge start,N1,C,14529.43693374628
228,Bridge end,N1,C,976.9868116611088
230,Box culvert,N1,C,1024.7203095012203
233,Bridge start,N1,A,3178.801989025636
234,Bridge end,N1,A,3554.9710969977646
238,Bridge start,N1,A,2766.9155353382575
239,Bridge end,N1,A,137.20549246070368
241,Bridge start,N1,A,3988.9863716749824
242,Bridge end,N1,A,203.2789230581203
243,Box culvert,N1,B,8043.554429285949
245,Box culvert,N1,B,283.8139147801734
247,Bridge start,N1,A,2437.582131300238
248,Bridge end,N1,A,174.73209507785634
250,Box culvert,N1,A,82.41691309572495
252,Box culvert,N1,B,317.66394003943446
255,Box culvert,N1,B,380.579877955086
256,Box culvert,N1,B,413.90842344346186
257,Box culvert,N1,B,440.0521229877298
259,Box culvert,N1,B,251.93657479294515
261,Box culvert,N1,B,7702.6039068770615
262,Bridge start,N1,B,4041.6420824922925
263,Bridge end,N1,B,340.1374710420548
264,Box culvert,N1,B,318.0686816880844
266,Box culvert,N1,B,368.3890718256792
267,Box culvert,N1,A,2350.255264902726
269,Box culvert,N1,B,433.56590573110225
270,Box culvert,N1,B,215.53681729979613
273,Box culvert,N1,A,131.30769993865786
275,Box culvert,N1,B,316.9374995179631
277,Box culvert,N1,A,184.60004772338152
279,Box culvert,N1,A,3689.589404905327
281,Bridge start,N1,C,14699.063250883084
282,Bridge end,N1,C,368.70016034791684
284,Box culvert,N1,B,326.69094911064514
286,Bridge start,N1,B,3503.5013053060734
287,Bridge end,N1,A,121.73381466626088
289,Box culvert,N1,B,384.20768858082187
292,Box culvert,N1,B,9809.254215878858
294,Box culvert,N1,B,368.2546565532855
296,Box culvert,N1,B,365.64321261041414
298,Box culvert,N1,A,153.54216799966352
299,Box culvert,N1,A,188.54653837749254
301,Box culvert,N1,B,3173.859270416372
304,Box culvert,N1,A,116.81324094828871
305,Box culvert,N1,A,226.0813326654054
307,Box culvert,N1,B,238.39916501411648
308,Box culvert,N1,B,10491.43499795747
310,Box culvert,N1,A,169.26638368774653
312,Box culvertt,N1,B,216.67150464288378
313,Bridge start,N1,A,3948.2024599206984
314,Bridge end,N1,A,3900.1667576558957
316,Box culvert,N1,B,265.93005093461267
319,Box Culvert,N1,B,6212.196713651525
325,Box culvert,N1,A,147.37175026274227
328,Box culvert,N1,A,214.70511938033877
332,Box culvert,N1,A,133.34178071757628
333,Box culvert,N1,A,5036.316884531878
338,Bridge start,N1,A,977.6743215182329
339,Bridge end,N1,A,119.95526905358395
347,Bridge start,N1,C,14070.582675880212
348,Bridge end,N1,C,23586.936293613806
357,Bridge start,N1,B,322.366515932712
358,Bridge end,N1,B,323.94295698549877
365,Bridge start,N1,A,85.15432079101522
366,Bridge end/Start of Chittagong Road Division / Bridge end/Start of Chittagong Road Division,N1,A,188.9090022388845
368,Box culvert,N1,A,210.2066662567506
373,Box culvert,N1,A,5187.962784573287
375,Km post missing / Box culvert,N1,A,180.9529946999884
376,Box culvert,N1,A,3556.773316919971
378,Box culvert,N1,A,92.67828175632037
379,Box culvert,N1,A,130.9844323711235
381,Box culvert,N1,A,3607.3131991862306
382,Box culvert,N1,A,188.79600849183095
384,Box culvert,N1,A,5505.70348764386
385,Box culvert,N1,A,180.5365212064569
387,Bridge start,N1,A,1646.8694887120835
388,Bridge end,N1,A,173.49700505779012
389,Box culvert,N1,A,131.37687895303026
390,Box culvert,N1,A,147.30453186425666
392,Pipe culvert,N1,A,197.97974902681767
394,Box culvert,N1,C,17376.600341183104
397,Box culvert,N1,B,240.08254215759595
398,Box culvert,N1,B,391.90449121100687
399,Box culvert,N1,B,1383.1649849660755
401,Box culvert,N1,B,203.91962983150395
403,Box Culvert,N1,A,146.22499465179865
404,Box culvert,N1,A,1039.338663473467
406,Bridge start,N1,B,1292.5664171288406
408,Bridge end,N1,B,242.1747113910698
410,Box culvert,N1,A,2799.9962921496117
412,Box culvert,N1,A,1339.6001286768608
413,Box culvert,N1,A,150.8723628966176
415,Box culvert,N1,A,159.1094776019289
417,Bridge start,N1,A,2613.7536277585323
418,Bridge end,N1,A,3701.5569227026517
420,Box culvert,N1,A,169.76408995101215
422,Box culvert,N1,B,365.5529921896858
424,Box culvert,N1,B,349.2754343153943
426,Box culvert,N1,A,145.6078660987916
428,Box culvert,N1,A,4773.9947752285025
429,Box culvert,N1,A,139.4307335146679
431,Box culvert,N1,C,523.8193176570693
432,Box Culvert,N1,A,4567.037527958675
434,Box culvert,N1,A,162.62063295933297
435,Box culvert,N1,A,142.53439324894592
436,Box culvert,N1,A,124.60855802076799
438,Box culvert,N1,A,115.52155724285561
440,Box culvert,N1,A,143.38032992061568
441,Box culvert,N1,A,118.14960364129993
443,Box culvert,N1,A,185.7815485666467
444,Box culvert,N1,A,3305.71781813142
447,Box culvert,N1,A,97.41601870698743
448,Box culvert,N1,A,187.92570787134406
450,Box culvert,N1,A,153.452882268127
451,Box culvert,N1,A,232.1762958017818
453,Box culvert,N1,A,168.142979901873
454,Box culvert,N1,A,164.3922229153761
456,Box culvert,N1,A,119.79302870939352
457,Box culvert,N1,A,108.00449285162578
459,Box culvert,N1,A,5004.060610186242
461,Box culvert,N1,A,156.64699477115872
462,Box culvert,N1,A,4906.007231811156
464,Box culvert,N1,A,99.12756130844471
465,Box culvert,N1,A,3466.8959156918895
466,Bridge start,N1,A,4044.713918865757
467,Bridge end / Box culvert,N1,A,114.82324357031948
468,Box culvert,N1,A,3988.7959863588917
470,Box culvert,N1,A,216.56863017988937
471,Box culvert,N1,A,158.7133899622948
473,Box culvert,N1,A,130.11892157895284
475,Box culvert,N1,A,4224.947387170701
476,Box culvert,N1,B,6168.988506977182
477,Box culvert,N1,B,373.1078538859151
478,Box culvert,N1,A,1601.1935098030074
480,Box culvert,N1,C,561.0090553669926
482,Bridge start,N1,A,1763.8052354401732
483,Bridge end,N1,A,177.2304251324574
485,Box culvert,N1,A,4861.839716798854
487,Bridge start,N1,A,1802.4647273707503
488,Bridge end,N1,A,163.57123093188545
490,Box culvert,N1,A,234.15218803912282
491,Bridge start,N1,A,1569.3004211097202
492,Bridge end,N1,A,105.7933426454847
493,Box culvert,N1,A,95.16866930371127
496,Bridge start,N1,A,2926.6824607352937
497,Bridge end,N1,A,186.5175315437403
499,Box culvert,N1,A,202.86158781055377
501,Box culvert,N1,A,226.69036138622235
503,Bridge start,N1,B,5639.370391043786
504,Bridge end,N1,B,12125.163232963183
506,Bridge start,N1,A,2304.61359806581
507,Bridge end,N1,A,3482.200079360353
508,Box culvert,N1,A,3765.865310399767
509,Bridge start,N1,A,2724.947661258298
510,Bridge end,N1,A,158.3364446026649
512,Bridge start,N1,A,2395.603643300651
513,Bridge end,N1,A,126.59804231876484
514,Bridge start,N1,A,1061.0100733827505
515,Bridge end,N1,A,143.69108865849944
516,Box culvert,N1,A,4354.650449886554
518,Bridge start,N1,B,2768.854307123725
519,Bridge end,N1,A,118.02802037763745
521,Box culvert,N1,A,2949.6292954002042
523,Box culvert,N1,B,317.6354472416212
524,Bridge start,N1,B,3252.6413600796513
525,Bridge end,N1,B,7547.342284013646
527,Box culvert,N1,A,2778.9886908792687
530,Bridge start,N1,B,2600.6431213085216
531,Bridge end,N1,B,207.83859279405834
534,Bridge start,N1,A,2813.705968524903
535,Bridge end,N1,A,87.14936532889722
537,Box culvert,N1,A,95.20189472352777
538,Bridge start,N1,A,2824.2028648725254
539,Bridge end,N1,A,184.5659801691174
542,Bridge start,N1,B,6331.64062892021
543,Bridge end,N1,B,199.38887797250112
546,Box culvert,N1,A,1073.4645291095278
550,Bridge start,N1,A,880.0687366873659
551,Bridge end,N1,A,189.27336885048095
554,Box culvert,N1,A,178.3454654983247
555,Bridge start,N1,A,5366.348555048389
556,Bridge end,N1,A,109.18696400128185
558,Box culvert,N1,A,203.15644556509358
560,Bridge start,N1,A,3584.5885500620384
561,Bridge end,N1,A,121.20213095411802
567,Box culvert,N1,C,913.6388939821298
569,Bridge start,N1,A,1255.6150871498087
570,Bridge end,N1,A,277.6790052235282
572,Bridge start,N1,B,2252.811511310166
