bridge_id,bridge_name,road_name,condition,total_wait_time
1,Box Culvert,N1,A,0.0
5,Box culvert,N1,A,0.0
14,Kachpur bridge,N1,A,0.0
15,Bridge end,N1,A,0.0
19,Box culvert,N1,B,328.0084270749666
20,Box culvert,N1,A,0.0
21,Box culvert,N1,A,0.0
23,Box culvert,N1,A,0.0
24,Box culvert,N1,A,0.0
26,Bridge start,N1,A,0.0
27,Bridge end,N1,A,0.0
30,Box culvert,N1,A,0.0
33,Box culvert,N1,B,186.03603976380055
36,Langalbandhu bridge,N1,B,10463.290036443492
37,Bridge end,N1,C,16981.059863492206
39,Bridge start,N1,C,8087.849761262009
40,Bridge end,N1,C,1110.7359184585712
41,Bridge start,N1,A,0.0
42,Bridge end,N1,A,0.0
44,Bridge start,N1,B,4806.243449908871
45,Bridge end,N1,A,0.0
47,Box culvert,N1,C,344.3880708667548
48,Box culvert,N1,B,2101.315644959456
51,Bridge start,N1,B,8025.002721585071
52,Bridge end,N1,B,6811.446000667384
54,Box culvert,N1,A,0.0
56,Bridge start,N1,B,252.49589578331683
57,Bridge end,N1,B,469.06228436632455
58,Bridge start,N1,B,7756.2849888257115
59,Bridge end,N1,B,445.62103453936305
61,Meghna  bridge,N1,A,0.0
63,Bridge end,N1,A,0.0
66,Box culvert,N1,A,0.0
67,Box culvert,N1,A,0.0
69,Bridge start,N1,A,0.0
71,Bridge end,N1,A,0.0
72,Bridge start,N1,A,0.0
73,Bridge end,N1,A,0.0
75,Bridge start,N1,A,0.0
76,Bridge end,N1,A,0.0
78,Bridge start,N1,A,0.0
79,Bridge end,N1,A,0.0
80,Bridge start,N1,A,0.0
81,Bridge end,N1,A,0.0
84,Bridge start,N1,A,0.0
85,Bridge end,N1,A,0.0
87,Box culvert,N1,A,0.0
89,Bridge start,N1,A,0.0
90,Bridge end,N1,A,0.0
91,Box culvert,N1,A,0.0
94,Bridge start,N1,A,0.0
95,Bridge end,N1,A,0.0
96,Box culvert,N1,A,0.0
98,Daudkandi bridge,N1,A,0.0
101,Daudkandi bridge,N1,A,0.0
104,Bridge start,N1,C,9386.303945243786
105,Bridge end,N1,C,12776.23829470035
107,Box culvert,N1,C,947.9453238540669
111,Bridge start,N1,C,16301.242485328436
112,Bridge end,N1,C,10179.490229517634
116,Box culvert,N1,C,573.4742459907662
120,Box culvert,N1,C,18765.523679440288
124,Bridge start,N1,A,0.0
125,Bridge end,N1,A,0.0
128,Bridge start,N1,A,0.0
129,Bridge end,N1,A,0.0
132,Box culvert,N1,C,584.1083423494885
137,Bridge start,N1,C,16188.234497568348
138,Bridge end,N1,C,18617.391886431196
142,Box culvert,N1,B,6609.349501160685
145,Box culvert,N1,B,11507.467848990065
150,Box culvert,N1,B,400.28721063421364
151,Box culvert,N1,B,456.40542288621805
155,Box culvert,N1,B,9717.238424628486
158,Box culvert,N1,A,0.0
165,Bridge start,N1,C,12213.729042443201
166,Bridge end,N1,C,22363.764946987896
170,Box culvert,N1,B,11114.389804731945
172,Box culvert,N1,B,10061.597579764006
177,Box culvert,N1,C,22560.35175044723
181,Box culvert,N1,B,428.4890368083827
183,Box culvert,N1,A,0.0
186,Box culvert,N1,A,0.0
193,Bridge start,N1,A,0.0
194,Bridge end,N1,A,0.0
200,Bridge start,N1,C,15044.644902837274
201,Bridge end,N1,C,441.64863968164616
206,Bridge start,N1,C,12077.361677541536
207,Bridge end,N1,C,871.5826794980176
211,Box culvert,N1,C,571.196641293654
213,Bridge start,N1,A,0.0
214,Bridge end,N1,A,0.0
217,Box culvert,N1,A,0.0
218,Box culvert,N1,A,0.0
219,Box culvert,N1,A,0.0
221,Bridge start,N1,A,0.0
222,Bridge end,N1,A,0.0
225,Box culvert,N1,A,0.0
227,Bridge start,N1,C,8037.552495896305
228,Bridge end,N1,C,537.2586992620578
230,Box culvert,N1,C,701.3170564777353
233,Bridge start,N1,A,0.0
234,Bridge end,N1,A,0.0
238,Bridge start,N1,A,0.0
239,Bridge end,N1,A,0.0
241,Bridge start,N1,A,0.0
242,Bridge end,N1,A,0.0
243,Box culvert,N1,B,8619.102908593699
245,Box culvert,N1,B,503.2426359358407
247,Bridge start,N1,A,0.0
248,Bridge end,N1,A,0.0
250,Box culvert,N1,A,0.0
252,Box culvert,N1,B,203.8831040210025
255,Box culvert,N1,B,287.042622861837
256,Box culvert,N1,B,254.65898792066486
257,Box culvert,N1,B,250.5006246947523
259,Box culvert,N1,B,307.2895871595411
261,Box culvert,N1,B,7939.478401805728
262,Bridge start,N1,B,6559.448514618798
263,Bridge end,N1,B,336.94006674468244
264,Box culvert,N1,B,327.8393068979517
266,Box culvert,N1,B,352.60170012831094
267,Box culvert,N1,A,0.0
269,Box culvert,N1,B,433.12656326929647
270,Box culvert,N1,B,300.4214327567864
273,Box culvert,N1,A,0.0
275,Box culvert,N1,B,160.19256231058134
277,Box culvert,N1,A,0.0
279,Box culvert,N1,A,0.0
281,Bridge start,N1,C,5581.392242627372
282,Bridge end,N1,C,429.13648174580226
284,Box culvert,N1,B,505.36523095986865
286,Bridge start,N1,B,2182.265720408149
287,Bridge end,N1,A,0.0
289,Box culvert,N1,B,535.8357266533428
292,Box culvert,N1,B,8483.634045628882
294,Box culvert,N1,B,321.74041276615657
