truck_id,generated_at_step,removed_at_step,total_driving_time
Truck90723,15,1378,1363
Truck90778,290,1583,1293
Truck90725,25,1680,1655
Truck90729,45,1707,1662
Truck90733,65,1728,1663
Truck90748,140,1729,1589
Truck90750,150,1767,1617
Truck90774,270,1791,1521
Truck90755,175,1816,1641
Truck90770,250,1826,1576
Truck90760,200,1840,1640
Truck90813,465,1840,1375
Truck90724,20,1841,1821
Truck90722,10,1842,1832
Truck90741,105,1850,1745
Truck90720,0,1851,1851
Truck90727,35,1855,1820
Truck90753,165,1887,1722
Truck90747,135,1890,1755
Truck90766,230,1907,1677
Truck90793,365,1908,1543
Truck90751,155,1928,1773
Truck90758,190,1931,1741
Truck90736,80,1937,1857
Truck90728,40,1966,1926
Truck90785,325,1975,1650
Truck90744,120,1984,1864
Truck90754,170,1986,1816
Truck90814,470,1988,1518
Truck90769,245,1989,1744
Truck90795,375,1995,1620
Truck90765,225,1996,1771
Truck90759,195,2028,1833
Truck90801,405,2029,1624
Truck90740,100,2034,1934
Truck90749,145,2034,1889
Truck90797,385,2036,1651
Truck90866,730,2036,1306
Truck90746,130,2044,1914
Truck90731,55,2047,1992
Truck90824,520,2048,1528
Truck90773,265,2062,1797
Truck90852,660,2065,1405
Truck90762,210,2083,1873
Truck90743,115,2087,1972
Truck90787,335,2088,1753
Truck90779,295,2090,1795
Truck90810,450,2101,1651
Truck90726,30,2108,2078
Truck90734,70,2115,2045
Truck90804,420,2122,1702
Truck90768,240,2135,1895
Truck90823,515,2137,1622
Truck90860,700,2137,1437
Truck90742,110,2141,2031
Truck90826,530,2141,1611
Truck90827,535,2145,1610
Truck90786,330,2148,1818
Truck90775,275,2149,1874
Truck90767,235,2150,1915
Truck90798,390,2155,1765
Truck90832,560,2156,1596
Truck90777,285,2168,1883
Truck90756,180,2169,1989
Truck90789,345,2169,1824
Truck90783,315,2178,1863
Truck90800,400,2181,1781
Truck90849,645,2189,1544
Truck90851,655,2197,1542
Truck90721,5,2200,2195
Truck90776,280,2200,1920
Truck90834,570,2205,1635
Truck90803,415,2216,1801
Truck90882,810,2223,1413
Truck90752,160,2227,2067
Truck90771,255,2230,1975
Truck90739,95,2244,2149
Truck90799,395,2248,1853
Truck90838,590,2248,1658
Truck90764,220,2252,2032
Truck90881,805,2253,1448
Truck90730,50,2257,2207
Truck90835,575,2266,1691
Truck90784,320,2269,1949
Truck90805,425,2272,1847
Truck90780,300,2278,1978
Truck90940,1100,2280,1180
Truck90825,525,2282,1757
Truck90761,205,2283,2078
Truck90791,355,2283,1928
Truck90763,215,2285,2070
Truck90772,260,2287,2027
Truck90818,490,2295,1805
Truck90865,725,2298,1573
Truck90806,430,2302,1872
Truck90735,75,2304,2229
Truck90822,510,2313,1803
Truck90732,60,2320,2260
Truck90757,185,2329,2144
Truck90831,555,2336,1781
Truck90819,495,2338,1843
Truck90816,480,2339,1859
Truck90745,125,2342,2217
Truck90796,380,2342,1962
Truck90782,310,2350,2040
Truck90836,580,2353,1773
Truck90833,565,2356,1791
Truck90738,90,2373,2283
Truck90807,435,2374,1939
Truck90821,505,2399,1894
Truck90898,890,2400,1510
Truck90815,475,2402,1927
Truck90794,370,2419,2049
Truck90840,600,2447,1847
Truck90850,650,2448,1798
Truck90869,745,2451,1706
Truck90839,595,2454,1859
Truck90868,740,2454,1714
Truck90820,500,2462,1962
Truck90972,1260,2467,1207
Truck90861,705,2469,1764
Truck90871,755,2474,1719
Truck90900,900,2476,1576
Truck90829,545,2477,1932
Truck90864,720,2481,1761
Truck90948,1140,2486,1346
Truck90788,340,2487,2147
Truck90858,690,2489,1799
Truck90790,350,2494,2144
Truck90830,550,2496,1946
Truck90781,305,2500,2195
Truck90792,360,2527,2167
Truck90853,665,2531,1866
Truck90809,445,2535,2090
Truck90737,85,2539,2454
Truck90878,790,2545,1755
Truck90959,1195,2551,1356
Truck90894,870,2554,1684
Truck90886,830,2567,1737
Truck90812,460,2572,2112
Truck90837,585,2573,1988
Truck90811,455,2588,2133
Truck90875,775,2592,1817
Truck90877,785,2601,1816
Truck90880,800,2606,1806
Truck90873,765,2607,1842
Truck90912,960,2609,1649
Truck90923,1015,2623,1608
Truck90918,990,2629,1639
Truck90927,1035,2631,1596
Truck90905,925,2632,1707
Truck90929,1045,2632,1587
Truck90920,1000,2642,1642
Truck90890,850,2646,1796
Truck90863,715,2650,1935
Truck90872,760,2651,1891
Truck90846,630,2653,2023
Truck90899,895,2664,1769
Truck90848,640,2665,2025
Truck90817,485,2667,2182
Truck90937,1085,2667,1582
Truck90892,860,2670,1810
Truck90913,965,2673,1708
Truck90885,825,2679,1854
Truck90906,930,2681,1751
Truck90841,605,2682,2077
Truck90907,935,2682,1747
Truck90879,795,2684,1889
Truck90828,540,2686,2146
Truck90933,1065,2687,1622
Truck90843,615,2693,2078
Truck90854,670,2699,2029
Truck90867,735,2699,1964
Truck90914,970,2699,1729
Truck90884,820,2701,1881
Truck90936,1080,2708,1628
Truck90842,610,2709,2099
Truck90935,1075,2711,1636
Truck90945,1125,2718,1593
Truck90876,780,2719,1939
Truck90916,980,2741,1761
Truck90993,1365,2755,1390
Truck90855,675,2769,2094
Truck90963,1215,2776,1561
Truck91025,1525,2776,1251
Truck90897,885,2787,1902
Truck90845,625,2789,2164
Truck90802,410,2798,2388
Truck90990,1350,2801,1451
Truck90947,1135,2805,1670
Truck90976,1280,2807,1527
Truck90930,1050,2810,1760
Truck90891,855,2814,1959
Truck90857,685,2815,2130
Truck90893,865,2816,1951
Truck90903,915,2820,1905
Truck90910,950,2821,1871
Truck90925,1025,2822,1797
Truck90844,620,2824,2204
Truck90888,840,2826,1986
Truck90904,920,2832,1912
Truck90887,835,2833,1998
Truck90997,1385,2836,1451
Truck91026,1530,2837,1307
Truck90978,1290,2839,1549
Truck90975,1275,2843,1568
Truck90856,680,2851,2171
Truck90909,945,2853,1908
Truck90862,710,2858,2148
Truck90964,1220,2864,1644
Truck90986,1330,2864,1534
Truck90921,1005,2882,1877
Truck90969,1245,2884,1639
Truck91035,1575,2886,1311
Truck90889,845,2887,2042
Truck90985,1325,2892,1567
Truck90924,1020,2897,1877
Truck90994,1370,2904,1534
Truck90915,975,2908,1933
Truck90911,955,2914,1959
Truck90917,985,2914,1929
Truck90901,905,2921,2016
Truck90951,1155,2924,1769
Truck90932,1060,2925,1865
Truck90960,1200,2925,1725
Truck90942,1110,2930,1820
Truck90874,770,2932,2162
Truck90941,1105,2933,1828
Truck90965,1225,2939,1714
Truck90961,1205,2950,1745
Truck90949,1145,2952,1807
Truck90966,1230,2952,1722
Truck90908,940,2962,2022
Truck90847,635,2964,2329
Truck90926,1030,2971,1941
Truck91008,1440,2986,1546
Truck90808,440,2995,2555
Truck91000,1400,3000,1600
Truck90962,1210,3008,1798
Truck91007,1435,3008,1573
Truck91041,1605,3011,1406
Truck91010,1450,3016,1566
Truck90919,995,3024,2029
Truck90946,1130,3027,1897
Truck90883,815,3042,2227
Truck90952,1160,3046,1886
Truck91002,1410,3049,1639
Truck91005,1425,3061,1636
Truck90934,1070,3069,1999
Truck90931,1055,3070,2015
Truck91031,1555,3072,1517
Truck90991,1355,3085,1730
Truck90988,1340,3089,1749
Truck90896,880,3090,2210
Truck90998,1390,3093,1703
Truck90977,1285,3094,1809
Truck90950,1150,3098,1948
Truck90968,1240,3105,1865
Truck91013,1465,3107,1642
Truck91034,1570,3107,1537
Truck90895,875,3116,2241
Truck91009,1445,3116,1671
Truck91050,1650,3117,1467
Truck90957,1185,3119,1934
Truck91100,1900,3128,1228
Truck90999,1395,3139,1744
Truck90967,1235,3141,1906
Truck90970,1250,3144,1894
Truck91003,1415,3149,1734
Truck90973,1265,3153,1888
Truck90859,695,3168,2473
Truck90958,1190,3173,1983
Truck91032,1560,3175,1615
Truck90944,1120,3186,2066
Truck91001,1405,3186,1781
Truck90922,1010,3191,2181
Truck90938,1090,3202,2112
Truck90996,1380,3202,1822
Truck90943,1115,3205,2090
Truck91011,1455,3205,1750
Truck91044,1620,3206,1586
Truck90956,1180,3208,2028
Truck90870,750,3209,2459
Truck90974,1270,3211,1941
Truck90902,910,3217,2307
Truck90939,1095,3218,2123
Truck91024,1520,3223,1703
Truck91022,1510,3234,1724
Truck91030,1550,3238,1688
Truck91019,1495,3242,1747
Truck91006,1430,3248,1818
Truck90981,1305,3249,1944
Truck91042,1610,3250,1640
Truck90984,1320,3251,1931
Truck90955,1175,3261,2086
Truck91027,1535,3267,1732
Truck91119,1995,3268,1273
Truck90979,1295,3269,1974
Truck91012,1460,3274,1814
Truck91074,1770,3278,1508
Truck91056,1680,3281,1601
Truck91092,1860,3281,1421
Truck91015,1475,3283,1808
Truck91091,1855,3286,1431
Truck91018,1490,3290,1800
Truck90987,1335,3294,1959
Truck90992,1360,3296,1936
Truck90995,1375,3312,1937
Truck91069,1745,3313,1568
Truck91016,1480,3315,1835
Truck91043,1615,3339,1724
Truck91059,1695,3341,1646
Truck90928,1040,3350,2310
Truck91099,1895,3376,1481
Truck91033,1565,3388,1823
Truck91062,1710,3393,1683
Truck91040,1600,3419,1819
Truck91021,1505,3421,1916
Truck91084,1820,3424,1604
Truck91083,1815,3430,1615
Truck91160,2200,3431,1231
Truck91108,1940,3452,1512
Truck91038,1590,3453,1863
Truck90983,1315,3456,2141
Truck91029,1545,3458,1913
Truck91046,1630,3460,1830
Truck90953,1165,3471,2306
Truck91173,2265,3478,1213
Truck91079,1795,3490,1695
Truck90954,1170,3491,2321
Truck91020,1500,3493,1993
Truck91047,1635,3500,1865
Truck91064,1720,3501,1781
Truck91054,1670,3518,1848
Truck91085,1825,3525,1700
Truck91036,1580,3533,1953
Truck91057,1685,3534,1849
Truck91136,2080,3537,1457
Truck91120,2000,3538,1538
