truck_id,generated_at_step,removed_at_step,total_driving_time
Truck92171,55,1311,1256
Truck92160,0,1429,1429
Truck92191,155,1611,1456
Truck92232,360,1660,1300
Truck92188,140,1661,1521
Truck92169,45,1668,1623
Truck92184,120,1672,1552
Truck92196,180,1702,1522
Truck92189,145,1707,1562
Truck92194,170,1711,1541
Truck92199,195,1718,1523
Truck92252,460,1735,1275
Truck92161,5,1739,1734
Truck92197,185,1764,1579
Truck92201,205,1770,1565
Truck92211,255,1771,1516
Truck92209,245,1799,1554
Truck92168,40,1811,1771
Truck92192,160,1811,1651
Truck92227,335,1821,1486
Truck92200,200,1839,1639
Truck92186,130,1848,1718
Truck92185,125,1857,1732
Truck92212,260,1866,1606
Truck92231,355,1886,1531
Truck92181,105,1887,1782
Truck92183,115,1888,1773
Truck92182,110,1928,1818
Truck92224,320,1935,1615
Truck92234,370,1935,1565
Truck92179,95,1942,1847
Truck92165,25,1943,1918
Truck92219,295,1943,1648
Truck92229,345,1947,1602
Truck92206,230,1952,1722
Truck92164,20,1955,1935
Truck92238,390,1965,1575
Truck92235,375,1973,1598
Truck92195,175,2011,1836
Truck92240,400,2012,1612
Truck92193,165,2015,1850
Truck92264,520,2017,1497
Truck92274,570,2020,1450
Truck92255,475,2023,1548
Truck92280,600,2031,1431
Truck92166,30,2037,2007
Truck92205,225,2037,1812
Truck92253,465,2048,1583
Truck92203,215,2062,1847
Truck92216,280,2068,1788
Truck92226,330,2070,1740
Truck92239,395,2071,1676
Truck92175,75,2076,2001
Truck92180,100,2079,1979
Truck92296,680,2082,1402
Truck92218,290,2083,1793
Truck92267,535,2084,1549
Truck92262,510,2085,1575
Truck92167,35,2086,2051
Truck92202,210,2086,1876
Truck92163,15,2108,2093
Truck92272,560,2108,1548
Truck92215,275,2109,1834
Truck92260,500,2115,1615
Truck92275,575,2117,1542
Truck92228,340,2118,1778
Truck92328,840,2128,1288
Truck92217,285,2132,1847
Truck92221,305,2134,1829
Truck92281,605,2135,1530
Truck92174,70,2138,2068
Truck92237,385,2153,1768
Truck92173,65,2155,2090
Truck92198,190,2157,1967
Truck92172,60,2159,2099
Truck92162,10,2160,2150
Truck92213,265,2160,1895
Truck92312,760,2168,1408
Truck92190,150,2176,2026
Truck92247,435,2180,1745
Truck92225,325,2185,1860
Truck92289,645,2194,1549
Truck92245,425,2195,1770
Truck92177,85,2211,2126
Truck92233,365,2213,1848
Truck92220,300,2216,1916
