bridge_id,bridge_name,road_name,condition,length,total_wait_time
1,Box Culvert,N1,A,8.000000000000007,2175.903147267158
5,Box culvert,N1,A,870.0000000000001,480.6846032910849
14,Kachpur bridge,N1,A,418.000000000001,225.65470589701556
15,Bridge end,N1,A,73.99999999999984,13516.928601938904
19,Box culvert,N1,B,347.999999999999,865.3637169982308
20,Box culvert,N1,A,414.0000000000015,399.2115476874036
21,Box culvert,N1,A,125.99999999999945,8762.88449389636
23,Box culvert,N1,A,428.0000000000008,447.4735197305649
24,Box culvert,N1,A,183.9999999999993,7953.576917196757
26,Bridge start,N1,A,26.000000000001577,3261.321853335144
27,Bridge end,N1,A,164.99999999999915,11032.946263951873
30,Box culvert,N1,A,851.9999999999985,424.90827417078077
33,Box culvert,N1,B,960.9999999999984,1114.4766084366615
36,Langalbandhu bridge,N1,B,160.00000000000014,23727.08124689656
37,Bridge end,N1,C,121.99999999999989,50111.321863388985
39,Bridge start,N1,C,21.0000000000008,9456.76061846361
40,Bridge end,N1,C,352.00000000000034,985.3755718069436
41,Bridge start,N1,A,30.000000000001137,4688.426113779934
42,Bridge end,N1,A,289.99999999999915,344.29246808606206
44,Bridge start,N1,B,41.00000000000037,14873.23178853183
45,Bridge end,N1,A,620.000000000001,273.75385576704434
47,Box culvert,N1,C,643.0000000000007,1873.0250124727274
48,Box culvert,N1,B,3.0000000000001137,3238.053159352596
51,Bridge start,N1,B,100.00000000000142,17292.075212493965
52,Bridge end,N1,B,82.00000000000074,22344.748942816314
54,Box culvert,N1,A,130.00000000000256,7552.035203873877
56,Bridge start,N1,B,227.999999999998,777.3884605272382
57,Bridge end,N1,B,259.00000000000034,789.8891884635602
58,Bridge start,N1,B,121.99999999999989,16159.737576700223
59,Bridge end,N1,B,255.00000000000256,1097.1225400480207
61,Meghna  bridge,N1,A,65.00000000000128,9105.128086845127
63,Bridge end,N1,A,126.00000000000122,11195.947943301548
66,Box culvert,N1,A,673.9999999999995,301.9966243724184
67,Box culvert,N1,A,316.0000000000025,330.5351327503573
69,Bridge start,N1,A,126.00000000000122,12637.555774120363
71,Bridge end,N1,A,656.0000000000024,308.69045309714755
72,Bridge start,N1,A,38.999999999997925,5814.805074757439
73,Bridge end,N1,A,396.0000000000008,365.70773573974117
75,Bridge start,N1,A,45.999999999999375,3707.20618195603
76,Bridge end,N1,A,646.0000000000008,375.16622480125375
78,Bridge start,N1,A,38.000000000000256,6864.4294387376885
79,Bridge end,N1,A,532.0,293.858238473823
80,Bridge start,N1,A,38.000000000000256,3690.9384658524964
81,Bridge end,N1,A,39.00000000000148,3371.196505284755
84,Bridge start,N1,A,40.0000000000027,7361.468433210403
85,Bridge end,N1,A,394.9999999999996,428.9419821267419
87,Box culvert,N1,A,582.0000000000007,368.5680352902136
89,Bridge start,N1,A,76.99999999999818,13633.448234090692
90,Bridge end,N1,A,442.9999999999978,399.066543441206
91,Box culvert,N1,A,256.0000000000002,297.1510470486072
94,Bridge start,N1,A,39.99999999999915,7663.4940882925775
95,Bridge end,N1,A,275.0000000000057,513.7346437607025
96,Box culvert,N1,A,650.9999999999962,244.86196339880985
98,Daudkandi bridge,N1,A,335.9999999999985,261.86531294902676
101,Daudkandi bridge,N1,A,354.9999999999969,464.8766677821138
104,Bridge start,N1,C,17.000000000003013,9147.365182057052
105,Bridge end,N1,C,46.99999999999704,11016.524121846667
107,Box culvert,N1,C,487.0000000000019,1175.5747720522008
111,Bridge start,N1,C,16.999999999995907,10638.541889939446
112,Bridge end,N1,C,24.00000000000091,10942.889243789336
116,Box culvert,N1,C,814.9999999999977,1246.0672016234726
120,Box culvert,N1,C,107.999999999997,45317.24193653104
124,Bridge start,N1,A,20.000000000003126,4201.353714573501
125,Bridge end,N1,A,576.9999999999982,251.63076636389167
128,Bridge start,N1,A,15.999999999998238,7726.561954522814
129,Bridge end,N1,A,390.00000000000057,431.10640185122037
132,Box culvert,N1,C,632.9999999999956,1410.845136418357
137,Bridge start,N1,C,42.00000000000159,26265.87903258953
138,Bridge end,N1,C,101.99999999999676,30521.499212859566
142,Box culvert,N1,B,77.99999999999585,23880.017590410127
145,Box culvert,N1,B,88.99999999999864,20495.36503989495
150,Box culvert,N1,B,351.9999999999968,439.72798980324734
151,Box culvert,N1,B,375.0,577.1259026364335
155,Box culvert,N1,B,182.99999999999272,15070.004405858786
158,Box culvert,N1,A,305.9999999999974,218.76725051400336
165,Bridge start,N1,C,30.000000000001137,9005.520897263068
166,Bridge end,N1,C,197.9999999999933,47981.241319574845
170,Box culvert,N1,B,140.99999999999113,21893.621167774956
172,Box culvert,N1,B,128.99999999999068,20833.84546395955
177,Box culvert,N1,C,55.999999999997385,41838.08271329559
181,Box culvert,N1,B,486.9999999999948,833.396730546279
183,Box culvert,N1,A,27.999999999991587,5333.8577840836315
186,Box culvert,N1,A,435.9999999999928,244.13923557990637
193,Bridge start,N1,A,24.00000000000091,4373.938817326018
194,Bridge end,N1,A,209.99999999999372,231.5610411505864
200,Bridge start,N1,C,37.00000000000614,21247.552458417613
201,Bridge end,N1,C,507.9999999999956,1033.2732847459524
206,Bridge start,N1,C,27.999999999991587,27971.777240550844
207,Bridge end,N1,C,460.9999999999985,1450.7184801327369
211,Box culvert,N1,C,980.000000000004,901.7404175903905
213,Bridge start,N1,A,28.99999999999636,1898.1475470771584
214,Bridge end,N1,A,799.0000000000066,287.4366514898215
217,Box culvert,N1,A,891.9999999999959,219.16019491901397
218,Box culvert,N1,A,15.000000000000568,5036.264801845509
219,Box culvert,N1,A,82.99999999999841,10412.76337943903
221,Bridge start,N1,A,30.000000000001137,3488.154304447436
222,Bridge end,N1,A,72.00000000000273,6156.105984890672
225,Box culvert,N1,A,904.0000000000106,277.5825986095059
227,Bridge start,N1,C,24.00000000000091,28883.820410459593
228,Bridge end,N1,C,609.9999999999994,1757.144778482074
230,Box culvert,N1,C,313.0000000000024,2097.532185874341
233,Bridge start,N1,A,44.00000000001114,5796.638921164401
234,Bridge end,N1,A,143.00000000000068,7486.984583071022
238,Bridge start,N1,A,10.000000000005116,7065.516456310196
239,Bridge end,N1,A,917.0000000000016,253.02831077168796
241,Bridge start,N1,A,19.000000000005457,6910.497517127064
242,Bridge end,N1,A,597.999999999999,357.7709045822911
243,Box culvert,N1,B,112.99999999999956,17363.86352988723
245,Box culvert,N1,B,453.00000000000296,611.9737537447453
247,Bridge start,N1,A,14.000000000010004,5631.655268866081
248,Bridge end,N1,A,466.9999999999988,330.5742339310787
250,Box culvert,N1,A,498.0000000000047,186.9097850563766
252,Box culvert,N1,B,225.9999999999991,626.1864717324077
255,Box culvert,N1,B,277.000000000001,761.1597559101724
256,Box culvert,N1,B,202.99999999998877,940.7009623715113
257,Box culvert,N1,B,404.0000000000106,836.4111273809312
259,Box culvert,N1,B,844.0000000000083,498.05922862913286
261,Box culvert,N1,B,186.00000000000705,13809.668433043942
262,Bridge start,N1,B,22.99999999999613,5913.274993176673
263,Bridge end,N1,B,346.9999999999942,667.6772579714388
264,Box culvert,N1,B,270.00000000001023,608.8033360436011
266,Box culvert,N1,B,816.9999999999931,769.7235077983723
267,Box culvert,N1,A,20.000000000010232,3592.533047779881
269,Box culvert,N1,B,447.9999999999933,761.7512093747824
270,Box culvert,N1,B,237.00000000000895,384.3488700101243
273,Box culvert,N1,A,222.0000000000084,251.51897453038603
275,Box culvert,N1,B,282.0000000000107,545.221153016915
277,Box culvert,N1,A,228.9999999999992,289.7519736417638
