scenario_id,replication_id,rows,sum_value,mean_value,median_value,metric_group
0,4,799,0.0,0.0,0.0,bridge_wait_time
0,5,799,0.0,0.0,0.0,bridge_wait_time
0,6,799,0.0,0.0,0.0,bridge_wait_time
0,7,799,0.0,0.0,0.0,bridge_wait_time
0,8,799,0.0,0.0,0.0,bridge_wait_time
0,9,799,0.0,0.0,0.0,bridge_wait_time
0,10,799,0.0,0.0,0.0,bridge_wait_time
1,1,799,8345.92738738115,10.445466066809951,0.0,bridge_wait_time
1,2,799,10745.100880942862,13.448186334096198,0.0,bridge_wait_time
1,3,799,11400.44779807968,14.268395241651664,0.0,bridge_wait_time
1,4,799,12425.246285957992,15.550996603201492,0.0,bridge_wait_time
1,5,799,8834.31297843052,11.056712113179625,0.0,bridge_wait_time
1,6,799,10011.58290038764,12.530141302112192,0.0,bridge_wait_time
1,7,799,12097.190570211986,15.140413729927392,0.0,bridge_wait_time
1,8,799,10837.877097582837,13.564301749165002,0.0,bridge_wait_time
1,9,799,11637.645072085827,14.565262918755728,0.0,bridge_wait_time
1,10,799,12011.06695767941,15.032624477696382,0.0,bridge_wait_time
2,1,799,17834.10930822402,22.320537306913664,0.0,bridge_wait_time
2,2,799,21395.782340637285,26.77820067664241,0.0,bridge_wait_time
2,3,799,22135.74243189006,27.704308425394316,0.0,bridge_wait_time
2,4,799,24383.832665058555,30.51793825414087,0.0,bridge_wait_time
2,5,799,20920.400902408397,26.183230165717642,0.0,bridge_wait_time
2,6,799,19747.91495394259,24.71578842796319,0.0,bridge_wait_time
2,7,799,20783.74928872244,26.01220186323209,0.0,bridge_wait_time
2,8,799,23811.78168942588,29.80197958626518,0.0,bridge_wait_time
2,9,799,22585.78660660198,28.26756771789985,0.0,bridge_wait_time
2,10,799,26994.254567044623,33.785049520706664,0.0,bridge_wait_time
3,1,799,287499.08753745304,359.8236389705295,0.0,bridge_wait_time
3,2,799,307327.75399221655,384.640493106654,0.0,bridge_wait_time
3,3,799,318772.9939883157,398.9649486712336,0.0,bridge_wait_time
3,4,799,302530.75332186563,378.6367375742999,0.0,bridge_wait_time
3,5,799,303660.1487546562,380.05024875426307,0.0,bridge_wait_time
3,6,799,320877.19667577336,401.5984939621694,0.0,bridge_wait_time
3,7,799,319311.3770201091,399.638769737308,0.0,bridge_wait_time
3,8,799,297936.4203086545,372.8866336779155,0.0,bridge_wait_time
3,9,799,306287.5473286903,383.33860742013803,0.0,bridge_wait_time
3,10,799,316491.0378488139,396.10893347786475,0.0,bridge_wait_time
4,1,799,576149.1028432063,721.0877382267913,0.0,bridge_wait_time
4,2,799,604269.5365660689,756.282273549523,0.0,bridge_wait_time
4,3,799,614323.4596950874,768.8654063768303,0.0,bridge_wait_time
4,4,799,590390.4477544035,738.9116993171508,0.0,bridge_wait_time
4,5,799,590150.7796727209,738.6117392649824,0.0,bridge_wait_time
4,6,799,615286.5262421186,770.0707462354425,0.0,bridge_wait_time
4,7,799,628416.9469939214,786.5043141350706,0.0,bridge_wait_time
4,8,799,588995.0643818912,737.1652870862217,0.0,bridge_wait_time
4,9,799,603086.7855172688,754.8019843770574,0.0,bridge_wait_time
4,10,799,623070.7922549488,779.8132568897981,0.0,bridge_wait_time
5,1,799,820695.0430849912,1027.152744787223,0.0,bridge_wait_time
5,2,799,833213.9367407404,1042.8209471098128,0.0,bridge_wait_time
5,3,799,849927.9811057318,1063.739650945847,0.0,bridge_wait_time
5,4,799,850920.5200362984,1064.9818773921131,0.0,bridge_wait_time
5,5,799,828008.6104459228,1036.306145739578,0.0,bridge_wait_time
5,6,799,847745.0687784997,1061.007595467459,0.0,bridge_wait_time
5,7,799,873743.5082964738,1093.5463182684277,0.0,bridge_wait_time
5,8,799,813288.8959372067,1017.8834742643388,0.0,bridge_wait_time
5,9,799,845077.4878590087,1057.6689460062687,0.0,bridge_wait_time
5,10,799,859579.1648084107,1075.8187294222912,0.0,bridge_wait_time
6,1,799,1562742.917598126,1955.873488858731,0.0,bridge_wait_time
6,2,799,1600232.8013377618,2002.7944947906906,0.0,bridge_wait_time
6,3,799,1607782.1027649213,2012.2429321213033,0.0,bridge_wait_time
6,4,799,1605507.8156967107,2009.3965152649696,0.0,bridge_wait_time
6,5,799,1571482.683121154,1966.8118687373644,0.0,bridge_wait_time
6,6,799,1618127.8380585709,2025.1912866815655,0.0,bridge_wait_time
6,7,799,1632229.1062787666,2042.8399327644138,0.0,bridge_wait_time
6,8,799,1564258.596412111,1957.7704585883744,0.0,bridge_wait_time
6,9,799,1602370.578411692,2005.4700605903531,0.0,bridge_wait_time
6,10,799,1638095.82474226,2050.182509064155,0.0,bridge_wait_time
7,1,799,2321679.6821199865,2905.731767359182,837.1331109580576,bridge_wait_time
7,2,799,2352517.9002238447,2944.32778501107,819.6674975463045,bridge_wait_time
7,3,799,2360787.572879174,2954.6778133656744,817.2436600814883,bridge_wait_time
7,4,799,2360941.8890095535,2954.8709499493784,936.125140669118,bridge_wait_time
7,5,799,2335775.104950009,2923.3730975594603,795.0438257966997,bridge_wait_time
7,6,799,2346682.4214789527,2937.0243072327316,877.3107108643213,bridge_wait_time
7,7,799,2404428.4182415474,3009.2971442322246,830.0720094321485,bridge_wait_time
7,8,799,2329336.924883805,2915.315300230044,827.3190010741956,bridge_wait_time
7,9,799,2339362.889383607,2927.8634410307973,856.9448348575236,bridge_wait_time
7,10,799,2379172.4187418013,2977.6876329684624,882.2014263542954,bridge_wait_time
8,1,799,3854356.109190715,4823.975105370107,1372.1695597316464,bridge_wait_time
8,2,799,3906846.4663061034,4889.670170595874,1510.0051053309965,bridge_wait_time
8,3,799,3859608.0947123813,4830.54830377019,1314.6566295023604,bridge_wait_time
8,4,799,3888760.921561325,4867.034945633698,1368.0535081716114,bridge_wait_time
8,5,799,3859075.4886904145,4829.8817130042735,1300.1369345956423,bridge_wait_time
8,6,799,3894204.9736478385,4873.848527719448,1410.845136418357,bridge_wait_time
8,7,799,3936226.5281232465,4926.4412116686435,1273.877054078372,bridge_wait_time
8,8,799,3855944.7411394175,4825.963380650084,1324.675627119558,bridge_wait_time
8,9,799,3888037.7513814378,4866.129851541224,1293.0883302905702,bridge_wait_time
8,10,799,3909100.0337385326,4892.490655492531,1288.8081021461398,bridge_wait_time
