truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck576006,2567,0,0,16,16
Truck576032,0,2567,10,26,16
Truck576013,2942,2943,0,35,35
Truck576014,2943,2942,0,35,35
Truck576010,2684,2443,0,39,39
Truck576030,2943,2942,5,40,35
Truck576046,2943,2942,10,46,36
Truck576042,2684,2443,10,49,39
Truck576062,2943,2942,15,51,36
Truck576058,2684,2443,15,54,39
Truck576168,1339,2567,50,54,4
Truck576078,2943,2942,20,55,35
Truck576047,3119,2942,10,56,46
Truck576152,1339,0,45,57,12
Truck576067,2443,2684,20,58,38
Truck576074,2684,2443,20,59,39
Truck576094,2943,2942,25,62,37
Truck576044,2777,2943,10,64,54
Truck576110,2943,2942,30,66,36
Truck576095,3119,2942,25,71,46
Truck576126,2943,2942,35,72,37
Truck576142,2943,2942,40,77,37
Truck576131,2443,2684,40,78,38
Truck576138,2684,2443,40,79,39
Truck576158,2943,2942,45,81,36
Truck576041,2224,3119,10,84,74
Truck576264,1339,2567,80,84,4
Truck576174,2943,2942,50,86,36
Truck576012,2777,2942,0,87,87
Truck576018,2225,2444,5,88,83
Truck576027,2776,2443,5,89,84
Truck576170,2684,2443,50,89,39
Truck576190,2943,2942,55,90,35
Truck576240,0,2567,75,91,16
Truck576256,0,1339,80,92,12
Truck576028,2777,2942,5,93,88
Truck576043,2776,2443,10,93,83
Truck576140,2777,2943,40,94,54
Truck576186,2684,2443,55,94,39
Truck576206,2943,2942,60,96,36
Truck576272,0,1339,85,97,12
Truck576135,2683,2567,40,100,60
Truck576222,2943,2942,65,100,35
Truck576288,0,1339,90,102,12
Truck576060,2777,2942,15,103,88
Truck576211,2443,2684,65,103,38
Truck576002,2225,2443,0,104,104
Truck576105,2224,3119,30,104,74
Truck576172,2777,2943,50,104,54
Truck576207,3119,2942,60,106,46
Truck576238,2943,2942,70,106,36
Truck576076,2777,2942,20,108,88
Truck576223,3119,2942,65,111,46
Truck576254,2943,2942,75,111,36
Truck576342,2567,1339,105,111,6
Truck576243,2443,2684,75,113,38
Truck576360,1339,2567,110,114,4
Truck576270,2943,2942,80,116,36
Truck576344,1339,0,105,117,12
Truck576180,2444,2566,55,118,63
Truck576259,2443,2684,80,118,38
Truck576003,2443,0,0,119,119
Truck576050,2225,2443,15,119,104
Truck576108,2777,2942,30,119,89
Truck576153,2224,3119,45,119,74
Truck576286,2943,2942,85,121,36
Truck576130,2225,2444,40,123,83
Truck576066,2225,2443,20,124,104
Truck576132,2444,2225,40,124,84
Truck576302,2943,2942,90,126,36
Truck576083,2443,2225,25,128,103
Truck576031,3119,2777,5,129,124
Truck576082,2225,2443,25,129,104
Truck576185,2224,3119,55,129,74
Truck576192,0,2683,60,131,71
Truck576318,2943,2942,95,131,36
Truck576374,2567,0,115,131,16
Truck576156,2777,2942,45,132,87
Truck576163,2443,2776,50,132,82
Truck576307,2443,2684,95,133,38
Truck576048,0,2443,15,135,120
Truck576334,2943,2942,100,136,36
Truck576384,0,2567,120,136,16
Truck576246,2567,2683,75,137,62
Truck576099,2443,2567,30,139,109
Truck576330,2684,2443,100,139,39
Truck576187,2776,2443,55,140,85
Truck576350,2943,2942,105,142,37
Truck576115,2443,1339,35,143,108
Truck576188,2777,2942,55,143,88
Truck576260,2444,2566,80,143,63
Truck576239,3119,2224,70,144,74
Truck576279,2683,1339,85,144,59
Truck576346,2684,2443,105,144,39
Truck576080,0,2443,25,145,120
Truck576366,2943,2942,110,146,36
Truck576204,2777,2942,60,148,88
Truck576355,2443,2684,110,148,38
Truck576146,2225,2443,45,149,104
Truck576092,2777,3119,25,150,125
Truck576382,2943,2942,115,150,35
Truck576026,2684,1339,5,151,146
Truck576022,2567,2225,5,152,147
Truck576147,2443,1339,45,153,108
Truck576220,2777,2942,65,154,89
Truck576228,2444,2225,70,154,84
Truck576271,3119,2224,80,154,74
Truck576362,2684,2776,110,156,46
Truck576179,2443,2225,55,158,103
Truck576236,2777,2942,70,158,88
Truck576019,2443,2942,5,159,154
Truck576244,2444,2225,75,159,84
Truck576281,2224,3119,85,159,74
Truck576124,2777,3119,35,160,125
Truck576128,0,2443,40,160,120
Truck576102,2567,2225,30,161,131
Truck576414,2943,2942,125,161,36
Truck576253,2942,2777,75,162,87
Truck576016,0,2684,5,163,158
Truck576267,2776,2443,80,163,83
Truck576252,2777,2942,75,164,89
Truck576364,2777,2943,110,164,54
Truck576410,2684,2443,125,164,39
Truck576085,2566,2225,25,166,141
Truck576304,0,2683,95,166,71
Truck576090,2684,2942,25,167,142
Truck576268,2777,2942,80,167,87
Truck576200,1339,2443,60,168,108
Truck576210,2225,2443,65,169,104
Truck576426,2684,2443,130,169,39
Truck576446,2943,2942,135,171,36
Truck576284,2777,2942,85,172,87
Truck576086,2567,2684,25,173,148
Truck576216,1339,2443,65,173,108
Truck576442,2684,2443,135,174,39
Truck576398,2943,2777,120,175,55
Truck576114,2225,2566,35,176,141
Truck576462,2943,2942,140,176,36
Truck576093,2942,2684,25,177,152
Truck576064,0,2684,20,178,158
Truck576300,2777,2942,90,178,88
Truck576242,2225,2443,75,179,104
Truck576315,2776,2443,95,179,84
Truck576458,2684,2443,140,179,39
Truck576478,2943,2942,145,181,36
Truck576528,0,2567,165,181,16
Truck576566,2567,1339,175,181,6
Truck576317,2942,2777,95,182,87
Truck576118,2567,2684,35,183,148
Truck576316,2777,2942,95,183,88
Truck576258,2225,2443,80,184,104
Truck576408,1339,2683,125,184,59
Truck576004,2444,2443,0,186,186
Truck576149,2566,2225,45,186,141
Truck576494,2943,2942,150,186,36
Truck576544,0,2567,170,186,16
Truck576045,2942,2443,10,187,177
Truck576332,2777,2942,100,189,89
Truck576490,2684,2443,150,189,39
Truck576125,2942,2443,35,190,155
Truck576237,2942,2224,70,190,120
Truck576475,2776,2684,145,190,45
Truck576509,2942,2943,155,190,35
Truck576034,2225,1339,10,191,181
Truck576510,2943,2942,155,191,36
Truck576122,2684,0,35,192,157
Truck576348,2777,2942,105,192,87
Truck576029,2942,2443,5,193,188
Truck576112,0,2684,35,193,158
Truck576183,2683,2443,55,193,138
Truck576275,2443,1339,85,193,108
Truck576363,2776,2443,110,193,83
Truck576499,2443,2684,155,193,38
Truck576111,3119,2684,30,194,164
Truck576290,2225,2443,90,194,104
Truck576278,2567,2443,85,195,110
Truck576123,2776,2942,35,196,161
Truck576199,2683,2443,60,198,138
Truck576365,2942,2777,110,198,88
Truck576436,2444,2566,135,198,63
Truck576306,2225,2443,95,199,104
Truck576522,2684,2443,160,199,39
Truck576269,2942,2684,80,200,120
Truck576051,2443,2444,15,201,186
Truck576087,2683,2684,25,201,176
Truck576380,2777,2942,115,202,87
Truck576430,2943,3119,130,202,72
Truck576542,2943,2942,165,202,37
Truck576215,2683,2443,65,203,138
Truck576322,2225,2443,100,204,104
Truck576285,2942,2224,85,205,120
Truck576558,2943,2942,170,205,35
Truck576068,2444,2443,20,206,186
