truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck368678,2567,1339,10,16,6
Truck368662,2567,0,5,21,16
Truck368680,1339,0,10,22,12
Truck368712,1339,2567,20,24,4
Truck368654,2943,2942,0,33,33
Truck368650,2684,2443,0,39,39
Truck368686,2943,2942,10,43,33
Truck368667,2776,2684,5,48,43
Truck368702,2943,2942,15,48,33
Truck368671,3119,2942,5,51,46
Truck368758,2567,0,35,51,16
Truck368718,2943,2942,20,53,33
Truck368806,2567,1339,50,56,6
Truck368792,1339,0,45,57,12
Truck368699,2776,2684,15,58,43
Truck368734,2943,2942,25,58,33
Truck368648,1339,2683,0,59,59
Truck368670,2943,2777,5,60,55
Truck368784,0,2567,45,61,16
Truck368822,2567,1339,55,61,6
Truck368749,2942,2943,30,62,32
Truck368644,2444,2566,0,63,63
Truck368663,2683,2567,5,65,60
Truck368800,0,2567,50,66,16
Truck368766,2943,2942,35,68,33
Truck368746,2684,2443,30,69,39
Truck368655,3119,2943,0,71,71
Truck368782,2943,2942,40,73,33
Truck368716,2777,2943,20,74,54
Truck368762,2684,2443,35,74,39
Truck368751,3119,2942,30,76,46
Truck368694,2567,2683,15,77,62
Truck368848,0,1339,65,77,12
Truck368787,2443,2684,45,83,38
Truck368814,2943,2942,50,83,33
Truck368681,2224,3119,10,84,74
Truck368652,2777,2942,0,85,85
Truck368830,2943,2942,55,88,33
Truck368697,2224,3119,15,89,74
Truck368810,2684,2443,50,89,39
Truck368668,2777,2942,5,90,85
Truck368799,3119,2942,45,91,46
Truck368880,0,2567,75,91,16
Truck368658,2225,2567,5,93,88
Truck368846,2943,2942,60,93,33
Truck368684,2777,2942,10,95,85
Truck368685,2942,2777,10,95,85
Truck368735,3119,2943,25,96,71
Truck368896,0,2567,80,96,16
Truck368934,2567,1339,90,96,6
Truck368862,2943,2942,65,98,33
Truck368842,2684,2443,60,99,39
Truck368666,2684,2942,5,100,95
Truck368798,2943,2777,45,100,55
Truck368750,2943,3119,30,102,72
Truck368878,2943,2942,70,103,33
Truck368642,2225,2443,0,104,104
Truck368858,2684,2443,65,104,39
Truck368791,2683,2567,45,105,60
Truck368731,2776,2443,25,106,81
Truck368701,2942,2684,15,109,94
Truck368767,3119,2224,35,109,74
Truck368874,2684,2443,70,109,39
Truck368698,2684,2942,15,110,95
Truck368732,2777,2942,25,110,85
Truck368672,0,2225,10,113,103
Truck368722,2225,2567,25,113,88
Truck368748,2777,2942,30,115,85
Truck368763,2776,2443,35,116,81
Truck368738,2225,2567,30,118,88
Truck368926,2943,2942,85,118,33
Truck368690,2225,2443,15,119,104
Truck368906,2684,2443,80,119,39
Truck368653,2942,2224,0,120,120
Truck368730,2684,2942,25,120,95
Truck368764,2777,2942,35,120,85
Truck368706,2225,0,20,123,103
Truck368907,2776,2684,80,123,43
Truck368942,2943,2942,90,123,33
Truck368809,2224,3119,50,124,74
Truck368876,2777,2943,70,124,54
Truck368656,0,2443,5,125,120
Truck368665,2224,2942,5,125,120
