truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck69158,2567,1339,10,16,6
Truck69168,0,1339,15,27,12
Truck69134,2943,2942,0,33,33
Truck69224,1339,2567,30,34,4
Truck69150,2943,2942,5,38,33
Truck69240,1339,2567,35,39,4
Truck69166,2943,2942,10,43,33
Truck69216,0,2567,30,46,16
Truck69232,0,1339,35,47,12
Truck69155,2443,2684,10,48,38
Truck69182,2943,2942,15,48,33
Truck69162,2684,2443,10,49,39
Truck69198,2943,2942,20,53,33
Truck69178,2684,2443,15,54,39
Truck69187,2443,2684,20,58,38
Truck69214,2943,2942,25,58,33
Truck69194,2684,2443,20,59,39
Truck69280,0,1339,50,62,12
Truck69230,2943,2942,30,63,33
Truck69143,2683,1339,5,64,59
Truck69246,2943,2942,35,68,33
Truck69159,2683,1339,10,69,59
Truck69213,2942,3119,25,71,46
Truck69262,2943,2942,40,73,33
Truck69174,2567,2683,15,77,62
Truck69131,2776,2443,0,81,81
Truck69188,2444,2566,20,83,63
Truck69294,2943,2942,50,83,33
Truck69132,2777,2942,0,85,85
Truck69310,2943,2942,55,88,33
Truck69140,2444,2225,5,89,84
Truck69177,2224,3119,15,89,74
Truck69183,3119,2224,15,89,74
Truck69290,2684,2443,50,89,39
Truck69148,2777,2942,5,90,85
Truck69184,0,2683,20,91,71
Truck69277,2942,3119,45,91,46
Truck69221,2566,2444,30,92,62
Truck69326,2943,2942,60,93,33
Truck69306,2684,2443,55,94,39
Truck69164,2777,2942,10,95,85
Truck69239,2683,2567,35,95,60
Truck69138,2225,1339,5,97,92
Truck69341,2942,2943,65,97,32
Truck69315,2443,2684,60,98,38
Truck69342,2943,2942,65,98,33
Truck69276,2777,2943,45,99,54
Truck69180,2777,2942,15,100,85
Truck69195,2776,2443,20,101,81
Truck69309,2942,3119,55,101,46
Truck69154,2225,1339,10,102,92
Truck69358,2943,2942,70,103,33
Truck69122,2225,2443,0,104,104
Truck69165,2942,2684,10,104,94
Truck69338,2684,2443,65,104,39
Truck69196,2777,2942,20,105,85
Truck69197,2942,2777,20,105,85
Truck69203,2443,2776,25,106,81
Truck69408,0,2567,90,106,16
Truck69270,2567,2683,45,107,62
Truck69374,2943,2942,75,108,33
Truck69204,2444,2225,25,109,84
Truck69212,2777,2942,25,110,85
Truck69285,2566,2444,50,112,62
Truck69390,2943,2942,80,113,33
Truck69228,2777,2942,30,115,85
Truck69278,2943,3119,45,117,72
Truck69171,2443,2225,15,118,103
Truck69406,2943,2942,85,118,33
Truck69170,2225,2443,15,119,104
Truck69386,2684,2443,80,119,39
Truck69496,1339,2567,115,119,4
Truck69210,2684,2942,25,120,95
Truck69244,2777,2942,35,120,85
Truck69287,2683,0,50,120,70
Truck69375,3119,2942,75,121,46
Truck69234,2225,2567,35,123,88
Truck69422,2943,2942,90,123,33
Truck69186,2225,2443,20,124,104
Truck69402,2684,2443,85,124,39
Truck69260,2777,2942,40,125,85
Truck69192,1339,2443,20,128,108
Truck69202,2225,0,25,128,103
Truck69438,2943,2942,95,128,33
Truck69418,2684,2443,90,129,39
Truck69190,2567,2443,20,130,110
Truck69319,2683,0,60,130,70
Truck69291,2776,2443,50,131,81
Truck69494,2567,0,115,131,16
Truck69123,2443,2942,0,132,132
Truck69133,2942,2443,0,132,132
Truck69218,2225,0,30,133,103
Truck69282,2225,2444,50,133,83
Truck69454,2943,2942,100,133,33
Truck69284,2444,2225,50,134,84
Truck69368,1339,2683,75,134,59
Truck69292,2777,2942,50,135,85
Truck69149,2942,2443,5,137,132
Truck69364,2444,2566,75,138,63
Truck69470,2943,2942,105,138,33
Truck69337,2224,3119,65,139,74
Truck69308,2777,2942,55,140,85
Truck69147,2776,2942,5,141,136
Truck69323,2776,2443,60,141,81
Truck69235,2443,1339,35,143,108
Truck69251,2443,2225,40,143,103
Truck69451,2776,2684,100,143,43
Truck69486,2943,2942,110,143,33
Truck69359,3119,2224,70,144,74
Truck69420,2777,2943,90,144,54
Truck69450,2684,2776,100,144,44
Truck69324,2777,2942,60,145,85
Truck69163,2776,2942,10,146,136
Truck69574,2567,1339,140,146,6
Truck69181,2942,2443,15,147,132
Truck69127,2683,2225,0,148,148
Truck69502,2943,2942,115,148,33
Truck69219,2443,0,30,149,119
Truck69266,2225,2443,45,149,104
Truck69482,2684,2443,110,149,39
Truck69340,2777,2942,65,150,85
Truck69146,2684,2567,5,153,148
Truck69175,2683,2443,15,153,138
Truck69272,1339,2443,45,153,108
Truck69518,2943,2942,120,153,33
Truck69431,2683,1339,95,154,59
Truck69432,1339,2683,95,154,59
Truck69356,2777,2942,70,155,85
Truck69371,2776,2443,75,156,81
Truck69392,0,2683,85,156,71
Truck69130,2684,0,0,157,157
Truck69534,2943,2942,125,158,33
Truck69298,2225,2443,55,159,104
Truck69372,2777,2942,75,160,85
Truck69211,2776,2942,25,161,136
Truck69387,2776,2443,80,161,81
Truck69229,2942,2443,30,162,132
Truck69600,0,1339,150,162,12
Truck69444,2444,2566,100,163,63
Truck69314,2225,2443,60,164,104
Truck69354,2684,2942,70,165,95
Truck69388,2777,2942,80,165,85
Truck69389,2942,2777,80,165,85
Truck69638,2567,1339,160,166,6
Truck69566,2943,2942,135,168,33
Truck69330,2225,2443,65,169,104
Truck69293,2942,2224,50,170,120
Truck69370,2684,2942,75,170,95
Truck69404,2777,2942,85,170,85
Truck69447,2683,0,100,170,70
Truck69124,2444,2567,0,171,171
Truck69243,2776,2942,35,171,136
Truck69245,2942,2776,35,171,136
Truck69419,2776,2443,90,171,81
Truck69622,2567,0,155,171,16
Truck69261,2942,2443,40,172,132
Truck69378,2225,1339,80,172,92
Truck69410,2225,2444,90,173,83
Truck69547,2776,2684,130,173,43
Truck69582,2943,2942,140,173,33
Truck69346,2225,2443,70,174,104
Truck69495,2683,1339,115,174,59
Truck69296,0,2443,55,175,120
Truck69242,2684,3119,35,176,141
Truck69259,2776,2942,40,176,136
Truck69551,3119,2942,130,176,46
Truck69670,2567,1339,170,176,6
Truck69142,2567,2444,5,177,172
Truck69135,3119,2443,0,178,178
Truck69352,1339,2443,70,178,108
Truck69426,2225,2444,95,178,83
Truck69598,2943,2942,145,178,33
Truck69362,2225,2443,75,179,104
Truck69436,2777,2942,95,180,85
Truck69250,2225,2566,40,181,141
Truck69275,2776,2942,45,181,136
Truck69283,2443,2942,50,182,132
Truck69672,1339,0,170,182,12
Truck69238,2567,2684,35,183,148
Truck69579,2776,2684,140,183,43
Truck69481,2224,3119,110,184,74
Truck69594,2684,2443,145,184,39
Truck69366,2567,2443,75,185,110
Truck69452,2777,2942,100,185,85
Truck69226,2684,0,30,187,157
Truck69167,3119,2443,10,188,178
Truck69395,2443,2225,85,188,103
Truck69630,2943,2942,155,188,33
Truck69394,2225,2443,85,189,104
Truck69437,2942,2684,95,189,94
Truck69543,2683,1339,130,189,59
Truck69468,2777,2942,105,190,85
Truck69139,2443,2444,5,191,186
Truck69475,2443,2776,110,191,81
Truck69483,2776,2443,110,191,81
Truck69599,3119,2942,145,191,46
Truck69325,2942,2443,60,192,132
Truck69442,2225,1339,100,192,92
Truck69474,2225,2444,110,193,83
Truck69559,2683,1339,135,194,59
Truck69484,2777,2942,110,195,85
Truck69499,2776,2443,115,196,81
Truck69206,2567,2444,25,197,172
Truck69331,2443,2942,65,197,132
Truck69160,1339,2776,10,198,188
Truck69662,2943,2942,165,198,33
Truck69752,1339,2567,195,199,4
Truck69500,2777,2942,115,200,85
Truck69172,2444,0,15,201,186
Truck69712,0,2567,185,201,16
Truck69222,2567,2444,30,202,172
Truck69347,2443,2942,70,202,132
Truck69550,2943,3119,130,202,72
Truck69736,1339,0,190,202,12
Truck69302,2567,2684,55,203,148
Truck69335,2683,2443,65,203,138
Truck69678,2943,2942,170,203,33
Truck69179,2776,2567,15,204,189
Truck69136,0,2776,5,205,200
Truck69517,2942,2777,120,205,85
Truck69223,2683,2684,30,206,176
Truck69355,2776,2942,70,206,136
Truck69531,2776,2443,125,206,81
Truck69231,3119,2443,30,208,178
Truck69694,2943,2942,175,208,33
Truck69458,2225,2443,105,209,104
Truck69561,2224,3119,135,209,74
Truck69608,1339,2683,150,209,59
Truck69674,2684,2443,170,209,39
Truck69498,2684,2942,115,210,95
Truck69533,2942,2777,125,210,85
Truck69782,2567,1339,205,211,6
Truck69379,2443,2942,80,212,132
Truck69247,3119,2443,35,213,178
Truck69710,2943,2942,180,213,33
Truck69644,2777,2943,160,214,54
Truck69252,2444,1339,40,215,175
Truck69514,2684,2942,120,215,95
Truck69548,2777,2942,130,215,85
Truck69591,2683,0,145,215,70
Truck69646,2943,2777,160,215,55
