truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck22,2567,1339,5,11,6
Truck16,0,2567,5,21,16
Truck32,0,1339,10,22,12
Truck14,2943,2942,0,33,33
Truck64,0,2567,20,36,16
Truck30,2943,2942,5,38,33
Truck19,2443,2684,5,43,38
Truck46,2943,2942,10,43,33
Truck62,2943,2942,15,48,33
Truck78,2943,2942,20,53,33
Truck58,2684,2443,15,54,39
Truck94,2943,2942,25,58,33
Truck168,1339,0,50,62,12
Truck110,2943,2942,30,63,33
Truck198,2567,1339,60,66,6
Truck184,1339,0,55,67,12
Truck126,2943,2942,35,68,33
Truck106,2684,2443,30,69,39
Truck142,2943,2942,40,73,33
Truck31,3119,2943,5,76,71
Truck25,2224,3119,5,79,74
Truck11,2776,2443,0,81,81
Truck138,2684,2776,40,84,44
Truck12,2777,2942,0,85,85
Truck84,2444,2566,25,88,63
Truck190,2943,2942,55,88,33
Truck104,1339,2683,30,89,59
Truck28,2777,2942,5,90,85
Truck206,2943,2942,60,93,33
Truck119,2683,1339,35,94,59
Truck44,2777,2942,10,95,85
Truck59,2776,2443,15,96,81
Truck222,2943,2942,65,98,33
Truck29,2942,2684,5,99,94
Truck95,3119,2224,25,99,74
Truck238,2943,2942,70,103,33
Truck2,2225,2443,0,104,104
Truck76,2777,2942,20,105,85
Truck149,2566,2444,45,107,62
Truck8,1339,2443,0,108,108
Truck18,2225,2443,5,109,104
Truck167,2683,1339,50,109,59
Truck234,2684,2443,70,109,39
Truck92,2777,2942,25,110,85
Truck107,2776,2443,30,111,81
Truck304,0,2567,95,111,16
Truck270,2943,2942,80,113,33
Truck34,2225,2443,10,114,104
Truck250,2684,2443,75,114,39
Truck360,1339,2567,110,114,4
Truck158,2943,3119,45,117,72
Truck336,0,1339,105,117,12
Truck259,2443,2684,80,118,38
Truck286,2943,2942,85,118,33
Truck50,2225,2443,15,119,104
Truck9,2224,2942,0,120,120
Truck124,2777,2942,35,120,85
Truck342,2567,0,105,121,16
Truck374,2567,1339,115,121,6
Truck174,2943,3119,50,122,72
Truck56,1339,2443,15,123,108
Truck302,2943,2942,90,123,33
Truck15,3119,2777,0,124,124
Truck66,2225,2443,20,124,104
Truck282,2684,2443,85,124,39
Truck140,2777,2942,40,125,85
Truck82,2225,0,25,128,103
Truck130,2225,2567,40,128,88
Truck318,2943,2942,95,128,33
Truck134,2567,2225,40,129,89
Truck148,2444,2225,45,129,84
Truck185,2224,3119,55,129,74
Truck231,2683,1339,70,129,59
Truck122,2684,2942,35,130,95
Truck156,2777,2942,45,130,85
Truck163,2443,2776,50,131,81
Truck334,2943,2942,100,133,33
Truck51,2443,0,15,134,119
Truck98,2225,2443,30,134,104
Truck57,2224,2942,15,135,120
Truck172,2777,2942,50,135,85
Truck208,0,2683,65,136,71
Truck349,2942,2943,105,137,32
Truck7,2683,2443,0,138,138
Truck350,2943,2942,105,138,33
Truck60,2777,3119,15,140,125
Truck188,2777,2942,55,140,85
Truck203,2776,2443,60,141,81
Truck35,2443,2942,10,142,132
Truck115,2443,1339,35,143,108
Truck366,2943,2942,110,143,33
Truck280,1339,2683,85,144,59
Truck346,2684,2443,105,144,39
Truck80,0,2443,25,145,120
Truck170,2684,2942,50,145,95
Truck61,2942,2443,15,147,132
Truck254,2943,3119,75,147,72
Truck278,2567,2683,85,147,62
Truck10,2684,2567,0,148,148
Truck131,2443,1339,40,148,108
Truck382,2943,2942,115,148,33
Truck146,2225,2443,45,149,104
Truck362,2684,2443,110,149,39
Truck186,2684,2942,55,150,95
Truck220,2777,2942,65,150,85
Truck24,1339,2684,5,151,146
Truck67,2443,2942,20,152,132
Truck77,2942,2443,20,152,132
Truck293,2566,2444,90,152,62
