truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck253512,1339,2567,20,24,4
Truck253496,1339,0,15,27,12
Truck253454,2943,2942,0,33,33
Truck253544,1339,2567,30,34,4
Truck253450,2684,2443,0,39,39
Truck253560,1339,2567,35,39,4
Truck253451,2776,2684,0,43,43
Truck253486,2943,2942,10,43,33
Truck253592,1339,2567,45,49,4
Truck253552,0,2567,35,51,16
Truck253558,2567,0,35,51,16
Truck253576,1339,0,40,52,12
Truck253518,2943,2942,20,53,33
Truck253498,2684,2443,15,54,39
Truck253608,1339,2567,50,54,4
Truck253485,2942,3119,10,56,46
Truck253534,2943,2942,25,58,33
Truck253503,3119,2942,15,61,46
Truck253590,2567,0,45,61,16
Truck253484,2777,2943,10,64,54
Truck253530,2684,2443,25,64,39
Truck253462,2567,2683,5,67,62
Truck253566,2943,2942,35,68,33
Truck253546,2684,2443,30,69,39
Truck253476,2444,2566,10,73,63
Truck253582,2943,2942,40,73,33
Truck253449,2224,3119,0,74,74
Truck253562,2684,2443,35,74,39
Truck253470,2943,3119,5,77,72
Truck253598,2943,2942,45,78,33
Truck253614,2943,2942,50,83,33
Truck253527,2683,1339,25,84,59
Truck253548,2777,2943,30,84,54
Truck253704,1339,2567,80,84,4
Truck253452,2777,2942,0,85,85
Truck253467,2776,2443,5,86,81
Truck253670,2567,0,70,86,16
Truck253502,2943,3119,15,87,72
Truck253680,0,1339,75,87,12
Truck253446,2567,2225,0,89,89
Truck253610,2684,2443,50,89,39
Truck253720,1339,2567,85,89,4
Truck253468,2777,2942,5,90,85
Truck253599,3119,2942,45,91,46
Truck253458,2225,2567,5,93,88
Truck253646,2943,2942,60,93,33
Truck253535,3119,2943,25,96,71
Truck253596,2777,2943,45,99,54
Truck253752,1339,2567,95,99,4
Truck253500,2777,2942,15,100,85
Truck253480,1339,2225,10,102,92
Truck253550,2943,3119,30,102,72
Truck253736,1339,0,90,102,12
Truck253651,2443,2684,65,103,38
Truck253678,2943,2942,70,103,33
Truck253442,2225,2443,0,104,104
Truck253642,2684,2776,60,104,44
Truck253658,2684,2443,65,104,39
Truck253516,2777,2942,20,105,85
Truck253531,2776,2443,25,106,81
Truck253448,1339,2443,0,108,108
Truck253506,2225,2567,20,108,88
Truck253694,2943,2942,75,108,33
Truck253784,1339,2567,105,109,4
Truck253532,2777,2942,25,110,85
Truck253533,2942,2777,25,110,85
Truck253663,3119,2942,65,111,46
Truck253459,2443,1339,5,113,108
Truck253710,2943,2942,80,113,33
Truck253690,2684,2443,75,114,39
Truck253591,2683,0,45,115,70
Truck253563,2776,2443,35,116,81
Truck253554,2225,2444,35,118,83
Truck253564,2777,2942,35,120,85
Truck253579,2776,2443,40,121,81
Truck253504,0,2225,20,123,103
Truck253636,2444,2566,60,123,63
Truck253742,2943,2942,90,123,33
Truck253609,2224,3119,50,124,74
Truck253655,2683,1339,65,124,59
Truck253706,2684,2776,80,124,44
Truck253580,2777,2942,40,125,85
Truck253623,2683,0,55,125,70
Truck253630,2943,3119,55,127,72
Truck253757,2942,2943,95,127,32
Truck253507,2443,1339,20,128,108
Truck253758,2943,2942,95,128,33
Truck253522,2225,2443,25,129,104
Truck253611,2776,2443,50,131,81
Truck253814,2567,0,115,131,16
Truck253443,2443,2942,0,132,132
Truck253774,2943,2942,100,133,33
Truck253523,2443,2567,25,134,109
Truck253538,2225,2443,30,134,104
Truck253612,2777,2942,50,135,85
Truck253613,2942,2777,50,135,85
Truck253627,2776,2443,55,136,81
Truck253469,2942,2443,5,137,132
Truck253586,2225,1339,45,137,92
Truck253662,2943,3119,65,137,72
Truck253790,2943,2942,105,138,33
Truck253770,2684,2443,100,139,39
Truck253594,2684,2942,45,140,95
Truck253628,2777,2942,55,140,85
Truck253726,2943,2777,85,140,55
Truck253643,2776,2443,60,141,81
Truck253679,3119,2943,70,141,71
Truck253475,2443,2942,10,142,132
Truck253806,2943,2942,110,143,33
Truck253555,2443,2567,35,144,109
Truck253570,2225,2443,40,144,104
Truck253786,2684,2443,105,144,39
Truck253471,3119,2684,5,145,140
Truck253644,2777,2942,60,145,85
Truck253645,2942,2777,60,145,85
Truck253461,2566,2225,5,146,141
Truck253466,2684,3119,5,146,141
Truck253659,2776,2443,65,146,81
Truck253822,2943,2942,115,148,33
Truck253536,0,2443,30,150,120
Truck253660,2777,2942,65,150,85
Truck253735,2683,2567,90,150,60
Truck253482,2684,3119,10,151,141
