truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck466628,2656,3331,15,21,6
Truck466638,3122,1339,20,26,6
Truck466614,0,3122,15,31,16
Truck466572,3239,2655,0,39,39
Truck466575,2821,2998,0,46,46
Truck466608,3239,2436,10,49,39
Truck466704,0,1339,40,52,12
Truck466626,3239,2225,15,54,39
Truck466644,3239,3121,20,59,39
Truck466565,3121,2999,0,62,62
Truck466740,0,1339,50,62,12
Truck466564,2999,3121,0,63,63
Truck466768,1339,0,55,67,12
Truck466680,3239,2225,30,69,39
Truck466573,3331,2655,0,70,70
Truck466764,3122,0,55,71,16
Truck466629,2821,2656,15,72,57
Truck466591,3331,2436,5,75,70
Truck466621,3238,3122,15,75,60
Truck466574,2656,1338,0,76,76
Truck466627,3331,2822,15,76,61
Truck466737,2821,2822,45,77,32
Truck466707,2655,3239,40,78,38
Truck466648,2822,2656,20,79,59
Truck466716,3239,3121,40,79,39
Truck466822,1339,0,70,82,12
Truck466734,3239,1338,45,84,39
Truck466610,2656,2436,10,86,76
Truck466683,2821,2656,30,87,57
Truck466666,2822,3331,25,89,64
Truck466645,3331,2999,20,90,70
Truck466681,3331,2821,30,92,62
Truck466693,3238,1339,35,94,59
Truck466770,3239,2225,55,94,39
Truck466653,2655,3331,25,95,70
Truck466657,3238,0,25,95,70
Truck466663,3331,1338,25,95,70
Truck466650,0,3238,25,96,71
Truck466890,3122,1339,90,96,6
Truck466692,3122,3238,35,97,62
Truck466598,2437,3122,10,98,88
Truck466810,2822,2821,65,98,33
Truck466668,0,3238,30,101,71
Truck466719,2821,3331,40,102,62
Truck466825,3331,3239,70,102,32
Truck466616,2437,3122,15,103,88
Truck466806,3239,2656,65,103,38
Truck466562,2437,2656,0,104,104
Truck466611,2821,3239,10,104,94
Truck466699,3331,3121,35,105,70
Truck466682,2656,2999,30,106,76
Truck466577,2998,3331,0,108,108
Truck466652,2437,2999,25,108,83
Truck466566,3122,2655,0,110,110
Truck466717,3331,3121,40,110,70
Truck466700,2656,2436,35,111,76
Truck466642,1339,2437,20,112,92
Truck466658,2225,2436,25,112,87
Truck466588,1339,2655,5,113,108
Truck466595,2998,3331,5,113,108
Truck466833,2655,3239,75,113,38
Truck466860,3239,3331,80,113,33
Truck466842,3239,2999,75,114,39
Truck466729,3238,0,45,115,70
Truck466735,3331,2436,45,115,70
Truck466756,2822,3331,50,115,65
Truck466718,2656,2225,40,116,76
Truck466926,3122,0,100,116,16
Truck466773,2821,3331,55,117,62
Truck466791,2821,2656,60,117,57
Truck466662,3239,2822,25,121,96
Truck466736,2656,2655,45,121,76
Truck466757,2998,2822,50,121,71
Truck466956,0,1339,110,122,12
Truck466634,2437,0,20,123,103
Truck466774,2822,2224,55,127,72
Truck466915,3331,3239,95,127,32
Truck466819,3238,1339,70,129,59
Truck466576,2822,2999,0,132,132
Truck466714,1339,2437,40,132,92
Truck466827,2821,3331,70,132,62
Truck466933,3331,3239,100,132,32
Truck466671,2655,2437,30,133,103
Truck466828,2822,3331,70,134,64
Truck467038,1339,3122,130,134,4
Truck466807,3331,2999,65,135,70
Truck466581,2655,2821,5,137,132
Truck466593,2821,2436,5,137,132
Truck466594,2822,3121,5,138,133
Truck466688,2437,2822,35,139,104
Truck466932,3239,2225,100,139,39
Truck467056,1339,3122,135,139,4
Truck466612,2822,2655,10,142,132
Truck466854,3122,3238,80,142,62
Truck466881,2821,2656,85,142,57
Truck466721,2998,2656,40,143,103
Truck466778,2437,2999,60,143,83
Truck466706,2437,3331,40,144,104
Truck466755,2821,3239,50,144,94
Truck466950,3239,2225,105,144,39
Truck466580,2437,3121,5,146,141
Truck466826,2656,2437,70,146,76
Truck466871,3121,2999,85,147,62
Truck466630,2822,2225,15,149,134
Truck466724,2437,2998,45,149,104
Truck466841,2224,2822,75,149,74
Truck466968,3239,2999,110,149,39
Truck466710,3122,2655,40,150,110
Truck466861,3331,2999,80,150,70
Truck466844,2656,2655,75,151,76
Truck466848,0,3238,80,151,71
Truck467046,0,3122,135,151,16
Truck467095,3331,2656,145,151,6
Truck466635,2655,2822,20,152,132
Truck466647,2821,2225,20,152,132
Truck466590,3239,3122,5,153,148
Truck466742,2437,2821,50,154,104
Truck466986,3239,2225,115,154,39
Truck466879,3331,2225,85,155,70
Truck466973,2998,2821,110,156,46
Truck466665,2821,2436,25,157,132
Truck466934,2656,2822,100,157,57
Truck466603,3238,2437,10,158,148
Truck466761,2655,2437,55,158,103
Truck466760,2437,2224,55,159,104
Truck466624,1339,3239,15,161,146
Truck466637,3121,2437,20,161,141
Truck466880,2656,2225,85,161,76
Truck466900,2822,2224,90,162,72
Truck466776,0,2437,60,163,103
Truck467044,2822,2821,130,163,33
Truck466898,2656,2655,90,166,76
Truck467009,2998,2821,120,166,46
Truck466730,2225,2999,45,167,122
Truck466796,2437,3331,65,169,104
Truck467040,3239,2225,130,169,39
Truck466916,2656,2436,95,171,76
Truck466814,2437,0,70,173,103
Truck466829,2998,2656,70,173,103
Truck467060,2656,3239,135,173,38
Truck467080,2822,2821,140,173,33
Truck467058,3239,2437,135,174,39
Truck466703,2998,3239,35,175,140
Truck466951,3331,2999,105,175,70
Truck467006,2656,2821,120,177,57
Truck466570,1339,3331,0,178,178
Truck466738,2822,2999,45,178,133
Truck467098,2822,2821,145,178,33
Truck466999,3238,1339,120,179,59
Truck466969,3331,2437,110,180,70
Truck466725,2655,3238,45,183,138
Truck466739,2998,3239,45,185,140
Truck466981,3238,0,115,185,70
Truck466727,3121,2437,45,186,141
Truck466970,2656,3121,110,186,76
Truck467178,3122,0,170,186,16
Truck467221,3331,2656,180,186,6
Truck466589,2224,3331,5,187,182
Truck467131,3331,3239,155,187,32
Truck466592,2656,1339,5,188,183
Truck466613,2998,2999,10,188,178
Truck466858,1339,2655,80,188,108
Truck467103,2655,3239,150,188,38
Truck467114,2656,3239,150,188,38
Truck467130,3239,3331,155,188,33
Truck466732,1339,3239,45,191,146
Truck466946,2225,2436,105,191,86
Truck466947,2436,2225,105,191,86
Truck466792,2822,2655,60,192,132
Truck467043,2821,3331,130,192,62
Truck467151,2821,2822,160,192,32
Truck466765,3238,2655,55,193,138
Truck466883,2998,3331,85,193,108
Truck466622,2225,3121,15,194,179
Truck466775,2998,3239,55,195,140
Truck466995,2655,2656,120,195,75
Truck466600,2999,2998,10,196,186
Truck466646,2656,2224,20,196,176
Truck466752,3239,1339,50,196,146
Truck467027,2998,2822,125,196,71
Truck467214,3122,0,180,196,16
Truck466809,2821,2225,65,197,132
Truck467078,2656,2821,140,197,57
Truck466609,3331,0,10,198,188
Truck467139,2655,3239,160,198,38
Truck467013,2655,2656,125,200,75
Truck466672,2999,3122,30,201,171
Truck467024,2656,2999,125,201,76
Truck467268,3122,1339,195,201,6
Truck466852,2999,2225,80,202,122
Truck466958,2437,1339,110,202,92
Truck467077,3331,2821,140,202,62
Truck466797,2655,3238,65,203,138
Truck466912,1339,2655,95,203,108
Truck466922,2437,3331,100,204,104
Truck466980,3122,2437,115,204,89
Truck467089,3238,1339,145,204,59
Truck467290,1339,3122,200,204,4
Truck466908,3122,2655,95,205,110
Truck467053,3238,0,135,205,70
Truck466636,2999,3331,20,206,186
Truck466786,1339,3239,60,206,146
Truck467286,3122,1339,200,206,6
Truck466846,2822,2436,75,207,132
Truck466685,2998,1338,30,208,178
Truck466955,2998,2656,105,208,103
Truck466998,3122,2437,120,209,89
Truck467019,2436,2225,125,210,85
Truck466582,2999,2436,5,211,206
Truck466654,2999,3239,25,211,186
Truck466863,2821,2655,80,212,132
Truck466585,3238,3331,5,213,208
Truck467030,2437,2999,130,213,83
Truck467202,3239,2656,175,213,38
Truck466847,2998,3239,75,215,140
Truck466913,2224,2821,95,215,120
Truck466788,3239,0,60,217,157
Truck467239,3331,3239,185,217,32
Truck466851,2655,3238,80,218,138
Truck466959,2655,3122,110,219,109
Truck467220,3239,2999,180,219,39
Truck466689,2655,2999,35,221,186
Truck467054,2225,2436,135,221,86
Truck467096,2656,1338,145,221,76
Truck466899,2821,2225,90,222,132
Truck466750,1339,2999,50,224,174
Truck466941,2655,0,105,224,119
Truck467111,2224,2822,150,224,74
Truck467238,3239,2436,185,224,39
Truck467125,3238,0,155,225,70
Truck467152,2822,3331,160,225,65
Truck466708,2999,2224,40,226,186
Truck466868,2437,3121,85,226,141
Truck467223,2821,2998,180,226,46
Truck467316,0,3122,210,226,16
Truck467366,2656,3331,220,226,6
Truck466824,3239,0,70,227,157
Truck466917,2821,2655,95,227,132
Truck467275,3331,3239,195,227,32
Truck466743,2655,2998,50,228,178
Truck466812,0,3239,70,228,158
Truck466850,2437,3238,80,228,148
Truck466918,2822,2436,95,228,133
Truck467002,1339,2655,120,228,108
Truck467005,3331,2998,120,228,108
Truck467012,2437,0,125,228,103
Truck467256,3239,2225,190,229,39
Truck467149,3331,2437,160,230,70
