truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck570271,3331,2656,5,11,6
Truck570240,0,3122,0,16,16
Truck570304,1339,0,15,27,12
Truck570253,3331,3239,0,32,32
Truck570330,0,3122,25,41,16
Truck570261,2655,3239,5,43,38
Truck570270,3239,2225,5,44,39
Truck570297,2655,3239,15,53,38
Truck570384,0,3122,40,56,16
Truck570360,3239,3331,30,63,33
Truck570342,3239,3121,25,64,39
Truck570263,3121,2999,5,67,62
Truck570283,3238,1339,10,69,59
Truck570286,1339,3238,10,69,59
Truck570487,3331,2656,65,71,6
Truck570251,2224,2822,0,74,74
Truck570292,2822,3331,10,74,64
Truck570254,2656,2225,0,76,76
Truck570327,2821,2656,20,77,57
Truck570298,2999,3121,15,78,63
Truck570398,2656,3239,40,78,38
Truck570396,3239,1338,40,79,39
Truck570272,2656,2436,5,81,76
Truck570383,2998,2821,35,81,46
Truck570337,3238,1339,25,84,59
Truck570290,2656,2225,10,86,76
Truck570308,2656,2436,15,91,76
Truck570328,2822,2998,20,92,72
Truck570361,3331,2821,30,92,62
Truck570274,2822,2821,5,94,89
Truck570450,3239,2436,55,94,39
Truck570343,3331,1338,25,95,70
Truck570326,2656,1338,20,96,76
Truck570437,2998,2821,50,96,46
Truck570468,3239,2436,60,99,39
Truck570344,2656,2225,25,101,76
Truck570596,2656,3331,95,101,6
Truck570242,2437,2655,0,104,104
Truck570412,1339,3238,45,104,59
Truck570610,1339,3122,100,104,4
Truck570369,2655,3331,35,105,70
Truck570366,0,3238,35,106,71
Truck570408,3122,3238,45,107,62
Truck570582,0,1339,95,107,12
Truck570260,2437,3331,5,109,104
Truck570306,3239,2822,15,109,94
Truck570430,1339,3238,50,109,59
Truck570397,3331,2655,40,110,70
Truck570380,2656,3121,35,111,76
Truck570350,2437,2999,30,113,83
Truck570356,2225,2436,30,114,84
Truck570395,2224,2998,40,114,74
Truck570522,3239,3121,75,114,39
Truck570415,3331,3121,45,115,70
Truck570507,2821,2998,70,116,46
Truck570416,2656,2999,45,121,76
Truck570525,2821,2998,75,121,46
Truck570527,2998,2821,75,121,46
Truck570618,0,3122,105,121,16
Truck570461,3121,2999,60,122,62
Truck570488,2656,2822,65,122,57
Truck570314,2437,2998,20,124,104
Truck570431,2224,2822,50,124,74
Truck570451,3331,2436,55,125,70
Truck570300,3122,2655,15,126,111
Truck570595,3331,3239,95,127,32
Truck570332,2437,2655,25,129,104
Truck570378,3239,2822,35,129,94
Truck570576,3239,2999,90,129,39
Truck570469,3331,3121,60,130,70
Truck570660,3122,0,115,131,16
Truck570255,2821,3121,0,132,132
Truck570256,2822,2225,0,132,132
Truck570280,2999,2225,10,132,122
Truck570296,2437,1339,15,133,118
Truck570594,3239,2655,95,134,39
Truck570273,2821,3121,5,137,132
Truck570515,3121,2999,75,137,62
Truck570614,2656,3239,100,138,38
Truck570446,2225,2436,55,139,84
Truck570612,3239,2999,100,139,39
Truck570315,2655,0,20,141,121
Truck570291,2821,1338,10,142,132
Truck570458,2437,2999,60,143,83
