truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck230422,2567,1339,5,11,6
Truck230416,0,2567,5,21,16
Truck230432,0,1339,10,22,12
Truck230414,2943,2942,0,33,33
Truck230464,0,2567,20,36,16
Truck230430,2943,2942,5,38,33
Truck230419,2443,2684,5,43,38
Truck230446,2943,2942,10,43,33
Truck230462,2943,2942,15,48,33
Truck230478,2943,2942,20,53,33
Truck230458,2684,2443,15,54,39
Truck230494,2943,2942,25,58,33
Truck230568,1339,0,50,62,12
Truck230510,2943,2942,30,63,33
Truck230598,2567,1339,60,66,6
Truck230584,1339,0,55,67,12
Truck230526,2943,2942,35,68,33
Truck230506,2684,2443,30,69,39
Truck230542,2943,2942,40,73,33
Truck230431,3119,2943,5,76,71
Truck230425,2224,3119,5,79,74
Truck230411,2776,2443,0,81,81
Truck230538,2684,2776,40,84,44
Truck230412,2777,2942,0,85,85
Truck230484,2444,2566,25,88,63
Truck230590,2943,2942,55,88,33
Truck230504,1339,2683,30,89,59
Truck230428,2777,2942,5,90,85
Truck230606,2943,2942,60,93,33
Truck230519,2683,1339,35,94,59
Truck230444,2777,2942,10,95,85
Truck230459,2776,2443,15,96,81
Truck230622,2943,2942,65,98,33
Truck230429,2942,2684,5,99,94
Truck230495,3119,2224,25,99,74
Truck230638,2943,2942,70,103,33
Truck230402,2225,2443,0,104,104
Truck230476,2777,2942,20,105,85
Truck230549,2566,2444,45,107,62
Truck230408,1339,2443,0,108,108
Truck230418,2225,2443,5,109,104
Truck230567,2683,1339,50,109,59
Truck230634,2684,2443,70,109,39
Truck230492,2777,2942,25,110,85
Truck230507,2776,2443,30,111,81
Truck230704,0,2567,95,111,16
Truck230670,2943,2942,80,113,33
Truck230434,2225,2443,10,114,104
Truck230650,2684,2443,75,114,39
Truck230760,1339,2567,110,114,4
Truck230558,2943,3119,45,117,72
Truck230736,0,1339,105,117,12
Truck230659,2443,2684,80,118,38
Truck230686,2943,2942,85,118,33
Truck230450,2225,2443,15,119,104
Truck230409,2224,2942,0,120,120
Truck230524,2777,2942,35,120,85
Truck230742,2567,0,105,121,16
Truck230774,2567,1339,115,121,6
Truck230574,2943,3119,50,122,72
Truck230456,1339,2443,15,123,108
Truck230702,2943,2942,90,123,33
Truck230415,3119,2777,0,124,124
Truck230466,2225,2443,20,124,104
Truck230682,2684,2443,85,124,39
Truck230540,2777,2942,40,125,85
Truck230482,2225,0,25,128,103
Truck230530,2225,2567,40,128,88
Truck230718,2943,2942,95,128,33
Truck230534,2567,2225,40,129,89
Truck230548,2444,2225,45,129,84
Truck230585,2224,3119,55,129,74
Truck230631,2683,1339,70,129,59
Truck230522,2684,2942,35,130,95
Truck230556,2777,2942,45,130,85
Truck230563,2443,2776,50,131,81
Truck230734,2943,2942,100,133,33
Truck230451,2443,0,15,134,119
Truck230498,2225,2443,30,134,104
Truck230457,2224,2942,15,135,120
Truck230572,2777,2942,50,135,85
Truck230608,0,2683,65,136,71
Truck230749,2942,2943,105,137,32
Truck230407,2683,2443,0,138,138
Truck230750,2943,2942,105,138,33
Truck230460,2777,3119,15,140,125
Truck230588,2777,2942,55,140,85
Truck230603,2776,2443,60,141,81
Truck230435,2443,2942,10,142,132
Truck230515,2443,1339,35,143,108
Truck230766,2943,2942,110,143,33
Truck230680,1339,2683,85,144,59
Truck230746,2684,2443,105,144,39
Truck230480,0,2443,25,145,120
Truck230570,2684,2942,50,145,95
Truck230461,2942,2443,15,147,132
Truck230654,2943,3119,75,147,72
Truck230678,2567,2683,85,147,62
Truck230410,2684,2567,0,148,148
Truck230531,2443,1339,40,148,108
Truck230782,2943,2942,115,148,33
Truck230546,2225,2443,45,149,104
Truck230762,2684,2443,110,149,39
Truck230586,2684,2942,55,150,95
Truck230620,2777,2942,65,150,85
Truck230424,1339,2684,5,151,146
Truck230467,2443,2942,20,152,132
Truck230477,2942,2443,20,152,132
Truck230693,2566,2444,90,152,62
Truck230426,2684,2567,5,153,148
Truck230626,2225,2444,70,153,83
Truck230798,2943,2942,120,153,33
Truck230562,2225,2443,50,154,104
Truck230508,2777,3119,30,155,125
Truck230636,2777,2942,70,155,85
Truck230453,2566,2225,15,156,141
Truck230651,2776,2443,75,156,81
Truck230493,2942,2443,25,157,132
Truck230579,2443,2225,55,158,103
Truck230814,2943,2942,125,158,33
Truck230578,2225,2443,55,159,104
Truck230621,2942,2684,65,159,94
Truck230644,2444,2225,75,159,84
Truck230652,2777,2942,75,160,85
Truck230667,2776,2443,80,161,81
Truck230726,2567,2683,100,162,62
Truck230594,2225,0,60,163,103
Truck230830,2943,2942,130,163,33
Truck230547,2443,0,45,164,119
Truck230697,2224,3119,90,164,74
Truck230794,2684,2776,120,164,44
Truck230810,2684,2443,125,164,39
Truck230557,2942,2224,45,165,120
Truck230668,2777,2942,80,165,85
Truck230490,2684,3119,25,166,141
Truck230683,2776,2443,85,166,81
Truck230525,2942,2443,35,167,132
Truck230845,2942,2943,135,167,32
Truck230471,2683,2225,20,168,148
Truck230811,2776,2684,125,168,43
Truck230569,2224,2942,50,170,120
Truck230684,2777,2942,85,170,85
Truck230523,2776,2942,35,171,136
Truck230699,2776,2443,90,171,81
Truck230624,0,2225,70,173,103
Truck230862,2943,2942,140,173,33
Truck230842,2684,2443,135,174,39
Truck230527,3119,2684,35,175,140
Truck230666,2684,2942,80,175,95
Truck230700,2777,2942,90,175,85
Truck230420,2444,2567,5,176,171
Truck230715,2776,2443,95,176,81
Truck230503,2683,2225,30,178,148
Truck230535,2683,2443,40,178,138
Truck230878,2943,2942,145,178,33
Truck230716,2777,2942,95,180,85
Truck230966,2567,1339,175,181,6
Truck230573,2942,2443,50,182,132
Truck230788,2444,2566,120,183,63
Truck230894,2943,2942,150,183,33
Truck230701,2942,2684,90,184,94
Truck230767,3119,2224,110,184,74
Truck230604,2777,3119,60,185,125
Truck230698,2684,2942,90,185,95
Truck230732,2777,2942,100,185,85
Truck230404,2444,2443,0,186,186
Truck230554,2684,3119,45,186,141
Truck230571,2776,2942,50,186,136
Truck230944,0,2567,170,186,16
Truck230589,2942,2443,55,187,132
Truck230447,3119,2443,10,188,178
Truck230674,2225,0,85,188,103
Truck230910,2943,2942,155,188,33
Truck230627,2443,0,70,189,119
Truck230823,2683,1339,130,189,59
Truck230890,2684,2443,150,189,39
Truck230748,2777,2942,105,190,85
Truck230587,2776,2942,55,191,136
Truck230470,2567,2444,20,192,172
Truck230463,3119,2443,15,193,178
Truck230738,2225,2567,105,193,88
Truck230926,2943,2942,160,193,33
Truck230690,2225,2443,90,194,104
Truck230793,2224,3119,120,194,74
Truck230436,2444,2443,10,196,186
Truck230779,2776,2443,115,196,81
Truck230486,2567,2444,25,197,172
Truck230595,2443,2683,60,198,138
Truck230942,2943,2942,165,198,33
Truck230443,2776,2567,10,199,189
Truck230706,2225,2443,95,199,104
Truck230780,2777,2942,115,200,85
Truck230597,2566,2225,60,201,141
Truck230795,2776,2443,120,201,81
Truck230816,0,2683,130,201,71
Truck230479,3119,2776,20,202,182
Truck230637,2942,2443,70,202,132
Truck230582,2567,2684,55,203,148
Truck230707,2443,1339,95,203,108
Truck230712,1339,2443,95,203,108
Truck230958,2943,2942,170,203,33
Truck230796,2777,2942,120,205,85
Truck230610,2225,2566,65,206,141
Truck230643,2443,2942,75,207,132
Truck230653,2942,2443,75,207,132
Truck230846,2943,3119,135,207,72
Truck230511,3119,2443,30,208,178
Truck230974,2943,2942,175,208,33
Truck230778,2684,2942,115,210,95
Truck230812,2777,2942,125,210,85
Truck230616,1339,2684,65,211,146
Truck230669,2942,2443,80,212,132
Truck231048,1339,0,200,212,12
Truck230488,1339,2776,25,213,188
Truck230614,2567,2684,65,213,148
Truck230618,2684,2567,65,213,148
Truck230990,2943,2942,180,213,33
Truck230754,2225,2443,110,214,104
Truck230806,2567,2225,125,214,89
Truck230970,2684,2443,175,214,39
Truck230828,2777,2942,130,215,85
Truck230500,2444,0,30,216,186
Truck230901,2566,2444,155,217,62
Truck231006,2943,2942,185,218,33
Truck230770,2225,2443,115,219,104
Truck230813,2942,2684,125,219,94
Truck230873,2224,3119,145,219,74
Truck230729,2224,2942,100,220,120
Truck230844,2777,2942,135,220,85
Truck230516,2444,2443,35,221,186
Truck230658,2225,2566,80,221,141
Truck230685,2942,2776,85,221,136
Truck230859,2776,2443,140,221,81
Truck230691,2443,2942,90,222,132
Truck230918,2567,2683,160,222,62
Truck230427,2776,2683,5,223,218
