truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck391694,2943,2942,0,33,33
Truck391784,1339,2567,30,34,4
Truck391710,2943,2942,5,38,33
Truck391760,0,2567,25,41,16
Truck391726,2943,2942,10,43,33
Truck391800,1339,0,35,47,12
Truck391742,2943,2942,15,48,33
Truck391731,2443,2684,15,53,38
Truck391758,2943,2942,20,53,33
Truck391738,2684,2443,15,54,39
Truck391774,2943,2942,25,58,33
Truck391790,2943,2942,30,63,33
Truck391685,2566,2444,0,65,65
Truck391840,0,2567,50,66,16
Truck391806,2943,2942,35,68,33
Truck391822,2943,2942,40,73,33
Truck391802,2684,2443,35,74,39
Truck391703,2683,0,5,75,70
Truck391711,3119,2943,5,76,71
Truck391872,0,2567,60,76,16
Truck391734,2567,2683,15,77,62
Truck391838,2943,2942,45,78,33
Truck391818,2684,2443,40,79,39
Truck391894,2567,0,65,81,16
Truck391854,2943,2942,50,83,33
Truck391944,1339,2567,80,84,4
Truck391692,2777,2942,0,85,85
Truck391748,2444,2566,20,85,65
Truck391870,2943,2942,55,88,33
Truck391700,2444,2225,5,89,84
Truck391783,2683,1339,30,89,59
Truck391850,2684,2443,50,89,39
Truck391708,2777,2942,5,90,85
Truck391764,2444,2566,25,90,65
Truck391926,2567,0,75,91,16
Truck391886,2943,2942,60,93,33
Truck391693,2942,2684,0,94,94
Truck391866,2684,2443,55,94,39
Truck391974,2567,1339,90,96,6
Truck391902,2943,2942,65,98,33
Truck391882,2684,2443,60,99,39
Truck391740,2777,2942,15,100,85
Truck391796,2444,2566,35,100,65
Truck391747,2443,2776,20,101,81
Truck391958,2567,0,85,101,16
Truck391730,2225,2567,15,103,88
Truck391813,2566,2444,40,104,64
Truck391852,2777,2943,50,104,54
Truck391898,2684,2443,65,104,39
Truck391756,2777,2942,20,105,85
Truck391771,2776,2443,25,106,81
Truck391688,1339,2443,0,108,108
Truck391698,2225,0,5,108,103
Truck391934,2943,2942,75,108,33
Truck391847,2683,1339,50,109,59
Truck391914,2684,2443,70,109,39
Truck391772,2777,2942,25,110,85
Truck391787,2776,2443,30,111,81
Truck391808,0,2683,40,111,71
Truck391950,2943,2942,80,113,33
Truck391757,2942,2684,20,114,94
Truck391844,2444,2566,50,114,64
Truck391845,2566,2444,50,114,64
Truck391788,2777,2942,30,115,85
Truck391803,2776,2443,35,116,81
Truck392038,2567,1339,110,116,6
Truck391728,0,2225,15,118,103
Truck391778,2225,2567,30,118,88
Truck391715,2443,2567,10,119,109
Truck391946,2684,2443,80,119,39
Truck392056,1339,2567,115,119,4
Truck391689,2224,2942,0,120,120
Truck391804,2777,2942,35,120,85
Truck391933,2942,3119,75,121,46
Truck391849,2224,3119,50,124,74
Truck391916,2777,2943,70,124,54
Truck391962,2684,2443,85,124,39
Truck391820,2777,2942,40,125,85
Truck391821,2942,2777,40,125,85
Truck391863,2683,0,55,125,70
Truck391835,2776,2443,45,126,81
Truck392032,0,2567,110,126,16
Truck391826,2225,2444,45,128,83
Truck391998,2943,2942,95,128,33
Truck391762,2225,2443,25,129,104
Truck391978,2684,2443,90,129,39
Truck391683,2443,2942,0,132,132
Truck392014,2943,2942,100,133,33
Truck391881,2224,3119,60,134,74
Truck391724,2777,3119,10,135,125
Truck391737,2224,2942,15,135,120
Truck391741,2942,2224,15,135,120
Truck391853,2942,2777,50,135,85
Truck391691,2776,2942,0,136,136
Truck392070,2567,0,120,136,16
Truck391832,1339,2225,45,137,92
Truck392030,2943,2942,105,138,33
Truck391794,2225,2443,35,139,104
Truck391925,2566,2444,75,139,64
Truck391744,0,2443,20,140,120
Truck391834,2684,2942,45,140,95
