bridge_id,bridge_name,road_name,condition,length,is_broken,total_wait_time
250,Box culvert,N1,A,498.0000000000047,False,0.0
252,Box culvert,N1,Unknown,225.9999999999991,False,0.0
255,Box culvert,N1,Unknown,277.000000000001,False,0.0
256,Box culvert,N1,B,202.9999999999888,False,0.0
257,Box culvert,N1,B,404.0000000000106,False,0.0
259,Box culvert,N1,B,844.0000000000083,False,0.0
261,Box culvert,N1,B,186.00000000000705,False,0.0
262,Bridge start,N1,B,22.99999999999613,False,0.0
263,Bridge end,N1,B,346.9999999999942,False,0.0
264,Box culvert,N1,B,270.00000000001023,True,11742.485572688674
266,Box culvert,N1,B,816.9999999999931,False,0.0
267,Box culvert,N1,A,20.000000000010232,False,0.0
269,Box culvert,N1,B,447.9999999999933,False,0.0
270,Box culvert,N1,B,237.00000000000892,True,11717.190406086766
273,Box culvert,N1,A,222.0000000000084,False,0.0
275,Box culvert,N1,B,282.0000000000107,False,0.0
277,Box culvert,N1,A,228.9999999999992,False,0.0
279,Box culvert,N1,A,135.00000000000512,False,0.0
281,Bridge start,N1,C,12.000000000000457,False,0.0
282,Bridge end,N1,C,465.0000000000034,False,0.0
284,Box culvert,N1,Unknown,515.0000000000006,False,0.0
286,Bridge start,N1,Unknown,13.999999999995794,False,0.0
287,Bridge end,N1,Unknown,439.9999999999977,False,0.0
289,Box culvert,N1,Unknown,207.9999999999984,False,0.0
292,Box culvert,N1,B,99.00000000001796,False,0.0
294,Box culvert,N1,B,579.0000000000077,False,0.0
296,Box culvert,N1,B,897.9999999999961,False,0.0
298,Box culvert,N1,A,675.0000000000114,False,0.0
299,Box culvert,N1,A,254.99999999999545,False,0.0
301,Box culvert,N1,B,27.999999999991587,False,0.0
304,Box culvert,N1,A,719.9999999999989,False,0.0
305,Box culvert,N1,A,204.99999999998408,False,0.0
307,Box culvert,N1,B,550.0000000000114,False,0.0
308,Box culvert,N1,B,81.99999999999363,False,0.0
310,Box culvert,N1,A,311.9999999999834,False,0.0
312,Box culvertt,N1,B,527.0000000000152,False,0.0
313,Bridge start,N1,A,16.999999999995907,False,0.0
314,Bridge end,N1,A,193.00000000001205,False,0.0
316,Box culvert,N1,B,234.00000000000887,False,0.0
319,Box Culvert,N1,B,18.000000000000682,False,0.0
325,Box culvert,N1,Unknown,336.00000000001273,False,0.0
328,Box culvert,N1,A,287.00000000000614,False,0.0
332,Box culvert,N1,Unknown,723.9999999999895,False,0.0
333,Box culvert,N1,A,125.0,False,0.0
338,Bridge start,N1,A,22.99999999999613,False,0.0
339,Bridge end,N1,A,917.0000000000016,False,0.0
347,Bridge start,N1,C,109.00000000000888,True,122714.35558194753
348,Bridge end,N1,C,110.99999999999,False,0.0
357,Bridge start,N1,B,211.0000000000128,True,4246.595060300788
358,Bridge end,N1,B,508.9999999999861,False,0.0
365,Bridge start,N1,A,227.99999999998025,False,0.0
366,Bridge end/Start of Chittagong Road Division / Bridge end/Start of Chittagong Road Division,N1,A,638.0000000000052,False,0.0
368,Box culvert,N1,A,536.0000000000014,False,0.0
373,Box culvert,N1,A,62.99999999998818,False,0.0
375,Km post missing / Box culvert,N1,Unknown,914.999999999992,False,0.0
376,Box culvert,N1,A,85.00000000000796,False,0.0
378,Box culvert,N1,A,556.0000000000116,False,0.0
379,Box culvert,N1,A,281.99999999998226,False,0.0
381,Box culvert,N1,A,177.00000000002092,False,0.0
382,Box culvert,N1,A,246.99999999998568,False,0.0
384,Box culvert,N1,A,113.00000000002797,False,0.0
385,Box culvert,N1,A,721.99999999998,False,0.0
387,Bridge start,N1,A,10.000000000019329,False,0.0
388,Bridge end,N1,A,379.99999999999545,False,0.0
389,Box culvert,N1,A,240.0000000000091,False,0.0
390,Box culvert,N1,A,352.9999999999802,False,0.0
392,Pipe culvert,N1,A,686.000000000007,False,0.0
394,Box culvert,N1,C,127.9999999999859,False,0.0
397,Box culvert,N1,B,406.0000000000059,False,0.0
398,Box culvert,N1,B,252.00000000000955,False,0.0
399,Box culvert,N1,Unknown,1.999999999981128,False,0.0
401,Box culvert,N1,Unknown,844.9999999999989,False,0.0
