truck_id,source_id,sink_id,generated_at_step,removed_at_step,total_driving_time
Truck184384,0,1339,20,32,12
Truck184334,2943,2942,0,33,33
Truck184350,2943,2942,5,38,33
Truck184366,2943,2942,10,43,33
Truck184416,0,2567,30,46,16
Truck184362,2684,2443,10,49,39
Truck184351,3119,2942,5,51,46
Truck184398,2943,2942,20,53,33
Truck184480,0,1339,50,62,12
Truck184430,2943,2942,30,63,33
Truck184410,2684,2443,25,64,39
Truck184340,2444,2566,5,68,63
Truck184419,2443,2684,30,68,38
Truck184446,2943,2942,35,68,33
Truck184426,2684,2443,30,69,39
Truck184413,2942,3119,25,71,46
Truck184415,3119,2942,25,71,46
Truck184356,2444,2566,10,73,63
Truck184462,2943,2942,40,73,33
Truck184442,2684,2443,35,74,39
Truck184374,2567,2683,15,77,62
Truck184478,2943,2942,45,78,33
Truck184392,1339,2683,20,79,59
Truck184331,2776,2443,0,81,81
Truck184447,3119,2942,35,81,46
Truck184528,0,2567,65,81,16
Truck184494,2943,2942,50,83,33
Truck184332,2777,2942,0,85,85
Truck184382,2943,3119,15,87,72
Truck184510,2943,2942,55,88,33
Truck184377,2224,3119,15,89,74
Truck184490,2684,2443,50,89,39
Truck184348,2777,2942,5,90,85
Truck184355,2443,2776,10,91,81
Truck184526,2943,2942,60,93,33
Truck184393,2224,3119,20,94,74
Truck184506,2684,2443,55,94,39
Truck184330,2684,2942,0,95,95
Truck184364,2777,2942,10,95,85
Truck184407,2683,0,25,95,70
Truck184379,2776,2443,15,96,81
Truck184493,2942,3119,50,96,46
Truck184414,2943,3119,25,97,72
Truck184438,2567,2683,35,97,62
Truck184354,2225,2567,10,98,88
Truck184409,2224,3119,25,99,74
Truck184522,2684,2443,60,99,39
Truck184632,1339,2567,95,99,4
Truck184346,2684,2942,5,100,95
Truck184380,2777,2942,15,100,85
Truck184395,2776,2443,20,101,81
Truck184592,0,2567,85,101,16
Truck184630,2567,1339,95,101,6
Truck184558,2943,2942,70,103,33
Truck184322,2225,2443,0,104,104
Truck184538,2684,2443,65,104,39
Truck184396,2777,2942,20,105,85
Truck184411,2776,2443,25,106,81
Truck184527,3119,2942,60,106,46
Truck184469,2566,2444,45,107,62
Truck184468,2444,2566,45,108,63
Truck184574,2943,2942,75,108,33
Truck184338,2225,2443,5,109,104
Truck184390,2567,2225,20,109,89
Truck184378,2684,2942,15,110,95
Truck184412,2777,2942,25,110,85
Truck184648,1339,0,100,112,12
Truck184555,2776,2684,70,113,43
Truck184590,2943,2942,80,113,33
Truck184457,2224,3119,40,114,74
Truck184394,2684,2942,20,115,95
Truck184428,2777,2942,30,115,85
Truck184502,2567,2683,55,117,62
Truck184606,2943,2942,85,118,33
Truck184370,2225,2443,15,119,104
Truck184586,2684,2443,80,119,39
Truck184320,0,2443,0,120,120
Truck184444,2777,2942,35,120,85
Truck184459,2776,2443,40,121,81
Truck184573,2942,3119,75,121,46
Truck184518,2567,2683,60,122,62
Truck184680,1339,0,110,122,12
Truck184595,2443,2684,85,123,38
Truck184622,2943,2942,90,123,33
Truck184386,2225,2443,20,124,104
Truck184535,2683,1339,65,124,59
Truck184460,2777,2942,40,125,85
Truck184710,2567,1339,120,126,6
Truck184534,2567,2683,65,127,62
Truck184638,2943,2942,95,128,33
Truck184402,2225,2443,25,129,104
Truck184618,2684,2443,90,129,39
Truck184476,2777,2942,45,130,85
Truck184512,0,2683,60,131,71
Truck184482,2225,2444,50,133,83
Truck184371,2443,0,15,134,119
Truck184418,2225,2443,30,134,104
Truck184634,2684,2443,95,134,39
Truck184339,2443,2942,5,137,132
Truck184542,2943,3119,65,137,72
Truck184670,2943,2942,105,138,33
Truck184434,2225,2443,35,139,104
Truck184543,3119,2224,65,139,74
Truck184650,2684,2443,100,139,39
Truck184508,2777,2942,55,140,85
Truck184365,2942,2443,10,142,132
Truck184582,2567,2683,80,142,62
Truck184514,2225,2444,60,143,83
Truck184686,2943,2942,110,143,33
Truck184450,2225,2443,40,144,104
Truck184666,2684,2443,105,144,39
Truck184524,2777,2942,60,145,85
Truck184363,2776,2942,10,146,136
Truck184539,2776,2443,65,146,81
Truck184560,0,2683,75,146,71
Truck184575,3119,2943,75,146,71
Truck184451,2443,2567,40,149,109
Truck184466,2225,2443,45,149,104
Truck184540,2777,2942,65,150,85
Truck184381,2942,2776,15,151,136
Truck184576,0,2683,80,151,71
Truck184718,2943,2942,120,153,33
Truck184525,2942,2684,60,154,94
Truck184698,2684,2443,115,154,39
Truck184556,2777,2942,70,155,85
Truck184373,2566,2225,15,156,141
Truck184403,2443,2942,25,157,132
Truck184734,2943,2942,125,158,33
Truck184498,2225,2443,55,159,104
Truck184564,2444,2225,75,159,84
Truck184572,2777,2942,75,160,85
Truck184749,2942,2943,130,162,32
Truck184562,2225,2567,75,163,88
Truck184750,2943,2942,130,163,33
Truck184463,3119,2777,40,164,124
Truck184499,2443,2567,55,164,109
Truck184730,2684,2443,125,164,39
Truck184588,2777,2942,80,165,85
Truck184427,2776,2942,30,166,136
Truck184766,2943,2942,135,168,33
Truck184530,2225,2443,65,169,104
Truck184639,3119,2224,95,169,74
Truck184619,2776,2443,90,171,81
Truck184326,2567,2444,0,172,172
Truck184461,2942,2443,40,172,132
Truck184654,2943,3119,100,172,72
Truck184546,2225,2443,70,174,104
Truck184762,2684,2443,135,174,39
Truck184324,2444,1339,0,175,175
Truck184492,2777,3119,50,175,125
Truck184509,2942,2224,55,175,120
Truck184620,2777,2942,90,175,85
Truck184424,1339,2684,30,176,146
Truck184467,2443,2942,45,177,132
Truck184798,2943,2942,145,178,33
Truck184665,2224,3119,105,179,74
Truck184671,3119,2224,105,179,74
Truck184712,1339,2683,120,179,59
Truck184778,2684,2443,140,179,39
Truck184636,2777,2942,95,180,85
Truck184711,2683,2567,120,180,60
Truck184458,2684,3119,40,181,141
Truck184475,2776,2942,45,181,136
Truck184687,3119,2943,110,181,71
Truck184886,2567,1339,175,181,6
Truck184335,3119,2776,0,182,182
Truck184709,2566,2444,120,182,62
Truck184864,0,1339,170,182,12
Truck184779,2776,2684,140,183,43
Truck184814,2943,2942,150,183,33
Truck184360,1339,2444,10,184,174
Truck184578,2225,2443,80,184,104
Truck184695,2683,0,115,185,70
Truck184372,2444,2567,15,186,171
Truck184456,1339,2684,40,186,146
Truck184667,2776,2443,105,186,81
Truck184702,2943,3119,115,187,72
Truck184367,3119,2443,10,188,178
Truck184455,2683,2225,40,188,148
Truck184594,2225,2443,85,189,104
Truck184744,1339,2683,130,189,59
Truck184668,2777,2942,105,190,85
Truck184375,2683,2684,15,191,176
Truck184474,2684,1339,45,191,146
Truck184507,2776,2942,55,191,136
Truck184683,2776,2443,110,191,81
Truck184904,1339,0,180,192,12
Truck184740,2444,2566,130,193,63
Truck184819,2443,2684,155,193,38
Truck184846,2943,2942,160,193,33
Truck184347,2776,2567,5,194,189
Truck184610,2225,2443,90,194,104
Truck184684,2777,2942,110,195,85
Truck184352,0,2444,10,196,186
Truck184523,2776,2942,60,196,136
Truck184664,1339,2225,105,197,92
Truck184399,3119,2443,20,198,178
Truck184776,1339,2683,140,199,59
Truck184842,2684,2443,160,199,39
Truck184952,1339,2567,195,199,4
Truck184700,2777,2942,115,200,85
Truck184715,2776,2443,120,201,81
Truck184557,2942,2443,70,202,132
Truck184936,1339,0,190,202,12
Truck184503,2683,2225,55,203,148
Truck184878,2943,2942,170,203,33
Truck184642,2225,2443,100,204,104
Truck184694,2567,2225,115,204,89
Truck184682,2684,2942,110,205,95
Truck184716,2777,2942,120,205,85
Truck184388,2444,0,20,206,186
Truck184731,2776,2443,125,206,81
